Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.005,1.35,10,1000,0,0.5,0,
10-instance-3, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.002,0.003,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.005,1.124,10,1000,0,0.25,0,
10-instance-7, 10, 0, 0,0.008,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.014,0.018,8.929,8,1000,0.42769,0.5,0.241,
10-instance-10, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.983,10,1000,0,0.333333,0,
10-instance-12, 10, 0, 0,0.001,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.002,0.831,10,1000,0,0.333333,0,
10-instance-14, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-15, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.009,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.001,0.004,1.227,10,1000,0,0.2,0,
10-instance-19, 10, 2, 0.001,0.009,2.073,10,1000,0,0.5,0,
10-instance-20, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-21, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-22, 10, 4, 0,0.004,1.396,8,1000,0,0.5,0,
10-instance-23, 10, 2, 0,0.003,0.88,10,1000,0,0.5,0,
10-instance-24, 10, 2, 0.001,0.004,1.113,10,1000,0,0.5,0,
10-instance-25, 10, 4, 0.002,0.012,2.206,9,1000,0,0.5,0,
10-instance-26, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-27, 10, 4, 0,0.003,1.631,9,1000,0,0.5,0,
10-instance-28, 10, 7, 0.001,0.005,1.318,7,1000,0,0.428571,0,
10-instance-29, 10, 2, 0.001,0.003,0.902,10,1000,0,0.5,0,
10-instance-30, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-31, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-32, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-33, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.002,0.013,1.944,10,1000,0,0.5,0,
10-instance-35, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.008,0.02,9.164,10,1000,0.249713,0.25,0.232,
10-instance-37, 10, 2, 0.001,0.002,0.866,10,1000,0,0.5,0,
10-instance-38, 10, 2, 0.001,0.002,0.978,10,1000,0,0.5,0,
10-instance-39, 10, 2, 0.001,0.002,0.782,10,1000,0,0.5,0,
10-instance-40, 10, 3, 0.001,0.003,0.99,10,1000,0.333048,0.333333,0.315,
10-instance-41, 10, 3, 0.008,0.031,7.896,10,1000,0,0.666667,0,
10-instance-42, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-43, 10, 2, 0.001,0.003,1.049,10,1000,0,0.5,0,
10-instance-44, 10, 2, 0.001,0.004,1.154,10,1000,0,0.5,0,
10-instance-45, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.006,0.023,0,11,0,0,0,1,
10-instance-47, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-48, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-49, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-50, 10, 3, 0.001,0.003,0.847,10,1000,0,0.333333,0,
20-instance-1, 20, 6, 0.007,0.062,9.236,17,1000,0,0.5,0,
20-instance-2, 20, 0, 0.001,0.008,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.009,0.131,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.002,0.004,1.932,18,1000,0,0.5,0,
20-instance-5, 20, 0, 0.001,0.005,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.009,0.084,8.752,18,1000,0,0.285714,0,
20-instance-7, 20, 8, 0.003,0.009,2.244,18,1000,0,0.375,0,
20-instance-8, 20, 8, 0.009,0.1,10.203,20,1000,0,0.125,0,
20-instance-9, 20, 9, 0.003,0.05,4.589,16,1000,0,0.555556,0,
20-instance-10, 20, 2, 0.002,0.011,2.462,20,1000,0,0.5,0,
20-instance-11, 20, 2, 0,0.004,1.208,20,1000,0,0.5,0,
20-instance-12, 20, 8, 0.001,0.005,1.262,18,1000,0,0.25,0,
20-instance-13, 20, 9, 0.001,0.006,1.583,15,1000,0,0.555556,0,
20-instance-14, 20, 6, 0.008,0.115,9.875,19,1000,0,0.333333,0,
20-instance-15, 20, 15, 0.01,0.109,12.23,14,1000,0,0.533333,0,
20-instance-16, 20, 0, 0.012,0.17,0,21,0,0,0,1,
20-instance-17, 20, 6, 0.001,0.011,2.746,20,1000,0,0.166667,0,
20-instance-18, 20, 9, 0.002,0.029,2.097,19,1000,0,0.222222,0,
20-instance-19, 20, 0, 0.002,0.008,0,21,0,0,0,1,
20-instance-20, 20, 9, 0.01,0.1,10.329,19,1000,0,0.222222,0,
20-instance-21, 20, 11, 0.012,0.157,12.488,17,1000,0,0.454545,0,
20-instance-22, 20, 4, 0.01,0.152,12.202,20,1000,0,0.75,0,
20-instance-23, 20, 5, 0.001,0.009,1.476,20,1000,0,0.2,0,
20-instance-24, 20, 10, 0.001,0.006,1.471,19,1000,0,0.2,0,
20-instance-25, 20, 0, 0.001,0.023,0,21,0,0,0,1,
20-instance-26, 20, 10, 0.005,0.068,10.149,18,1000,0.337654,0.4,0.075,
20-instance-27, 20, 0, 0.002,0.012,0,21,0,0,0,1,
20-instance-28, 20, 11, 0.004,0.036,2.964,17,1000,0,0.272727,0,
20-instance-29, 20, 6, 0.009,0.141,10.745,19,1000,0,0.333333,0,
20-instance-30, 20, 8, 0.009,0.143,11.884,18,1000,0,0.25,0,
20-instance-31, 20, 5, 0.002,0.012,1.692,19,1000,0,0.6,0,
20-instance-32, 20, 10, 0.008,0.102,10.161,16,1000,0,0.4,0,
20-instance-33, 20, 0, 0,0.006,0,21,0,0,0,1,
20-instance-34, 20, 0, 0.001,0.005,0,21,0,0,0,1,
20-instance-35, 20, 8, 0.002,0.031,6.649,16,1000,0.299276,0.375,0.064,
20-instance-36, 20, 3, 0.003,0.026,3.558,20,1000,0,0.333333,0,
20-instance-37, 20, 5, 0.009,0.13,11.46,20,1000,0.0866993,0.2,0.002,
20-instance-38, 20, 5, 0.001,0.007,1.439,20,1000,0,0.2,0,
20-instance-39, 20, 0, 0.002,0.024,0,21,0,0,0,1,
20-instance-40, 20, 9, 0.003,0.043,6.89,17,1000,0,0.444444,0,
