Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.005,0.013,10,2,0.5,0.5,0.5,
10-instance-3, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.002,0.003,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.005,0.034,10,4,0.25,0.25,0.25,
10-instance-7, 10, 0, 0,0.008,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.014,0.018,0.062,8,4,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.018,10,3,0.333333,0.333333,0.333333,
10-instance-12, 10, 0, 0,0.001,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.002,0.015,10,3,0.333333,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-15, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.009,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.001,0.004,0.086,10,5,0.2,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.009,0.012,10,2,0.5,0.5,0.5,
10-instance-20, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-21, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-22, 10, 4, 0,0.004,0.04,8,3,0.484123,0.5,0.375,
10-instance-23, 10, 2, 0,0.003,0.008,10,2,0.5,0.5,0.5,
10-instance-24, 10, 2, 0.001,0.004,0.014,10,2,0.5,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.012,0.039,9,6,0.5,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-27, 10, 4, 0,0.003,0.024,9,4,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.001,0.005,6.182,7,8,0.401528,0.428571,0.263492,
10-instance-29, 10, 2, 0.001,0.003,0.015,10,2,0.5,0.5,0.5,
