Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,9.29986e-314,11,1,0,0,1,
10-instance-2, 10, 2, 0.001,0.006,0.005,10,2,0.5,0.5,0.5,
10-instance-3, 10, 0, 0,0.004,9.29986e-314,11,1,0,0,1,
10-instance-4, 10, 0, 0,0.004,9.29986e-314,11,1,0,0,1,
10-instance-5, 10, 0, 0.001,0.004,9.29986e-314,11,1,0,0,1,
10-instance-6, 10, 4, 0.001,0.009,0.007,10,4,0.25,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.009,9.29986e-314,11,1,0,0,1,
10-instance-8, 10, 0, 0.001,0.008,9.29986e-314,11,1,0,0,1,
10-instance-9, 10, 4, 0.025,0.021,0.01,8,2,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.004,9.29986e-314,11,1,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.005,10,3,0.333333,0.333333,0.333333,
10-instance-12, 10, 0, 0.001,0.003,9.29986e-314,11,1,0,0,1,
10-instance-13, 10, 3, 0.001,0.005,0.005,10,3,0.333333,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.003,9.29986e-314,11,1,0,0,1,
10-instance-15, 10, 0, 0.001,0.004,9.29986e-314,11,1,0,0,1,
10-instance-16, 10, 0, 0.001,0.009,9.29986e-314,11,1,0,0,1,
10-instance-17, 10, 0, 0.001,0.005,9.29986e-314,11,1,0,0,1,
10-instance-18, 10, 5, 0.001,0.006,0.008,10,5,0.2,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.006,0.004,10,2,0.5,0.5,0.5,
10-instance-20, 10, 0, 0.001,0.006,9.29986e-314,11,1,0,0,1,
10-instance-21, 10, 0, 0.001,0.005,9.29986e-314,11,1,0,0,1,
10-instance-22, 10, 4, 0.001,0.006,0.01,8,2,0.5,0.5,0.5,
10-instance-23, 10, 2, 0.002,0.009,0.003,10,2,0.5,0.5,0.5,
10-instance-24, 10, 2, 0.001,0.009,0.011,10,2,0.5,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.02,0.01,9,2,0.5,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.002,9.29986e-314,11,1,0,0,1,
10-instance-27, 10, 4, 0.001,0.004,0.005,9,2,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.002,0.004,0.06,7,4,0.420245,0.428571,0.333333,
10-instance-29, 10, 2, 0.001,0.003,0.002,10,2,0.5,0.5,0.5,
10-instance-30, 10, 0, 0.001,0.002,9.29986e-314,11,1,0,0,1,
10-instance-31, 10, 0, 0.001,0.003,9.29986e-314,11,1,0,0,1,
10-instance-32, 10, 0, 0.001,0.001,9.29986e-314,11,1,0,0,1,
10-instance-33, 10, 0, 0.001,0.002,9.29986e-314,11,1,0,0,1,
10-instance-34, 10, 2, 0.001,0.011,0.003,10,2,0.5,0.5,0.5,
10-instance-35, 10, 0, 0.002,0.005,9.29986e-314,11,1,0,0,1,
10-instance-36, 10, 4, 0.007,0.02,0.007,10,4,0.25,0.25,0.25,
10-instance-37, 10, 2, 0.001,0.004,0.003,10,2,0.5,0.5,0.5,
10-instance-38, 10, 2, 0,0.005,0.002,10,2,0.5,0.5,0.5,
10-instance-39, 10, 2, 0.001,0.003,0.003,10,2,0.5,0.5,0.5,
10-instance-40, 10, 3, 0.001,0.005,0.006,10,3,0.333333,0.333333,0.333333,
10-instance-41, 10, 3, 0.007,0.03,0.008,10,3,0.666667,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.003,9.29986e-314,11,1,0,0,1,
10-instance-43, 10, 2, 0.001,0.005,0.004,10,2,0.5,0.5,0.5,
10-instance-44, 10, 2, 0.001,0.008,0.004,10,2,0.5,0.5,0.5,
10-instance-45, 10, 0, 0.001,0.002,9.29986e-314,11,1,0,0,1,
10-instance-46, 10, 0, 0.008,0.025,9.29986e-314,11,1,0,0,1,
10-instance-47, 10, 0, 0.001,0.002,9.29986e-314,11,1,0,0,1,
10-instance-48, 10, 0, 0.001,0.004,9.29986e-314,11,1,0,0,1,
10-instance-49, 10, 0, 0.001,0.003,9.29986e-314,11,1,0,0,1,
10-instance-50, 10, 3, 0.001,0.004,0.004,10,3,0.333333,0.333333,0.333333,
20-instance-1, 20, 6, 0.009,0.075,0.046,17,4,0.5,0.5,0.5,
20-instance-2, 20, 0, 0.001,0.009,9.29986e-314,21,1,0,0,1,
20-instance-3, 20, 0, 0.009,0.143,9.29986e-314,21,1,0,0,1,
20-instance-4, 20, 4, 0.002,0.006,0.016,18,2,0.5,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.009,9.29986e-314,21,1,0,0,1,
20-instance-6, 20, 7, 0.008,0.097,0.039,18,6,0.259853,0.285714,0.2,
20-instance-7, 20, 8, 0.002,0.014,0.046,18,4,0,0.375,0,
20-instance-8, 20, 8, 0.009,0.11,0.02,20,8,0.125,0.125,0.125,
20-instance-9, 20, 9, 0.003,0.053,0.03,16,6,0.505604,0.555556,0.333333,
20-instance-10, 20, 2, 0.003,0.011,0.005,20,2,0.5,0.5,0.5,
20-instance-11, 20, 2, 0.001,0.007,0.003,20,2,0.5,0.5,0.5,
20-instance-12, 20, 8, 0.002,0.01,0.011,18,6,0.203807,0.25,0.166667,
20-instance-13, 20, 9, 0.001,0.008,0.029,15,4,0.550321,0.555556,0.5,
20-instance-14, 20, 6, 0.008,0.129,0.053,19,3,0.333333,0.333333,0.333333,
20-instance-15, 20, 15, 0.013,0.118,0.223,14,10,0.473891,0.533333,0.111111,
20-instance-16, 20, 0, 0.008,0.091,9.29986e-314,21,1,0,0,1,
20-instance-17, 20, 6, 0.001,0.008,0.005,20,6,0.166667,0.166667,0.166667,
20-instance-18, 20, 9, 0.001,0.024,0.049,19,8,0,0.222222,0,
20-instance-19, 20, 0, 0.001,0.007,9.29986e-314,21,1,0,0,1,
20-instance-20, 20, 9, 0.007,0.099,0.06,19,6,0.209987,0.222222,0.166667,
20-instance-21, 20, 11, 0.008,0.117,0.126,17,8,0.426861,0.454545,0.333333,
20-instance-22, 20, 4, 0.01,0.14,0.027,20,4,0.75,0.75,0.75,
20-instance-23, 20, 5, 0.002,0.009,0.005,20,5,0.2,0.2,0.2,
20-instance-24, 20, 10, 0.001,0.009,0.02,19,9,0,0.2,0,
20-instance-25, 20, 0, 0.001,0.014,9.29986e-314,21,1,0,0,1,
20-instance-26, 20, 10, 0.004,0.068,0.094,18,7,0.397209,0.4,0.375,
20-instance-27, 20, 0, 0.002,0.01,9.29986e-314,21,1,0,0,1,
20-instance-28, 20, 11, 0.002,0.021,0.027,17,9,0,0.272727,0,
20-instance-29, 20, 6, 0.01,0.147,0.059,19,3,0.333333,0.333333,0.333333,
20-instance-30, 20, 8, 0.011,0.149,0.069,18,7,0.223923,0.25,0.0666667,
20-instance-31, 20, 5, 0.001,0.014,0.01,19,4,0.594201,0.6,0.5,
20-instance-32, 20, 10, 0.009,0.114,0.075,16,8,0.344386,0.4,0.2,
20-instance-33, 20, 0, 0.001,0.006,9.29986e-314,21,1,0,0,1,
20-instance-34, 20, 0, 0.001,0.008,9.29986e-314,21,1,0,0,1,
20-instance-35, 20, 8, 0.003,0.028,0.068,16,5,0.375,0.375,0.375,
20-instance-36, 20, 3, 0.002,0.028,0.01,20,3,0.333333,0.333333,0.333333,
20-instance-37, 20, 5, 0.008,0.121,0.032,20,5,0.2,0.2,0.2,
20-instance-38, 20, 5, 0.001,0.009,0.004,20,5,0.2,0.2,0.2,
20-instance-39, 20, 0, 0.001,0.018,9.29986e-314,21,1,0,0,1,
20-instance-40, 20, 9, 0.004,0.052,0.121,17,4,0.43679,0.444444,0.333333,
20-instance-41, 20, 7, 0.002,0.026,0.027,18,5,0.428571,0.428571,0.428571,
20-instance-42, 20, 5, 0.008,0.053,0.018,18,4,0.594201,0.6,0.5,
20-instance-43, 20, 8, 0.012,0.125,0.066,17,6,0.484455,0.5,0.4,
