Name; Agents; t_Normal; t_RSD_heuristic; t_RSD; t_partition
10-instance-1; 10; 0.003011; 0.000441; 0.002644; 0.005
10-instance-2; 10; 0.003556; 0.000304; 0.001796; 0.006
10-instance-3; 10; 0.004623; 0.000302; 0.001922; 0.004
10-instance-4; 10; 0.003084; 0.000233; 0.001835; 0.003
10-instance-5; 10; 0.003477; 0.000254; 0.00199; 0.004
10-instance-6; 10; 0.000378; 0.000421; 0.000434; 0.008
10-instance-7; 10; 0.003773; 0.000266; 0.001872; 0.005
10-instance-8; 10; 0.002972; 0.000384; 0.002115; 0.007
10-instance-9; 10; 0.000819; 0.000813; 0.00075; 0.032
10-instance-10; 10; 0.003136; 0.000235; 0.0017; 0.002
10-instance-11; 10; 0.000312; 0.000356; 0.000327; 0.006
10-instance-12; 10; 0.003134; 0.000307; 0.001809; 0.004
10-instance-13; 10; 0.000297; 0.000335; 0.000421; 0.007
10-instance-14; 10; 0.003647; 0.000243; 0.002099; 0.003
10-instance-15; 10; 0.003364; 0.000356; 0.002873; 0.005
10-instance-16; 10; 0.001573; 0.000654; 0.002004; 0.008
10-instance-17; 10; 0.003281; 0.000268; 0.001715; 0.005
10-instance-18; 10; 0.000329; 0.000374; 0.000371; 0.006
10-instance-19; 10; 0.000734; 0.000632; 0.000621; 0.009
10-instance-20; 10; 0.000272; 0.000477; 0.000394; 0.012
10-instance-21; 10; 0.000231; 0.000362; 0.000333; 0.005
10-instance-22; 10; 0.000415; 0.001014; 0.000527; 0.005
10-instance-23; 10; 0.000243; 0.000283; 0.000294; 0.005
10-instance-24; 10; 0.000489; 0.000419; 0.000479; 0.003
10-instance-25; 10; 0.001276; 0.001437; 0.001417; 0.027
10-instance-26; 10; 0.003004; 0.000249; 0.0017; 0.004
10-instance-27; 10; 0.000415; 0.000403; 0.000572; 0.007
10-instance-28; 10; 0.000658; 0.000724; 0.000727; 0.009
10-instance-29; 10; 0.003221; 0.000459; 0.001951; 0.008
10-instance-30; 10; 0.003487; 0.000225; 0.002096; 0.003
10-instance-31; 10; 0.000199; 0.00027; 0.000231; 0.007
10-instance-32; 10; 0.003528; 0.000226; 0.00203; 0.003
10-instance-33; 10; 0.00316; 0.000231; 0.00208; 0.003
10-instance-34; 10; 0.000751; 0.001209; 0.000849; 0.012
10-instance-35; 10; 0.002979; 0.000233; 0.001683; 0.005
10-instance-36; 10; 0.008397; 0.007875; 0.008033; 0.023
10-instance-37; 10; 0.000311; 0.000358; 0.000324; 0.006
10-instance-38; 10; 0.000261; 0.000364; 0.0003; 0.005
10-instance-39; 10; 0.000334; 0.00039; 0.000368; 0.004
10-instance-40; 10; 0.000396; 0.00047; 0.000428; 0.005
10-instance-41; 10; 0.007734; 0.008118; 0.007787; 0.042
10-instance-42; 10; 0.003092; 0.000239; 0.001643; 0.004
10-instance-43; 10; 0.000523; 0.000484; 0.000435; 0.008
10-instance-44; 10; 0.000526; 0.00068; 0.000725; 0.008
10-instance-45; 10; 0.00309; 0.000305; 0.001912; 0.004
10-instance-46; 10; 0.008064; 0.007928; 0.008032; 0.041
10-instance-47; 10; 0.003156; 0.000274; 0.002076; 0.003
10-instance-48; 10; 0.000482; 0.000665; 0.000797; 0.006
10-instance-49; 10; 0.003359; 0.000301; 0.001954; 0.005
10-instance-50; 10; 0.00034; 0.000476; 0.0005; 0.007
20-instance-1; 20; 0.008398; 0.009416; 0.0098; 0.082
20-instance-2; 20; 0.008707; 0.000624; 0.004463; 0.016
20-instance-3; 20; 0.010952; 0.009339; 0.00571; 0.164
20-instance-4; 20; 0.001102; 0.001281; 0.001163; 0.013
20-instance-5; 20; 0.008357; 0.000518; 0.004031; 0.013
20-instance-6; 20; 0.008377; 0.00848; 0.008604; 0.086
20-instance-7; 20; 0.001232; 0.009505; 0.001208; 0.019
20-instance-8; 20; 0.010843; 0.010151; 0.009501; 0.134
20-instance-9; 20; 0.008893; 0.009648; 0.009041; 0.056
20-instance-10; 20; 0.001581; 0.001417; 0.001259; 0.02
20-instance-11; 20; 0.000563; 0.000669; 0.000664; 0.012
20-instance-12; 20; 0.000651; 0.000928; 0.00077; 0.014
20-instance-13; 20; 0.001139; 0.001323; 0.00138; 0.015
20-instance-14; 20; 0.009323; 0.009231; 0.009736; 0.134
20-instance-15; 20; 0.011449; 0.012198; 0.012261; 0.148
20-instance-16; 20; 0.007907; 0.00883; 0.005318; 0.11
20-instance-17; 20; 0.000467; 0.000554; 0.000503; 0.011
20-instance-18; 20; 0.007927; 0.008786; 0.008466; 0.033
20-instance-19; 20; 0.008379; 0.000652; 0.003921; 0.01
20-instance-20; 20; 0.010961; 0.009599; 0.011272; 0.111
20-instance-21; 20; 0.012632; 0.012942; 0.011499; 0.133
20-instance-22; 20; 0.011424; 0.009389; 0.010279; 0.203
20-instance-23; 20; 0.000564; 0.000653; 0.00067; 0.025
