Name; Agents; t_Normal; t_RSD_no_partition; t_RSD; t_partition
10-instance-1; 10; 0.00096; 0.00156; 0.00154; 0.002
10-instance-2; 10; 0.00106; 0.00074; 0.00114; 0.005
10-instance-3; 10; 0.0008; 0.00066; 0.00098; 0.002
10-instance-4; 10; 0.0007; 0.0005; 0.00062; 0.002
10-instance-5; 10; 0.00072; 0.0005; 0.00184; 0.002
10-instance-6; 10; 0.00036; 0.0003; 0.00042; 0.003
10-instance-7; 10; 0.00078; 0.00046; 0.0009; 0.003
10-instance-8; 10; 0.00062; 0.00054; 0.00056; 0.003
10-instance-9; 10; 0.0011; 0.001; 0.00102; 0.035
10-instance-10; 10; 0.00054; 0.00104; 0.00112; 0.003
10-instance-11; 10; 0.00024; 0.00028; 0.00032; 0.003
10-instance-12; 10; 0.00074; 0.00046; 0.00054; 0.001
10-instance-13; 10; 0.00034; 0.00036; 0.00038; 0.003
10-instance-14; 10; 0.00048; 0.00046; 0.00062; 0.002
10-instance-15; 10; 0.00054; 0.00042; 0.0008; 0.002
10-instance-16; 10; 0.00264; 0.00034; 0.00308; 0.004
10-instance-17; 10; 0.00082; 0.00052; 0.0011; 0.003
10-instance-18; 10; 0.0003; 0.00042; 0.00032; 0.004
10-instance-19; 10; 0.00048; 0.00032; 0.0004; 0.004
10-instance-20; 10; 0.0002; 0.0002; 0.00022; 0.004
10-instance-21; 10; 0.00034; 0.00032; 0.00026; 0.003
10-instance-22; 10; 0.00034; 0.00146; 0.00068; 0.006
10-instance-23; 10; 0.00028; 0.0002; 0.00028; 0.003
10-instance-24; 10; 0.0003; 0.00042; 0.00032; 0.002
10-instance-25; 10; 0.00138; 0.00142; 0.00158; 0.015
10-instance-26; 10; 0.00058; 0.00042; 0.00054; 0.002
10-instance-27; 10; 0.0004; 0.0004; 0.00054; 0.004
10-instance-28; 10; 0.00064; 0.00074; 0.00064; 0.005
10-instance-29; 10; 0.00044; 0.0004; 0.00054; 0.003
10-instance-30; 10; 0.0005; 0.0004; 0.00054; 0.002
10-instance-31; 10; 0.00018; 0.00038; 0.00032; 0.003
10-instance-32; 10; 0.0009; 0.00056; 0.0013; 0.003
10-instance-33; 10; 0.0005; 0.0004; 0.00048; 0.002
10-instance-34; 10; 0.0018; 0.0069; 0.00148; 0.015
10-instance-35; 10; 0.00076; 0.0005; 0.00062; 0.004
10-instance-36; 10; 0.007; 0.00906; 0.00734; 0.023
10-instance-37; 10; 0.00024; 0.00038; 0.00028; 0.005
10-instance-38; 10; 0.00022; 0.00026; 0.0003; 0.002
10-instance-39; 10; 0.00022; 0.00022; 0.00024; 0.003
10-instance-40; 10; 0.00172; 0.00046; 0.00046; 0.005
10-instance-41; 10; 0.01014; 0.00908; 0.011; 0.048
10-instance-42; 10; 0.00046; 0.00038; 0.00054; 0.001
10-instance-43; 10; 0.00038; 0.00068; 0.00056; 0.004
10-instance-44; 10; 0.0008; 0.00052; 0.0012; 0.005
10-instance-45; 10; 0.00044; 0.00038; 0.00042; 0.002
10-instance-46; 10; 0.00738; 0.00916; 0.01138; 0.025
10-instance-47; 10; 0.00132; 0.00058; 0.00046; 0.002
10-instance-48; 10; 0.00042; 0.00042; 0.0005; 0.004
10-instance-49; 10; 0.00044; 0.00056; 0.00058; 0.003
10-instance-50; 10; 0.00058; 0.00048; 0.0004; 0.003
20-instance-1; 20; 0.00926; 0.01052; 0.01174; 0.066
20-instance-2; 20; 0.0011; 0.00078; 0.0011; 0.009
20-instance-3; 20; 0.00238; 0.002; 0.00296; 0.166
20-instance-4; 20; 0.0011; 0.00148; 0.00106; 0.013
20-instance-5; 20; 0.00124; 0.00064; 0.00114; 0.005
20-instance-6; 20; 0.00902; 0.00814; 0.00862; 0.084
20-instance-7; 20; 0.0011; 0.01026; 0.00116; 0.013
20-instance-8; 20; 0.0091; 0.0095; 0.00862; 0.105
20-instance-9; 20; 0.00814; 0.00782; 0.00878; 0.041
20-instance-10; 20; 0.00096; 0.0011; 0.0009; 0.01
20-instance-11; 20; 0.0003; 0.00036; 0.00034; 0.006
20-instance-12; 20; 0.00086; 0.00044; 0.00054; 0.007
20-instance-13; 20; 0.00234; 0.00236; 0.00242; 0.011
20-instance-14; 20; 0.00896; 0.00964; 0.00826; 0.118
20-instance-15; 20; 0.01328; 0.01266; 0.0116; 0.14
20-instance-16; 20; 0.00134; 0.0008; 0.00118; 0.099
20-instance-17; 20; 0.00032; 0.00044; 0.00038; 0.006
20-instance-18; 20; 0.00752; 0.00716; 0.00704; 0.047
20-instance-19; 20; 0.0012; 0.0009; 0.0014; 0.005
20-instance-20; 20; 0.01074; 0.0087; 0.01182; 0.11
20-instance-21; 20; 0.00846; 0.0109; 0.01048; 0.196
20-instance-22; 20; 0.01256; 0.00848; 0.00882; 0.224
20-instance-23; 20; 0.00104; 0.00082; 0.00082; 0.01
20-instance-24; 20; 0.00036; 0.00066; 0.00044; 0.009
20-instance-25; 20; 0.00114; 0.00102; 0.00094; 0.023
20-instance-26; 20; 0.01278; 0.01534; 0.01928; 0.17
20-instance-27; 20; 0.00108; 0.00068; 0.00102; 0.045
20-instance-28; 20; 0.0085; 0.00912; 0.00864; 0.02
20-instance-29; 20; 0.01416; 0.01184; 0.01272; 0.168
20-instance-30; 20; 0.01228; 0.01214; 0.00938; 0.325
20-instance-31; 20; 0.0024; 0.00354; 0.0029; 0.02
20-instance-32; 20; 0.01108; 0.00826; 0.00862; 0.125
20-instance-33; 20; 0.00272; 0.00078; 0.00112; 0.006
