Name, Agents, t_Normal, t_RSD_no_partition, t_RSD, t_partition
10-instance-1, 10, 0.00098, 0.00086, 0.00098, 0.002
10-instance-2, 10, 0.00104, 0.00076, 0.00094, 0.004
10-instance-3, 10, 0.00106, 0.00076, 0.00098, 0.002
10-instance-4, 10, 0.0007, 0.00068, 0.00092, 0.002
10-instance-5, 10, 0.00072, 0.00056, 0.00088, 0.003
10-instance-6, 10, 0.00054, 0.00048, 0.00044, 0.006
10-instance-7, 10, 0.001, 0.00052, 0.00094, 0.003
10-instance-8, 10, 0.00076, 0.00078, 0.00082, 0.004
10-instance-9, 10, 0.0013, 0.00138, 0.00118, 0.025
10-instance-10, 10, 0.00068, 0.00058, 0.00062, 0.001
10-instance-11, 10, 0.00028, 0.00034, 0.00028, 0.005
10-instance-12, 10, 0.00078, 0.00058, 0.0007, 0.002
10-instance-13, 10, 0.00034, 0.00028, 0.00034, 0.003
10-instance-14, 10, 0.00066, 0.0005, 0.00084, 0.002
10-instance-15, 10, 0.00066, 0.00066, 0.00076, 0.004
10-instance-16, 10, 0.0024, 0.00074, 0.00248, 0.005
10-instance-17, 10, 0.00092, 0.0008, 0.00106, 0.004
10-instance-18, 10, 0.00064, 0.00074, 0.0008, 0.007
10-instance-19, 10, 0.00062, 0.00062, 0.00076, 0.007
10-instance-20, 10, 0.0003, 0.00026, 0.00026, 0.003
10-instance-21, 10, 0.00028, 0.00032, 0.00032, 0.002
10-instance-22, 10, 0.00034, 0.00106, 0.0004, 0.004
10-instance-23, 10, 0.00024, 0.00026, 0.00026, 0.003
10-instance-24, 10, 0.00038, 0.00044, 0.00036, 0.003
10-instance-25, 10, 0.00208, 0.00168, 0.00204, 0.025
10-instance-26, 10, 0.00056, 0.00044, 0.00064, 0.002
10-instance-27, 10, 0.00024, 0.00024, 0.00028, 0.003
10-instance-28, 10, 0.00082, 0.0007, 0.00086, 0.005
10-instance-29, 10, 0.00062, 0.00066, 0.00088, 0.004
10-instance-30, 10, 0.00062, 0.00054, 0.00066, 0.003
10-instance-31, 10, 0.00016, 0.00018, 0.00016, 0.003
10-instance-32, 10, 0.00038, 0.00032, 0.00044, 0.002
10-instance-33, 10, 0.0004, 0.00036, 0.00042, 0.003
10-instance-34, 10, 0.00072, 0.00648, 0.00082, 0.014
10-instance-35, 10, 0.00038, 0.00036, 0.00058, 0.003
10-instance-36, 10, 0.00636, 0.0076, 0.0067, 0.013
10-instance-37, 10, 0.00024, 0.00028, 0.00026, 0.002
10-instance-38, 10, 0.00022, 0.00022, 0.00022, 0.002
10-instance-39, 10, 0.0002, 0.00026, 0.0002, 0.002
10-instance-40, 10, 0.00032, 0.0004, 0.00034, 0.003
10-instance-41, 10, 0.00766, 0.00718, 0.00618, 0.027
10-instance-42, 10, 0.00044, 0.00036, 0.00054, 0.002
10-instance-43, 10, 0.00046, 0.0005, 0.00034, 0.005
10-instance-44, 10, 0.0005, 0.00056, 0.0006, 0.005
10-instance-45, 10, 0.00048, 0.00044, 0.00076, 0.001
10-instance-46, 10, 0.00708, 0.00676, 0.00688, 0.021
10-instance-47, 10, 0.0004, 0.00032, 0.00042, 0.002
10-instance-48, 10, 0.0003, 0.0004, 0.00034, 0.004
10-instance-49, 10, 0.0004, 0.0004, 0.00052, 0.003
10-instance-50, 10, 0.00032, 0.00032, 0.0004, 0.003
20-instance-1, 20, 0.00768, 0.00762, 0.0076, 0.054
20-instance-2, 20, 0.00138, 0.00056, 0.00086, 0.007
20-instance-3, 20, 0.00136, 0.00122, 0.00128, 0.175
20-instance-4, 20, 0.00136, 0.00124, 0.00152, 0.015
20-instance-5, 20, 0.00082, 0.00068, 0.00096, 0.006
20-instance-6, 20, 0.00756, 0.00824, 0.00732, 0.076
20-instance-7, 20, 0.00088, 0.00776, 0.00096, 0.014
20-instance-8, 20, 0.00806, 0.00842, 0.00896, 0.1
20-instance-9, 20, 0.00792, 0.00778, 0.00716, 0.047
20-instance-10, 20, 0.00146, 0.00184, 0.00136, 0.018
20-instance-11, 20, 0.0003, 0.00036, 0.0003, 0.006
20-instance-12, 20, 0.00054, 0.00048, 0.00058, 0.005
20-instance-13, 20, 0.00166, 0.00216, 0.00192, 0.01
20-instance-14, 20, 0.00748, 0.0083, 0.00788, 0.127
20-instance-15, 20, 0.01074, 0.01068, 0.0111, 0.124
20-instance-16, 20, 0.00098, 0.00084, 0.00116, 0.099
20-instance-17, 20, 0.00042, 0.0005, 0.00046, 0.006
20-instance-18, 20, 0.00836, 0.00658, 0.00618, 0.021
20-instance-19, 20, 0.00084, 0.00064, 0.0009, 0.007
20-instance-20, 20, 0.00918, 0.00776, 0.0106, 0.109
20-instance-21, 20, 0.00928, 0.00842, 0.009, 0.093
20-instance-22, 20, 0.00776, 0.00922, 0.00744, 0.121
20-instance-23, 20, 0.00036, 0.00052, 0.00042, 0.011
20-instance-24, 20, 0.00036, 0.00056, 0.00042, 0.009
20-instance-25, 20, 0.0007, 0.00086, 0.00086, 0.017
20-instance-26, 20, 0.00808, 0.0105, 0.0093, 0.146
20-instance-27, 20, 0.00078, 0.00072, 0.00094, 0.048
20-instance-28, 20, 0.00784, 0.00796, 0.00708, 0.023
20-instance-29, 20, 0.0082, 0.00962, 0.00834, 0.136
20-instance-30, 20, 0.00896, 0.0082, 0.01524, 0.165
20-instance-31, 20, 0.0022, 0.00342, 0.00252, 0.015
20-instance-32, 20, 0.00864, 0.00824, 0.01012, 0.11
20-instance-33, 20, 0.001, 0.00094, 0.00146, 0.007
20-instance-34, 20, 0.0013, 0.00082, 0.00152, 0.009
20-instance-35, 20, 0.00818, 0.00898, 0.0105, 0.155
20-instance-36, 20, 0.00226, 0.003, 0.00188, 0.056
20-instance-37, 20, 0.00892, 0.00878, 0.0101, 0.097
20-instance-38, 20, 0.00052, 0.00048, 0.00048, 0.008
20-instance-39, 20, 0.00106, 0.0009, 0.00106, 0.023
20-instance-40, 20, 0.00792, 0.00828, 0.00792, 0.046
20-instance-41, 20, 0.0012, 0.00156, 0.00144, 0.044
