Name; Agents; t_Normal; t_RSD_heuristic; t_RSD; t_partition
wt100; 100; 0.014221; 0.015252; 0.014483; 1.607
wt100; 100; 0.010458; 0.01046; 0.010688; 0.927
wt100; 100; 0.011679; 0.012278; 0.011816; 1.001
wt100; 100; 0.017716; 0.017325; 0.02022; 0.932
wt100; 100; 0.015335; 0.0162; 0.015635; 1.041
wt100; 100; 0.207226; 0.064297; 0.078214; 1.341
wt100; 100; 0.012579; 0.013122; 0.01287; 1.494
wt100; 100; 0.020283; 0.019737; 0.021085; 1.391
wt100; 100; 0.022289; 0.021672; 0.034478; 1.379
wt100; 100; 0.019914; 0.020765; 0.019758; 1.278
wt100; 100; 0.020211; 0.021436; 0.03851; 1.713
wt100; 100; 0.025656; 0.024592; 0.025725; 1.879
wt100; 100; 0.027129; 0.026557; 0.043216; 1.605
wt100; 100; 0.036506; 0.035408; 0.036359; 2.092
wt100; 100; 0.036059; 0.035382; 0.036701; 1.859
wt100; 100; 0.062101; 0.071213; 0.062119; 1.916
wt100; 100; 0.056707; 0.063412; 0.076476; 2.12
wt100; 100; 0.045949; 0.032902; 0.045415; 1.82
wt100; 100; 0.048798; 0.045023; 0.043109; 2.104
wt100; 100; 0.028563; 0.048767; 0.040209; 1.704
wt100; 100; 0.037765; 0.021212; 0.040463; 0.853
wt100; 100; 0.045566; 0.015145; 0.023659; 0.594
wt100; 100; 0.038104; 0.01138; 0.018469; 0.576
wt100; 100; 0.038917; 0.011848; 0.021964; 0.442
wt100; 100; 0.0364; 0.016499; 0.0192; 0.72
wt100; 100; 0.000634; 0.000662; 0.000766; 0.117
wt100; 100; 0.008702; 0.010821; 0.008912; 0.269
wt100; 100; 0.000642; 0.000779; 0.000765; 0.124
wt100; 100; 0.000887; 0.000883; 0.001048; 0.135
wt100; 100; 0.000698; 0.000732; 0.000785; 0.109
wt100; 100; 0.021199; 0.021661; 0.021777; 1.384
wt100; 100; 0.018168; 0.021736; 0.025324; 1.213
wt100; 100; 0.029024; 0.033168; 0.029135; 1.325
wt100; 100; 0.024944; 0.024909; 0.02555; 1.398
wt100; 100; 0.018828; 0.019735; 0.019145; 1.327
wt100; 100; 0.40092; 0.027914; 0.033718; 1.446
wt100; 100; 0.02479; 0.026796; 0.041496; 1.649
wt100; 100; 0.018219; 0.018738; 0.018322; 1.579
wt100; 100; 0.023512; 0.02289; 0.023619; 1.654
wt100; 100; 0.023222; 0.026571; 0.035193; 1.577
wt100; 100; 0.257056; 0.26876; 0.290803; 2.628
wt100; 100; 0.045014; 0.053646; 0.044945; 2.149
wt100; 100; 0.036533; 0.035789; 0.036456; 1.663
wt100; 100; 0.029835; 0.052131; 0.029909; 2.152
wt100; 100; 0.06177; 0.101612; 0.061501; 3.312
wt100; 100; 0.015797; 0.011012; 0.014696; 0.676
wt100; 100; 0.037946; 0.024374; 0.0191; 1.314
wt100; 100; 0.024796; 0.024346; 0.024174; 0.74
wt100; 100; 0.021048; 0.012406; 0.021499; 0.618
wt100; 100; 0.020262; 0.011954; 0.02287; 0.499
