Name, n, |M|, time solution, time partition, time distribution, generated solutions
10-instance-1, 10, 0, 0.001,0.005,0,11,
10-instance-2, 10, 2, 0.002,0.006,0.164,10,
10-instance-3, 10, 0, 0.001,0.002,0,11,
10-instance-4, 10, 0, 0.001,0.002,0,11,
10-instance-5, 10, 0, 0.001,0.003,0,11,
10-instance-6, 10, 4, 0,0.006,0.097,10,
10-instance-7, 10, 0, 0.001,0.004,0,11,
10-instance-8, 10, 0, 0.001,0.003,0,11,
10-instance-9, 10, 4, 0.009,0.015,0.107,8,
10-instance-10, 10, 0, 0.001,0.002,0,11,
10-instance-11, 10, 3, 0.001,0.004,0.126,10,
10-instance-12, 10, 0, 0.001,0.002,0,11,
10-instance-13, 10, 3, 0.001,0.004,0.122,10,
10-instance-14, 10, 0, 0,0.002,0,11,
10-instance-15, 10, 0, 0.001,0.005,0,11,
10-instance-16, 10, 0, 0.003,0.016,0,11,
10-instance-17, 10, 0, 0.001,0.007,0,11,
10-instance-18, 10, 5, 0.001,0.004,0.119,10,
10-instance-19, 10, 2, 0.001,0.006,0.161,10,
10-instance-20, 10, 0, 0.001,0.003,0,11,
10-instance-21, 10, 0, 0.001,0.003,0,11,
10-instance-22, 10, 4, 0.001,0.002,0.134,8,
10-instance-23, 10, 2, 0.001,0.003,0.195,10,
10-instance-24, 10, 2, 0,0.005,0.146,10,
10-instance-25, 10, 4, 0.002,0.014,0.089,9,
10-instance-26, 10, 0, 0.001,0.002,0,11,
10-instance-27, 10, 4, 0,0.003,0.152,9,
10-instance-28, 10, 7, 0.001,0.005,0.071,7,
10-instance-29, 10, 2, 0.001,0.003,0.141,10,
10-instance-30, 10, 0, 0,0.001,0,11,
10-instance-31, 10, 0, 0,0.002,0,11,
10-instance-32, 10, 0, 0.001,0.002,0,11,
10-instance-33, 10, 0, 0.001,0.002,0,11,
10-instance-34, 10, 2, 0.002,0.01,0.167,10,
10-instance-35, 10, 0, 0.001,0.003,0,11,
10-instance-36, 10, 4, 0.021,0.023,0.235,10,
