Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.008,0,11,0,1,-nan(ind),1,
10-instance-2, 10, 2, 0.002,0.007,0.072,10,2,0.25,0.5,0.5,
10-instance-3, 10, 0, 0.002,0.004,0,11,0,1,-nan(ind),1,
10-instance-4, 10, 0, 0.002,0.005,0,11,0,1,-nan(ind),1,
10-instance-5, 10, 0, 0.002,0.003,0,11,0,1,-nan(ind),1,
10-instance-6, 10, 4, 0.003,0.014,0.085,10,4,0.00390625,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.005,0,11,0,1,-nan(ind),1,
10-instance-8, 10, 0, 0.002,0.004,0,11,0,1,-nan(ind),1,
10-instance-9, 10, 4, 0.027,0.034,0.115,8,2,0.0625,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-11, 10, 3, 0.002,0.017,0.091,10,3,0.037037,0.333333,0.333333,
10-instance-12, 10, 0, 0.002,0.003,0,11,0,1,-nan(ind),1,
10-instance-13, 10, 3, 0.002,0.016,0.077,10,3,0.037037,0.333333,0.333333,
10-instance-14, 10, 0, 0.002,0.005,0,11,0,1,-nan(ind),1,
10-instance-15, 10, 0, 0.001,0.008,0,11,0,1,-nan(ind),1,
10-instance-16, 10, 0, 0.003,0.02,0,11,0,1,-nan(ind),1,
10-instance-17, 10, 0, 0.001,0.007,0,11,0,1,-nan(ind),1,
10-instance-18, 10, 5, 0.002,0.014,0.099,10,5,0.00032,0.2,0.2,
10-instance-19, 10, 2, 0.003,0.011,0.053,10,2,0.25,0.5,0.5,
10-instance-20, 10, 0, 0.002,0.006,0,11,0,1,-nan(ind),1,
10-instance-21, 10, 0, 0.001,0.005,0,11,0,1,-nan(ind),1,
10-instance-22, 10, 4, 0.004,0.011,0.066,8,2,0.0625,0.5,0.5,
10-instance-23, 10, 2, 0.001,0.006,0.053,10,2,0.25,0.5,0.5,
10-instance-24, 10, 2, 0.002,0.012,0.088,10,2,0.25,0.5,0.5,
10-instance-25, 10, 4, 0.006,0.05,0.162,9,2,0.0625,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-27, 10, 4, 0.002,0.011,0.084,9,2,0.0625,0.5,0.5,
10-instance-28, 10, 7, 0.003,0.01,0.319,7,4,0.00231481,0.428571,0.333333,
10-instance-29, 10, 2, 0.002,0.006,0.053,10,2,0.25,0.5,0.5,
10-instance-30, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-31, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-32, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-33, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-34, 10, 2, 0.003,0.017,0.051,10,2,0.25,0.5,0.5,
10-instance-35, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-36, 10, 4, 0.02,0.036,0.087,10,4,0.00390625,0.25,0.25,
10-instance-37, 10, 2, 0.004,0.009,0.046,10,2,0.25,0.5,0.5,
10-instance-38, 10, 2, 0.003,0.014,0.057,10,2,0.25,0.5,0.5,
10-instance-39, 10, 2, 0.002,0.005,0.049,10,2,0.25,0.5,0.5,
10-instance-40, 10, 3, 0.002,0.007,0.092,10,3,0.037037,0.333333,0.333333,
10-instance-41, 10, 3, 0.013,0.05,0.07,10,3,0.296296,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-43, 10, 2, 0.002,0.01,0.038,10,2,0.25,0.5,0.5,
10-instance-44, 10, 2, 0.002,0.013,0.05,10,2,0.25,0.5,0.5,
10-instance-45, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-46, 10, 0, 0.017,0.053,0,11,0,1,-nan(ind),1,
10-instance-47, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-48, 10, 0, 0.001,0.006,0,11,0,1,-nan(ind),1,
10-instance-49, 10, 0, 0.002,0.006,0,11,0,1,-nan(ind),1,
10-instance-50, 10, 3, 0.002,0.012,0.061,10,3,0.037037,0.333333,0.333333,
20-instance-1, 20, 6, 0.018,0.14,0.259,17,4,0.015625,0.5,0.5,
20-instance-2, 20, 0, 0.002,0.012,0,21,0,1,-nan(ind),1,
20-instance-3, 20, 0, 0.019,0.3,0,21,0,1,-nan(ind),1,
20-instance-4, 20, 4, 0.003,0.009,0.125,18,2,0.0625,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.011,0,21,0,1,-nan(ind),1,
20-instance-6, 20, 7, 0.026,0.206,0.314,18,6,8e-05,0.285714,0.2,
20-instance-7, 20, 8, 0.004,0.029,0.267,18,4,0.000183105,0.375,0.25,
20-instance-8, 20, 8, 0.029,0.225,0.201,20,8,5.96046e-08,0.125,0.125,
20-instance-9, 20, 9, 0.007,0.102,0.445,16,6,0.00216769,0.555556,0.333333,
20-instance-10, 20, 2, 0.006,0.02,0.046,20,2,0.25,0.5,0.5,
20-instance-11, 20, 2, 0.003,0.014,0.066,20,2,0.25,0.5,0.5,
20-instance-12, 20, 8, 0.002,0.018,0.388,18,6,2.97687e-06,0.25,0.166667,
20-instance-13, 20, 9, 0.004,0.023,0.403,15,4,0.00462963,0.555556,0.5,
20-instance-14, 20, 6, 0.014,0.247,0.217,19,3,0.00137174,0.333333,0.333333,
20-instance-15, 20, 15, 0.023,0.243,1.235,14,12,3.56822e-05,0.533333,0.333333,
20-instance-16, 20, 0, 0.029,0.165,0,21,0,1,-nan(ind),1,
20-instance-17, 20, 6, 0.001,0.013,0.127,20,6,2.14335e-05,0.166667,0.166667,
20-instance-18, 20, 9, 0.004,0.046,0.313,19,8,3.03566e-07,0.222222,0.142857,
20-instance-19, 20, 0, 0.002,0.011,0,21,0,1,-nan(ind),1,
20-instance-20, 20, 9, 0.023,0.19,0.345,19,6,7.93832e-07,0.222222,0.166667,
20-instance-21, 20, 11, 0.02,0.227,0.648,17,7,8.57339e-05,0.454545,0.333333,
20-instance-22, 20, 4, 0.019,0.262,0.154,20,4,0.316406,0.75,0.75,
20-instance-23, 20, 5, 0.001,0.015,0.13,20,5,0.00032,0.2,0.2,
20-instance-24, 20, 10, 0.002,0.028,0.329,19,9,4.49728e-08,0.2,0.142857,
20-instance-25, 20, 0, 0.002,0.045,0,21,0,1,-nan(ind),1,
20-instance-26, 20, 10, 0.008,0.139,0.48,18,8,9.77665e-05,0.4,0.375,
20-instance-27, 20, 0, 0.005,0.024,0,21,0,1,-nan(ind),1,
20-instance-28, 20, 11, 0.005,0.046,0.415,17,9,1.76078e-08,0.272727,0.125,
20-instance-29, 20, 6, 0.02,0.294,0.316,19,3,0.00137174,0.333333,0.333333,
20-instance-30, 20, 8, 0.017,0.302,0.344,18,7,1.18519e-05,0.25,0.2,
20-instance-31, 20, 5, 0.003,0.029,0.266,19,4,0.0740741,0.6,0.5,
20-instance-32, 20, 10, 0.019,0.218,0.485,16,8,2.37037e-05,0.4,0.2,
20-instance-33, 20, 0, 0.003,0.014,0,21,0,1,-nan(ind),1,
20-instance-34, 20, 0, 0.001,0.013,0,21,0,1,-nan(ind),1,
20-instance-35, 20, 8, 0.006,0.061,0.398,16,5,0.000391066,0.375,0.375,
20-instance-36, 20, 3, 0.007,0.055,0.081,20,3,0.037037,0.333333,0.333333,
20-instance-37, 20, 5, 0.015,0.281,0.129,20,5,0.00032,0.2,0.2,
20-instance-38, 20, 5, 0.003,0.028,0.111,20,5,0.00032,0.2,0.2,
20-instance-39, 20, 0, 0.003,0.064,0,21,0,1,-nan(ind),1,
20-instance-40, 20, 9, 0.007,0.102,0.636,17,6,0.000578704,0.444444,0.333333,
20-instance-41, 20, 7, 0.009,0.076,0.317,18,5,0.0026556,0.428571,0.428571,
20-instance-42, 20, 5, 0.015,0.092,0.19,18,3,0.0703125,0.6,0.5,
20-instance-43, 20, 8, 0.017,0.216,0.333,17,6,0.00303407,0.5,0.4,
20-instance-44, 20, 5, 0.021,0.088,0.234,18,4,0.0740741,0.6,0.5,
20-instance-45, 20, 11, 0.019,0.184,0.362,17,8,8.39808e-06,0.454545,0.2,
20-instance-46, 20, 6, 0.002,0.022,0.12,20,6,2.14335e-05,0.166667,0.166667,
20-instance-47, 20, 8, 0.021,0.315,0.494,17,6,0.0197754,0.625,0.5,
20-instance-48, 20, 2, 0.017,0.086,0.042,20,2,0.25,0.5,0.5,
20-instance-49, 20, 2, 0.002,0.013,0.039,20,2,0.25,0.5,0.5,
20-instance-50, 20, 3, 0.03,0.332,0.303,20,3,0.296296,0.666667,0.666667,
30-instance-1, 30, 7, 0.017,0.642,0.286,26,2,0.015625,0.571429,0.5,
30-instance-2, 30, 8, 0.005,0.148,0.515,29,4,0.00123596,0.5,0.25,
30-instance-3, 30, 7, 0.002,0.025,0.285,28,6,8e-05,0.285714,0.2,
30-instance-4, 30, 0, 0.04,0.433,0,31,0,1,-nan(ind),1,
30-instance-5, 30, 15, 0.016,0.124,0.376,30,15,2.28366e-18,0.0666667,0.0666667,
30-instance-6, 30, 10, 0.021,0.386,1.285,26,8,0.00303407,0.6,0.333333,
30-instance-7, 30, 2, 0.003,0.038,0.105,30,2,0.25,0.5,0.5,
30-instance-8, 30, 8, 0.03,0.999,0.27,30,8,5.96046e-08,0.125,0.125,
30-instance-9, 30, 15, 0.019,0.824,1.302,26,11,9.32556e-11,0.266667,0.142857,
30-instance-10, 30, 13, 0.007,0.143,0.752,25,9,2.18945e-08,0.307692,0.166667,
30-instance-11, 30, 4, 0.004,0.055,0.123,30,4,0.316406,0.75,0.75,
30-instance-12, 30, 17, 0.018,0.124,1.074,26,12,4.6155e-16,0.176471,0.0833333,
