Name, n, |M|, time solution, time partition, time distribution, generated solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.007,0,11,1,-nan(ind),1,
10-instance-2, 10, 2, 0.002,0.007,0.375,10,0.249997,0.5,0.498333,
10-instance-3, 10, 0, 0,0.004,0,11,1,-nan(ind),1,
10-instance-4, 10, 0, 0.001,0.004,0,11,1,-nan(ind),1,
10-instance-5, 10, 0, 0.003,0.007,0,11,1,-nan(ind),1,
10-instance-6, 10, 4, 0.002,0.011,0.212,10,0.00390599,0.25,0.248571,
10-instance-7, 10, 0, 0.003,0.008,0,11,1,-nan(ind),1,
10-instance-8, 10, 0, 0.001,0.01,0,11,1,-nan(ind),1,
10-instance-9, 10, 4, 0.029,0.028,0.377,8,0.0625,0.5,0.5,
10-instance-10, 10, 0, 0.003,0.007,0,11,1,-nan(ind),1,
10-instance-11, 10, 3, 0.026,0.025,0.38,10,0.0370366,0.333333,0.332308,
10-instance-12, 10, 0, 0.002,0.004,0,11,1,-nan(ind),1,
10-instance-13, 10, 3, 0.012,0.007,0.309,10,0.0370366,0.333333,0.332308,
10-instance-14, 10, 0, 0.001,0.002,0,11,1,-nan(ind),1,
10-instance-15, 10, 0, 0.001,0.011,0,11,1,-nan(ind),1,
10-instance-16, 10, 0, 0.002,0.017,0,11,1,-nan(ind),1,
10-instance-17, 10, 0, 0.002,0.009,0,11,1,-nan(ind),1,
10-instance-18, 10, 5, 0.002,0.009,0.195,10,0.00032,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.007,0.366,10,0.249997,0.5,0.498333,
10-instance-20, 10, 0, 0.001,0.006,0,11,1,-nan(ind),1,
10-instance-21, 10, 0, 0.001,0.007,0,11,1,-nan(ind),1,
10-instance-22, 10, 4, 0.002,0.006,0.241,8,0.0625,0.5,0.5,
10-instance-23, 10, 2, 0.001,0.007,0.375,10,0.249997,0.5,0.498333,
10-instance-24, 10, 2, 0.002,0.009,0.342,10,0.249997,0.5,0.498333,
10-instance-25, 10, 4, 0.003,0.019,0.322,9,0.0625,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.002,0,11,1,-nan(ind),1,
10-instance-27, 10, 4, 0.003,0.008,0.183,9,0.0625,0.5,0.5,
10-instance-28, 10, 7, 0.003,0.008,0.257,7,0.00231475,0.428571,0.332941,
10-instance-29, 10, 2, 0.002,0.007,0.429,10,0.249997,0.5,0.498333,
10-instance-30, 10, 0, 0.002,0.004,0,11,1,-nan(ind),1,
10-instance-31, 10, 0, 0.001,0.004,0,11,1,-nan(ind),1,
10-instance-32, 10, 0, 0.001,0.005,0,11,1,-nan(ind),1,
10-instance-33, 10, 0, 0.002,0.004,0,11,1,-nan(ind),1,
10-instance-34, 10, 2, 0.003,0.016,0.355,10,0.249997,0.5,0.498333,
10-instance-35, 10, 0, 0.001,0.004,0,11,1,-nan(ind),1,
10-instance-36, 10, 4, 0.014,0.026,0.149,10,0.00390599,0.25,0.248571,
10-instance-37, 10, 2, 0.001,0.006,0.345,10,0.249997,0.5,0.498333,
10-instance-38, 10, 2, 0.001,0.007,0.28,10,0.249997,0.5,0.498333,
10-instance-39, 10, 2, 0.001,0.006,0.342,10,0.249997,0.5,0.498333,
10-instance-40, 10, 3, 0.013,0.014,0.204,10,0.0370366,0.333333,0.332308,
10-instance-41, 10, 3, 0.082,0.047,0.802,10,0.296296,0.666667,0.666154,
10-instance-42, 10, 0, 0.001,0.003,0,11,1,-nan(ind),1,
10-instance-43, 10, 2, 0.001,0.008,0.41,10,0.249997,0.5,0.498333,
10-instance-44, 10, 2, 0.003,0.012,0.318,10,0.249997,0.5,0.498333,
10-instance-45, 10, 0, 0.001,0.002,0,11,1,-nan(ind),1,
10-instance-46, 10, 0, 0.013,0.032,0,11,1,-nan(ind),1,
10-instance-47, 10, 0, 0,0.005,0,11,1,-nan(ind),1,
10-instance-48, 10, 0, 0.001,0.007,0,11,1,-nan(ind),1,
10-instance-49, 10, 0, 0,0.004,0,11,1,-nan(ind),1,
10-instance-50, 10, 3, 0.001,0.006,0.205,10,0.0370366,0.333333,0.332308,
20-instance-1, 20, 6, 0.039,0.104,0.255,17,0.0156247,0.5,0.49875,
20-instance-2, 20, 0, 0.002,0.054,0,21,1,-nan(ind),1,
20-instance-3, 20, 0, 0.047,0.498,0,21,1,-nan(ind),1,
20-instance-4, 20, 4, 0.003,0.019,0.221,18,0.0625,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.014,0,21,1,-nan(ind),1,
20-instance-6, 20, 7, 0.011,0.265,0.285,18,7.99803e-05,0.285714,0.197647,
20-instance-7, 20, 8, 0.002,0.019,0.34,18,0.000244102,0.375,0.248889,
20-instance-8, 20, 8, 0.012,0.239,0.048,20,5.95723e-08,0.125,0.124444,
20-instance-9, 20, 9, 0.005,0.082,0.259,16,0.00236035,0.555556,0.284211,
20-instance-10, 20, 2, 0.003,0.018,0.322,20,0.249997,0.5,0.498333,
20-instance-11, 20, 2, 0.001,0.011,0.24,20,0.249997,0.5,0.498333,
