Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-2, 10, 2, 0.001,0.004,0.024,10,2,0.25,0.5,0.5,
10-instance-3, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-4, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-5, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-6, 10, 4, 0.001,0.007,0.037,10,4,0.00390625,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-8, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-9, 10, 4, 0.013,0.016,0.06,8,4,0.0625,0.5,0.5,
10-instance-10, 10, 0, 0,0.002,0,11,0,1,-nan(ind),1,
10-instance-11, 10, 3, 0.001,0.004,0.018,10,3,0.037037,0.333333,0.333333,
10-instance-12, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-13, 10, 3, 0.001,0.004,0.026,10,3,0.037037,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.001,0,11,0,1,-nan(ind),1,
10-instance-15, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-16, 10, 0, 0.002,0.01,0,11,0,1,-nan(ind),1,
10-instance-17, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-18, 10, 5, 0.001,0.007,0.105,10,5,0.00032,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.009,0.025,10,2,0.25,0.5,0.5,
10-instance-20, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-21, 10, 0, 0.001,0.006,0,11,0,1,-nan(ind),1,
10-instance-22, 10, 4, 0.001,0.003,0.038,8,3,0.0549316,0.5,0.375,
10-instance-23, 10, 2, 0.001,0.002,0.019,10,2,0.25,0.5,0.5,
10-instance-24, 10, 2, 0,0.004,0.018,10,2,0.25,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.014,0.035,9,6,0.0625,0.5,0.5,
10-instance-26, 10, 0, 0.003,0.001,0,11,0,1,-nan(ind),1,
10-instance-27, 10, 4, 0.001,0.003,0.024,9,4,0.0625,0.5,0.5,
10-instance-28, 10, 7, 0.001,0.006,4.064,7,8,0.00168272,0.428571,0.263492,
10-instance-29, 10, 2, 0,0.004,0.016,10,2,0.25,0.5,0.5,
10-instance-30, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-31, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-32, 10, 0, 0,0.002,0,11,0,1,-nan(ind),1,
10-instance-33, 10, 0, 0.002,0.001,0,11,0,1,-nan(ind),1,
10-instance-34, 10, 2, 0.001,0.01,0.025,10,2,0.25,0.5,0.5,
10-instance-35, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-36, 10, 4, 0.011,0.014,0.045,10,4,0.00390625,0.25,0.25,
10-instance-37, 10, 2, 0.001,0.003,0.009,10,2,0.25,0.5,0.5,
10-instance-38, 10, 2, 0,0.004,0.026,10,2,0.25,0.5,0.5,
10-instance-39, 10, 2, 0,0.004,0.014,10,2,0.25,0.5,0.5,
10-instance-40, 10, 3, 0.001,0.006,0.027,10,3,0.037037,0.333333,0.333333,
10-instance-41, 10, 3, 0.007,0.029,0.051,10,3,0.296296,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-43, 10, 2, 0.001,0.009,0.029,10,2,0.25,0.5,0.5,
10-instance-44, 10, 2, 0.001,0.005,0.032,10,2,0.25,0.5,0.5,
10-instance-45, 10, 0, 0.001,0.001,0,11,0,1,-nan(ind),1,
10-instance-46, 10, 0, 0.008,0.031,0,11,0,1,-nan(ind),1,
10-instance-47, 10, 0, 0.001,0.001,0,11,0,1,-nan(ind),1,
10-instance-48, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-49, 10, 0, 0,0.003,0,11,0,1,-nan(ind),1,
10-instance-50, 10, 3, 0,0.003,0.015,10,3,0.037037,0.333333,0.333333,
20-instance-1, 20, 6, 0.01,0.07,3.318,17,720,0.014769,0.5,0.416667,
20-instance-2, 20, 0, 0.001,0.007,0,21,0,1,-nan(ind),1,
20-instance-3, 20, 0, 0.008,0.142,0,21,0,1,-nan(ind),1,
20-instance-4, 20, 4, 0.002,0.005,0.044,18,4,0.0625,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.006,0,21,0,1,-nan(ind),1,
