Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
20-instance-1, 20, 6, 0.062,0.095,0.019,17,1,0,0.5,0,
20-instance-2, 20, 0, 0.001,0.02,0,21,1,0,0,1,
20-instance-3, 20, 0, 0.021,0.282,0,21,1,0,0,1,
20-instance-4, 20, 4, 0.004,0.02,0.081,18,4,0.5,0.5,0.5,
20-instance-5, 20, 0, 0.002,0.017,0,21,1,0,0,1,
20-instance-6, 20, 7, 0.122,0.508,0.047,18,1,0,0.285714,0,
20-instance-7, 20, 8, 0.004,0.027,0.032,18,1,0,0.375,0,
20-instance-8, 20, 8, 0.018,0.163,0.045,20,1,0,0.125,0,
20-instance-9, 20, 9, 0.005,0.08,0.048,16,1,0,0.555556,0,
20-instance-10, 20, 2, 0.003,0.024,0.029,20,2,0.5,0.5,0.5,
20-instance-11, 20, 2, 0.001,0.012,0.017,20,2,0.5,0.5,0.5,
20-instance-12, 20, 8, 0.002,0.013,0.02,18,1,0,0.25,0,
20-instance-13, 20, 9, 0.002,0.018,0.042,15,1,0,0.555556,0,
20-instance-14, 20, 6, 0.015,0.179,0.028,19,1,0,0.333333,0,
20-instance-15, 20, 15, 0.015,0.15,0.032,14,1,0,0.533333,0,
20-instance-16, 20, 0, 0.009,0.109,0,21,1,0,0,1,
20-instance-17, 20, 6, 0.001,0.011,0.012,20,1,0,0.166667,0,
20-instance-18, 20, 9, 0.002,0.029,0.028,19,1,0,0.222222,0,
20-instance-19, 20, 0, 0.002,0.011,0,21,1,0,0,1,
20-instance-20, 20, 9, 0.011,0.115,0.028,19,1,0,0.222222,0,
20-instance-21, 20, 11, 0.01,0.135,0.033,17,1,0,0.454545,0,
20-instance-22, 20, 4, 0.018,0.19,0.298,20,24,0.75,0.75,0.75,
20-instance-23, 20, 5, 0.001,0.017,0.035,20,1,0,0.2,0,
20-instance-24, 20, 10, 0.001,0.019,0.024,19,1,0,0.2,0,
20-instance-25, 20, 0, 0.004,0.03,0,21,1,0,0,1,
20-instance-26, 20, 10, 0.004,0.102,0.026,18,1,0,0.4,0,
20-instance-27, 20, 0, 0.002,0.014,0,21,1,0,0,1,
20-instance-28, 20, 11, 0.003,0.026,0.031,17,1,0,0.272727,0,
20-instance-29, 20, 6, 0.013,0.173,0.029,19,1,0,0.333333,0,
20-instance-30, 20, 8, 0.01,0.175,0.031,18,1,0,0.25,0,
20-instance-31, 20, 5, 0.001,0.021,0.015,19,1,0,0.6,0,
20-instance-32, 20, 10, 0.008,0.123,0.034,16,1,0,0.4,0,
20-instance-33, 20, 0, 0.001,0.01,0,21,1,0,0,1,
20-instance-34, 20, 0, 0.002,0.021,0,21,1,0,0,1,
20-instance-35, 20, 8, 0.004,0.04,0.024,16,1,0,0.375,0,
20-instance-36, 20, 3, 0.003,0.037,0.029,20,6,0.333333,0.333333,0.333333,
20-instance-37, 20, 5, 0.012,0.139,0.026,20,1,0,0.2,0,
20-instance-38, 20, 5, 0.001,0.01,0.018,20,1,0,0.2,0,
20-instance-39, 20, 0, 0.001,0.023,0,21,1,0,0,1,
20-instance-40, 20, 9, 0.004,0.059,0.027,17,1,0,0.444444,0,
20-instance-41, 20, 7, 0.002,0.037,0.032,18,1,0,0.428571,0,
20-instance-42, 20, 5, 0.01,0.065,0.022,18,1,0,0.6,0,
20-instance-43, 20, 8, 0.01,0.116,0.027,17,1,0,0.5,0,
20-instance-44, 20, 5, 0.007,0.053,0.024,18,1,0,0.6,0,
20-instance-45, 20, 11, 0.011,0.114,0.029,17,1,0,0.454545,0,
20-instance-46, 20, 6, 0.002,0.017,0.014,20,1,0,0.166667,0,
20-instance-47, 20, 8, 0.014,0.174,0.027,17,1,0,0.625,0,
20-instance-48, 20, 2, 0.007,0.03,0.028,20,2,0.5,0.5,0.5,
20-instance-49, 20, 2, 0.001,0.009,0.015,20,2,0.5,0.5,0.5,
20-instance-50, 20, 3, 0.01,0.191,0.096,20,6,0.666667,0.666667,0.666667,
30-instance-1, 30, 7, 0.021,0.279,0.035,26,1,0,0.571429,0,
