Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.001,0.006,0,11,1,0,0,1,
10-instance-2, 10, 2, 0.001,0.007,0.028,10,2,0.5,0.5,0.5,
10-instance-3, 10, 0, 0.001,0.007,0,11,1,0,0,1,
10-instance-4, 10, 0, 0.001,0.007,0,11,1,0,0,1,
10-instance-5, 10, 0, 0.001,0.006,0,11,1,0,0,1,
10-instance-6, 10, 4, 0.001,0.01,0.041,10,4,0.25,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.007,0,11,1,0,0,1,
10-instance-8, 10, 0, 0.001,0.003,0,11,1,0,0,1,
10-instance-9, 10, 4, 0.022,0.022,0.075,8,4,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.003,0,11,1,0,0,1,
10-instance-11, 10, 3, 0.001,0.005,0.017,10,3,0.333333,0.333333,0.333333,
10-instance-12, 10, 0, 0.001,0.002,0,11,1,0,0,1,
10-instance-13, 10, 3, 0,0.005,0.019,10,3,0.333333,0.333333,0.333333,
10-instance-14, 10, 0, 0,0.003,0,11,1,0,0,1,
10-instance-15, 10, 0, 0.001,0.004,0,11,1,0,0,1,
10-instance-16, 10, 0, 0.001,0.01,0,11,1,0,0,1,
10-instance-17, 10, 0, 0.001,0.005,0,11,1,0,0,1,
10-instance-18, 10, 5, 0.001,0.005,0.01,10,1,0,0.2,0,
10-instance-19, 10, 2, 0.001,0.01,0.017,10,2,0.5,0.5,0.5,
10-instance-20, 10, 0, 0.001,0.008,0,11,1,0,0,1,
10-instance-21, 10, 0, 0.001,0.007,0,11,1,0,0,1,
10-instance-22, 10, 4, 0.001,0.012,0.052,8,3,0.484123,0.5,0.375,
10-instance-23, 10, 2, 0.001,0.004,0.015,10,2,0.5,0.5,0.5,
10-instance-24, 10, 2, 0.001,0.006,0.014,10,2,0.5,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.02,0.038,9,6,0.5,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.003,0,11,1,0,0,1,
10-instance-27, 10, 4, 0.001,0.003,0.069,9,4,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.002,0.005,0.015,7,1,0,0.428571,0,
10-instance-29, 10, 2, 0.001,0.003,0.017,10,2,0.5,0.5,0.5,
10-instance-30, 10, 0, 0.001,0.002,0,11,1,0,0,1,
10-instance-31, 10, 0, 0.001,0.006,0,11,1,0,0,1,
10-instance-32, 10, 0, 0,0.004,0,11,1,0,0,1,
10-instance-33, 10, 0, 0.001,0.001,0,11,1,0,0,1,
10-instance-34, 10, 2, 0.002,0.016,0.024,10,2,0.5,0.5,0.5,
10-instance-35, 10, 0, 0,0.003,0,11,1,0,0,1,
10-instance-36, 10, 4, 0.006,0.025,0.044,10,4,0.25,0.25,0.25,
10-instance-37, 10, 2, 0.001,0.004,0.018,10,2,0.5,0.5,0.5,
10-instance-38, 10, 2, 0.001,0.004,0.026,10,2,0.5,0.5,0.5,
10-instance-39, 10, 2, 0,0.005,0.017,10,2,0.5,0.5,0.5,
10-instance-40, 10, 3, 0.001,0.008,0.017,10,3,0.333333,0.333333,0.333333,
10-instance-41, 10, 3, 0.007,0.03,0.048,10,3,0.666667,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.002,0,11,1,0,0,1,
10-instance-43, 10, 2, 0.001,0.005,0.013,10,2,0.5,0.5,0.5,
10-instance-44, 10, 2, 0.001,0.008,0.017,10,2,0.5,0.5,0.5,
10-instance-45, 10, 0, 0,0.003,0,11,1,0,0,1,
10-instance-46, 10, 0, 0.009,0.028,0,11,1,0,0,1,
10-instance-47, 10, 0, 0.001,0.002,0,11,1,0,0,1,
10-instance-48, 10, 0, 0.001,0.005,0,11,1,0,0,1,
10-instance-49, 10, 0, 0,0.005,0,11,1,0,0,1,
10-instance-50, 10, 3, 0.001,0.005,0.023,10,3,0.333333,0.333333,0.333333,
20-instance-1, 20, 6, 0.009,0.071,0.034,17,1,0,0.5,0,
20-instance-2, 20, 0, 0.001,0.014,0,21,1,0,0,1,
20-instance-3, 20, 0, 0.01,0.159,0,21,1,0,0,1,
20-instance-4, 20, 4, 0.002,0.008,0.044,18,4,0.5,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.01,0,21,1,0,0,1,
20-instance-6, 20, 7, 0.011,0.086,0.025,18,1,0,0.285714,0,
20-instance-7, 20, 8, 0.002,0.013,0.017,18,1,0,0.375,0,
20-instance-8, 20, 8, 0.009,0.123,0.031,20,1,0,0.125,0,
20-instance-9, 20, 9, 0.004,0.063,0.029,16,1,0,0.555556,0,
20-instance-10, 20, 2, 0.002,0.016,0.017,20,2,0.5,0.5,0.5,
20-instance-11, 20, 2, 0.001,0.012,0.015,20,2,0.5,0.5,0.5,
20-instance-12, 20, 8, 0.002,0.014,0.038,18,1,0,0.25,0,
20-instance-13, 20, 9, 0.002,0.011,0.022,15,1,0,0.555556,0,
20-instance-14, 20, 6, 0.013,0.122,0.065,19,1,0,0.333333,0,
20-instance-15, 20, 15, 0.012,0.136,0.033,14,1,0,0.533333,0,
20-instance-16, 20, 0, 0.01,0.094,0,21,1,0,0,1,
20-instance-17, 20, 6, 0.001,0.009,0.026,20,1,0,0.166667,0,
20-instance-18, 20, 9, 0.002,0.034,0.022,19,1,0,0.222222,0,
20-instance-19, 20, 0, 0.001,0.01,0,21,1,0,0,1,
20-instance-20, 20, 9, 0.007,0.099,0.025,19,1,0,0.222222,0,
20-instance-21, 20, 11, 0.011,0.112,0.031,17,1,0,0.454545,0,
20-instance-22, 20, 4, 0.008,0.146,0.247,20,24,0.75,0.75,0.75,
20-instance-23, 20, 5, 0.001,0.008,0.016,20,1,0,0.2,0,
20-instance-24, 20, 10, 0.002,0.009,0.06,19,1,0,0.2,0,
20-instance-25, 20, 0, 0.002,0.018,0,21,1,0,0,1,
20-instance-26, 20, 10, 0.003,0.064,0.027,18,1,0,0.4,0,
20-instance-27, 20, 0, 0.002,0.014,0,21,1,0,0,1,
20-instance-28, 20, 11, 0.004,0.04,0.044,17,1,0,0.272727,0,
20-instance-29, 20, 6, 0.019,0.171,0.043,19,1,0,0.333333,0,
20-instance-30, 20, 8, 0.009,0.155,0.027,18,1,0,0.25,0,
20-instance-31, 20, 5, 0.001,0.017,0.016,19,1,0,0.6,0,
20-instance-32, 20, 10, 0.012,0.115,0.03,16,1,0,0.4,0,
20-instance-33, 20, 0, 0.001,0.007,0,21,1,0,0,1,
20-instance-34, 20, 0, 0.001,0.008,0,21,1,0,0,1,
20-instance-35, 20, 8, 0.002,0.029,0.027,16,1,0,0.375,0,
20-instance-36, 20, 3, 0.003,0.029,0.023,20,6,0.333333,0.333333,0.333333,
20-instance-37, 20, 5, 0.011,0.152,0.028,20,1,0,0.2,0,
20-instance-38, 20, 5, 0.001,0.011,0.013,20,1,0,0.2,0,
20-instance-39, 20, 0, 0.001,0.016,0,21,1,0,0,1,
20-instance-40, 20, 9, 0.003,0.046,0.026,17,1,0,0.444444,0,
20-instance-41, 20, 7, 0.003,0.023,0.02,18,1,0,0.428571,0,
20-instance-42, 20, 5, 0.007,0.056,0.021,18,1,0,0.6,0,
20-instance-43, 20, 8, 0.009,0.106,0.025,17,1,0,0.5,0,
20-instance-44, 20, 5, 0.006,0.045,0.022,18,1,0,0.6,0,
20-instance-45, 20, 11, 0.01,0.097,0.025,17,1,0,0.454545,0,
20-instance-46, 20, 6, 0,0.008,0.016,20,1,0,0.166667,0,
20-instance-47, 20, 8, 0.008,0.146,0.027,17,1,0,0.625,0,
20-instance-48, 20, 2, 0.006,0.018,0.018,20,2,0.5,0.5,0.5,
20-instance-49, 20, 2, 0.001,0.007,0.009,20,2,0.5,0.5,0.5,
20-instance-50, 20, 3, 0.008,0.17,0.073,20,6,0.666667,0.666667,0.666667,
30-instance-1, 30, 7, 0.012,0.232,0.026,26,1,0,0.571429,0,
30-instance-2, 30, 8, 0.002,0.046,0.025,29,1,0,0.5,0,
