Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.053,0.264,0.102,39,2,0.5,0.5,0.5,
wt40-1, 40, 10, 0.018,0.326,0.072,36,2,0.659754,0.7,0.5,
wt40-2, 40, 2, 0.012,0.213,0.008,40,2,0.5,0.5,0.5,
wt40-3, 40, 8, 0.026,0.747,0.058,36,2,0.594604,0.625,0.5,
wt40-4, 40, 4, 0.013,0.203,0.014,39,2,0.5,0.5,0.5,
wt40-5, 40, 0, 0.01,0.565,0,41,1,0,0,1,
wt40-6, 40, 0, 0.015,0.575,0,41,1,0,0,1,
wt40-7, 40, 9, 0.012,0.438,0.316,37,2,0.629961,0.666667,0.5,
wt40-8, 40, 5, 0.012,0.544,0.187,38,3,0.439836,0.466667,0.333333,
wt40-9, 40, 0, 0.015,0.638,0,41,1,0,0,1,
wt40-10, 40, 0, 0.011,0.597,0,41,1,0,0,1,
wt40-11, 40, 10, 0.03,0.537,0.275,37,2,0.707107,0.75,0.5,
wt40-12, 40, 3, 0.013,0.813,0.128,39,2,0.5,0.5,0.5,
wt40-13, 40, 5, 0.022,0.624,0.217,38,2,0.5,0.5,0.5,
wt40-14, 40, 0, 0.011,0.594,0,41,1,0,0,1,
wt40-15, 40, 7, 0.056,0.968,0.347,36,2,0.552045,0.571429,0.5,
wt40-16, 40, 7, 0.036,0.755,0.525,38,5,0.233986,0.257143,0.2,
wt40-17, 40, 0, 0.028,0.82,0,41,1,0,0,1,
wt40-18, 40, 0, 0.013,0.679,0,41,1,0,0,1,
wt40-19, 40, 3, 0.011,0.669,0.053,39,2,0.5,0.5,0.5,
wt40-20, 40, 8, 0.017,0.222,0.117,36,4,0.491928,0.520833,0.333333,
wt40-21, 40, 3, 0.009,0.113,0.061,39,2,0.5,0.5,0.5,
wt40-22, 40, 2, 0.011,0.163,0.067,40,2,0.5,0.5,0.5,
wt40-23, 40, 0, 0.003,0.179,0,41,1,0,0,1,
wt40-24, 40, 0, 0.006,0.146,0,41,1,0,0,1,
wt40-25, 40, 0, 0.001,0.038,0,41,1,0,0,1,
wt40-26, 40, 7, 0.001,0.02,0.015,40,7,0.857143,0.857143,0.857143,
wt40-27, 40, 2, 0.002,0.039,0.004,40,2,0.5,0.5,0.5,
wt40-28, 40, 2, 0.001,0.047,0.005,40,2,0.5,0.5,0.5,
wt40-29, 40, 0, 0.001,0.031,0,41,1,0,0,1,
wt40-30, 40, 0, 0.013,0.54,0,41,1,0,0,1,
wt40-31, 40, 4, 0.011,0.609,0.116,39,2,0.5,0.5,0.5,
wt40-32, 40, 0, 0.051,0.81,0,41,1,0,0,1,
wt40-33, 40, 5, 0.012,0.372,0.02,39,2,0.574349,0.6,0.5,
wt40-34, 40, 0, 0.012,0.451,0,41,1,0,0,1,
wt40-35, 40, 0, 0.013,0.646,0,41,1,0,0,1,
