Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,0,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.5,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0,
wt40-8, 40, 5, 0.333333,0,1,1,1,1,1,1,0.333333,1,1,0,1,1,1,0.666667,1,1,0,0.666667,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.333333,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,1,1,0,1,1,1,0,0.5,0,1,1,1,0,1,1,0.5,1,1,1,1,0,0.5,1,1,0,1,0,0.5,0,1,1,0.5,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.5,0,0,1,1,0.5,1,1,1,1,0,1,1,1,0.5,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.5,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.5,0,1,0,0,1,1,1,0,1,0,0,0.5,1,0,0,1,0.5,0.5,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,1,0,0,0.5,1,0,0.5,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.5,1,0,0.5,0.5,0.5,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.2,0,0,1,1,0.2,1,0.2,1,0,1,1,0.6,0.2,0,0.2,1,1,0,1,1,0,0,0,0.2,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.5,0.5,1,0,1,0,0,1,0.5,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.833333,0,0,0,0,0.666667,0,0,0,0.5,0.5,0,0.333333,0.333333,0,0,0,1,0.666667,1,0.333333,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.5,0.5,0,1,0,0.5,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
