Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.053,0.264,0.328,39,2,0.529134,0.555641,0.333077,
wt40-1, 40, 10, 0.018,0.326,0.211,36,2,0.659754,0.7,0.5,
wt40-2, 40, 2, 0.012,0.213,0.365,40,2,0.499997,0.5,0.498333,
wt40-3, 40, 8, 0.026,0.747,0.712,36,5,0.618051,0.625,0.453333,
wt40-4, 40, 4, 0.013,0.203,0.241,39,2,0.5,0.5,0.5,
wt40-5, 40, 0, 0.01,0.565,0,41,1,0,0,1,
wt40-6, 40, 0, 0.015,0.575,0,41,1,0,0,1,
wt40-7, 40, 9, 0.012,0.438,0.659,37,5,0.638198,0.666667,0.393158,
wt40-8, 40, 5, 0.012,0.544,0.258,38,3,0.447213,0.489333,0.276667,
wt40-9, 40, 0, 0.015,0.638,0,41,1,0,0,1,
wt40-10, 40, 0, 0.011,0.597,0,41,1,0,0,1,
wt40-11, 40, 10, 0.03,0.537,0.116,37,2,0.714262,0.76,0.4,
wt40-12, 40, 3, 0.013,0.813,0.257,39,2,0.529134,0.555641,0.333077,
wt40-13, 40, 5, 0.022,0.624,0.215,38,2,0.51017,0.52,0.4,
wt40-14, 40, 0, 0.011,0.594,0,41,1,0,0,1,
wt40-15, 40, 7, 0.056,0.968,0.312,36,3,0.557726,0.571429,0.428235,
wt40-16, 40, 7, 0.036,0.755,0.125,38,5,0.248961,0.29563,0.144118,
wt40-17, 40, 0, 0.028,0.82,0,41,1,0,0,1,
wt40-18, 40, 0, 0.013,0.679,0,41,1,0,0,1,
wt40-19, 40, 3, 0.011,0.669,0.19,39,2,0.529134,0.555641,0.333077,
wt40-20, 40, 8, 0.017,0.222,0.066,36,4,0.499998,0.545,0.262222,
wt40-21, 40, 3, 0.009,0.113,0.137,39,2,0.529134,0.555641,0.333077,
wt40-22, 40, 2, 0.011,0.163,0.308,40,2,0.499997,0.5,0.498333,
wt40-23, 40, 0, 0.003,0.179,0,41,1,0,0,1,
wt40-24, 40, 0, 0.006,0.146,0,41,1,0,0,1,
wt40-25, 40, 0, 0.001,0.038,0,41,1,0,0,1,
wt40-26, 40, 7, 0.001,0.02,1.225,40,7,0.857142,0.857143,0.856471,
wt40-27, 40, 2, 0.002,0.039,0.222,40,2,0.499997,0.5,0.498333,
wt40-28, 40, 2, 0.001,0.047,0.269,40,2,0.499997,0.5,0.498333,
wt40-29, 40, 0, 0.001,0.031,0,41,1,0,0,1,
wt40-30, 40, 0, 0.013,0.54,0,41,1,0,0,1,
wt40-31, 40, 4, 0.011,0.609,0.27,39,2,0.5,0.5,0.5,
wt40-32, 40, 0, 0.051,0.81,0,41,1,0,0,1,
wt40-33, 40, 5, 0.012,0.372,0.459,39,2,0.574349,0.6,0.5,
wt40-34, 40, 0, 0.012,0.451,0,41,1,0,0,1,
wt40-35, 40, 0, 0.013,0.646,0,41,1,0,0,1,
