Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.666923,0,1,0.666923,1,1,1,1,1,1,1,1,1,0.333077,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.501667,1,1,1,1,1,1,1,1,0,1,1,1,0.498333,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.453333,1,1,1,0.688889,1,1,1,1,1,0.688889,1,1,1,1,1,1,1,1,0.546667,0.693333,1,1,0.688889,1,1,1,1,1,0.693333,1,1,1,1,1,1,1,0.546667,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,0,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.393158,1,0,0,0,0,1,1,1,1,1,0,0.881053,1,1,0.877895,1,1,0.620526,1,1,0.620526,1,0.484737,1,1,1,1,1,1,0.487895,1,1,1,0.634211,1,1,1,0,
wt40-8, 40, 5, 0.446667,0,1,1,1,1,1,1,0.276667,1,1,0,1,1,1,0.723333,1,1,0,0.723333,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.276667,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,1,1,0,1,1,1,0,0.4,0,1,1,1,0,1,1,0.4,1,1,1,1,0,0.6,1,1,0,1,0,0.6,0,1,1,0.6,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.666923,0,0,1,1,0.333077,1,1,1,1,0,1,1,1,0.666923,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.6,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.4,0,1,0,0,1,1,1,0,1,0,0,0.6,1,0,0,1,0.4,0.6,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,0.856471,0,0,0.571765,1,0,0.571765,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.428235,1,0,0.428235,0.571765,0.571765,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.357647,0,0,1,1,0.357647,1,0.144118,1,0,1,1,0.711765,0.177059,0,0.177059,1,1,0,1,1,0,0,0,0.144118,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.666923,0.666923,1,0,1,0,0,1,0.333077,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96,0,0,0,0,0.662222,0,0,0,0.377778,0.622222,0,0.337778,0.4,0,0,0,1,0.737778,1,0.262222,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.333077,0.666923,0,1,0,0.666923,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.501667,0,0,0.498333,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
wt40-25, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-26, 40, 7, 0.856471,0.856471,1,1,1,1,1,1,0.857059,1,1,1,0.856471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.856471,1,1,1,1,1,0.860588,1,0.856471,1,1,1,1,
wt40-27, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.501667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.498333,1,1,1,
wt40-28, 40, 2, 1,1,0.501667,1,1,1,1,0.498333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-29, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
wt40-30, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-31, 40, 4, 1,1,1,0,1,0,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0,1,1,1,1,1,1,0,1,
wt40-32, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
wt40-33, 40, 5, 1,1,1,1,1,1,1,1,0.5,1,1,0,0,0,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-34, 40, 0, 1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,
wt40-35, 40, 0, 1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,
