Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.053,0.264,0.197,39,6,0.529134,0.555556,0.333333,
wt40-1, 40, 10, 0.018,0.326,25.347,36,1000,0.624049,0.679,0.266,
wt40-2, 40, 2, 0.012,0.213,0.062,40,2,0.5,0.5,0.5,
wt40-3, 40, 8, 0.026,0.747,24.526,36,1000,0.594367,0.625,0.324,
wt40-4, 40, 4, 0.013,0.203,0.088,39,24,0.484123,0.5,0.375,
wt40-5, 40, 0, 0.01,0.565,0,41,1,0,0,1,
wt40-6, 40, 0, 0.015,0.575,0,41,1,0,0,1,
wt40-7, 40, 9, 0.012,0.438,21.615,37,1000,0.621574,0.664778,0.263,
wt40-8, 40, 5, 0.012,0.544,21.945,38,1000,0.447177,0.491,0.271,
wt40-9, 40, 0, 0.015,0.638,0,41,1,0,0,1,
wt40-10, 40, 0, 0.011,0.597,0,41,1,0,0,1,
wt40-11, 40, 10, 0.03,0.537,38.26,37,1000,0.688705,0.7331,0.306,
wt40-12, 40, 3, 0.013,0.813,0.183,39,6,0.529134,0.555556,0.333333,
wt40-13, 40, 5, 0.022,0.624,22.014,38,1000,0.486901,0.5112,0.275,
wt40-14, 40, 0, 0.011,0.594,0,41,1,0,0,1,
wt40-15, 40, 7, 0.056,0.968,70.39,36,1000,0.53652,0.545143,0.381,
wt40-16, 40, 7, 0.036,0.755,33.695,38,1000,0.248353,0.299143,0.138,
wt40-17, 40, 0, 0.028,0.82,0,41,1,0,0,1,
wt40-18, 40, 0, 0.013,0.679,0,41,1,0,0,1,
wt40-19, 40, 3, 0.011,0.669,0.092,39,6,0.529134,0.555556,0.333333,
wt40-20, 40, 8, 0.017,0.222,22.451,36,5,0.491859,0.533,0.246,
wt40-21, 40, 3, 0.009,0.113,0.108,39,2,0.529134,0.555556,0.333333,
wt40-22, 40, 2, 0.011,0.163,0.04,40,2,0.5,0.5,0.5,
wt40-23, 40, 0, 0.003,0.179,0,41,1,0,0,1,
wt40-24, 40, 0, 0.006,0.146,0,41,1,0,0,1,
wt40-25, 40, 0, 0.001,0.038,0,41,1,0,0,1,
wt40-26, 40, 7, 0.001,0.02,0.925,40,1000,0.857089,0.857143,0.844,
wt40-27, 40, 2, 0.002,0.039,0.017,40,2,0.5,0.5,0.5,
wt40-28, 40, 2, 0.001,0.047,0.018,40,2,0.5,0.5,0.5,
wt40-29, 40, 0, 0.001,0.031,0,41,1,0,0,1,
wt40-30, 40, 0, 0.013,0.54,0,41,1,0,0,1,
wt40-31, 40, 4, 0.011,0.609,0.366,39,24,0.484123,0.5,0.375,
wt40-32, 40, 0, 0.051,0.81,0,41,1,0,0,1,
wt40-33, 40, 5, 0.012,0.372,16.737,39,1000,0.546576,0.5762,0.368,
wt40-34, 40, 0, 0.012,0.451,0,41,1,0,0,1,
wt40-35, 40, 0, 0.013,0.646,0,41,1,0,0,1,
