Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.666667,0,1,0.666667,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.266,1,1,0.97,1,1,1,1,0.964,0.515,1,1,1,1,1,0.499,1,0.644,1,1,1,1,0.354,1,1,0.974,1,1,1,1,1,1,0.912,1,1,1,0.692,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.324,1,1,1,0.897,1,1,1,1,1,0.897,1,1,1,1,1,1,1,1,0.46,0.636,1,1,0.67,1,1,1,1,1,0.639,1,1,1,1,1,1,1,0.477,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.375,1,1,1,1,1,1,1,0.375,1,1,1,1,0,1,1,1,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.263,0.983,0,0,0,0,1,1,1,1,1,0,0.88,1,1,0.841,1,1,0.641,1,1,0.655,1,0.463,1,1,1,1,1,1,0.478,1,1,1,0.779,1,1,1,0,
wt40-8, 40, 5, 0.455,0,1,1,1,1,1,1,0.271,1,1,0,1,1,1,0.726,1,1,0,0.729,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.274,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,0.977,1,0,1,1,1,0,0.548,0,1,1,1,0,1,1,0.306,0.879,0.921,1,1,0,0.631,0.967,1,0,0.981,0,0.669,0,1,1,0.452,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.666667,0,0,1,1,0.333333,1,1,1,1,0,1,1,1,0.666667,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.556,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.444,0,1,0,0,1,1,1,0,1,0,0,0.556,1,0,0,1,0.275,0.725,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,0.557,0,0,0.619,1,0,0.706,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.381,1,0,0.478,0.553,0.522,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.378,0,0,1,1,0.378,1,0.146,1,0,1,1,0.716,0.186,0,0.152,1,1,0,1,1,0,0,0,0.138,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.666667,0.666667,1,0,1,0,0,1,0.333333,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.778,0,0,0,0,0.754,0,0,0,0.468,0.532,0,0.246,0.486,0,0,0,1,0.732,1,0.268,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.333333,0.666667,0,1,0,0.666667,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
wt40-25, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-26, 40, 7, 0.864,0.871,1,1,1,1,1,1,0.856,1,1,1,0.865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.856,1,1,1,1,1,0.844,1,0.844,1,1,1,1,
wt40-27, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,
wt40-28, 40, 2, 1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-29, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
wt40-30, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-31, 40, 4, 1,1,1,0,1,0,0.375,1,1,1,1,1,1,1,1,0.625,1,1,1,1,1,1,1,1,1,0.625,1,0.375,1,1,1,0,1,1,1,1,1,1,0,1,
wt40-32, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
wt40-33, 40, 5, 1,1,1,1,1,1,1,1,0.513,1,1,0,0,0,1,1,0.7,0.368,1,1,1,1,1,1,1,0.419,1,1,1,1,1,1,1,1,0.881,1,1,1,1,1,
wt40-34, 40, 0, 1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,
wt40-35, 40, 0, 1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,
