Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.079,0.71,27.993,21,1000,0.484421,0.484825,0.452063,3.3737,4.9572,0.98,
TT_10_0.05_1, 10, 5, 0.026,0.479,19.662,21,1000,0.545743,0.5508,0.459167,2.235,2.3154,1,
TT_10_0.05_2, 10, 3, 0.028,0.5,22.994,21,1000,0.499945,0.5,0.4905,9.99891,10,1,
TT_10_0.05_3, 10, 5, 0.021,0.401,20.149,21,1000,0.474495,0.477952,0.397667,4.73335,5.374,1,
TT_10_0.05_4, 10, 6, 0.027,0.567,25.56,21,1000,0.485917,0.486259,0.463222,5.50995,8.96233,0.974,
TT_10_0.05_5, 10, 4, 0.025,0.398,19.227,21,1000,0.499928,0.5,0.491333,5.99914,6,1,
TT_10_0.05_6, 10, 5, 0.039,0.771,30.469,21,1000,0.316544,0.409957,0.106222,4.59991,7.6638,0.956,
TT_10_0.05_7, 10, 2, 0.028,0.483,23.814,21,1000,0.449583,0.44975,0.4375,3.59667,3.598,1,
TT_10_0.05_8, 10, 5, 0.021,0.429,19.761,21,1000,0.409644,0.441344,0.201,1.67763,2.4,0.402,
TT_10_0.05_9, 10, 2, 0.026,0.426,20.482,21,1000,0.499676,0.5,0.482,0.999352,1,0.964,
TT_10_0.05_10, 10, 6, 0.021,0.462,20.149,21,1000,0.499979,0.5,0.493333,4.32656,4.33333,1,
TT_10_0.05_11, 10, 6, 0.038,0.588,28.565,21,1000,0.523839,0.5242,0.495,5.05761,10.8927,0.495,
TT_10_0.05_12, 10, 5, 0.024,0.495,22.53,21,1000,0.489201,0.489371,0.471,3.69839,4.6512,1,
TT_10_0.05_13, 10, 4, 0.028,0.551,28.582,21,1000,0.534637,0.534725,0.524367,16.0391,16.0418,1,
TT_10_0.05_14, 10, 6, 0.029,0.604,28.565,21,1000,0.479731,0.506135,0.298222,3.67623,4.12317,1,
TT_10_0.05_15, 10, 7, 0.031,0.699,21.68,21,1000,0.499829,0.5,0.479,3.47022,3.57143,1,
TT_10_0.05_16, 10, 7, 0.042,0.74,30.869,21,1000,0.452527,0.469703,0.280286,4.99881,5.74786,1,
TT_10_0.05_17, 10, 7, 0.034,0.576,19.046,21,1000,0.516457,0.524829,0.34,2.47226,3.28571,0.34,
TT_10_0.05_18, 10, 4, 0.024,0.476,20.532,21,1000,0.499517,0.5,0.474,1.57961,1.75,0.948,
TT_10_0.05_19, 10, 7, 0.028,0.337,14.745,21,1000,0.515021,0.518386,0.475,2.34819,2.71429,0.67,
