Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.039,0.781,0.224,21,4,0.5,0.5,0.5,3.4822,5.2,1,
TT_10_0.05_1, 10, 5, 0.031,0.621,0.183,21,4,0.437345,0.44,0.4,1.79108,2,0.8,
TT_10_0.05_2, 10, 3, 0.029,0.552,0.111,21,2,0.5,0.5,0.5,10,10,1,
TT_10_0.05_3, 10, 5, 0.022,0.401,0.131,21,2,0.5,0.5,0.5,4.98778,5.4,1,
TT_10_0.05_4, 10, 6, 0.026,0.527,0.206,21,5,0.5,0.5,0.5,5.66964,9.33333,1,
TT_10_0.05_5, 10, 4, 0.025,0.366,0.116,21,4,0.5,0.5,0.5,6,6,1,
TT_10_0.05_6, 10, 5, 0.042,0.677,0.186,21,4,0.5,0.5,0.5,7.26583,7.8,1,
TT_10_0.05_7, 10, 2, 0.027,0.482,0.089,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.05_8, 10, 5, 0.026,0.422,0.155,21,4,0.563975,0.566667,0.5,2.30967,3.2,0.5,
TT_10_0.05_9, 10, 2, 0.03,0.403,0.073,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.05_10, 10, 6, 0.026,0.425,0.148,21,5,0.5,0.5,0.5,4.32675,4.33333,1,
TT_10_0.05_11, 10, 6, 0.035,0.665,0.227,21,5,0.5,0.5,0.5,4.82745,10.1667,0.5,
TT_10_0.05_12, 10, 5, 0.027,0.547,0.155,21,2,0.5,0.5,0.5,3.78003,4.8,1,
TT_10_0.05_13, 10, 4, 0.036,0.577,0.123,21,4,0.5,0.5,0.5,15,15,1,
TT_10_0.05_14, 10, 6, 0.031,0.552,0.229,21,2,0.5,0.5,0.5,3.83155,4,1,
TT_10_0.05_15, 10, 7, 0.027,0.517,0.19,21,2,0.5,0.5,0.5,3.47142,3.57143,1,
TT_10_0.05_16, 10, 7, 0.038,0.808,0.291,21,5,0.5,0.5,0.5,5.52322,5.85714,1,
TT_10_0.05_17, 10, 7, 0.034,0.452,0.185,21,6,0.444633,0.445887,0.424242,2.12844,2.57143,0.424242,
TT_10_0.05_18, 10, 4, 0.026,0.46,0.131,21,2,0.5,0.5,0.5,1.58114,1.75,1,
TT_10_0.05_19, 10, 7, 0.028,0.3,0.112,21,4,0.5,0.5,0.5,2.2797,2.71429,0.5,
TT_10_0.25_0, 10, 5, 0.038,0.628,0.222,21,4,0.5,0.5,0.5,7.11432,7.4,1,
TT_10_0.25_1, 10, 6, 0.038,0.558,0.294,21,4,0.5,0.5,0.5,2.50665,3,1,
TT_10_0.25_2, 10, 2, 0.065,0.533,0.128,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.25_3, 10, 4, 0.027,0.436,0.14,21,2,0.5,0.5,0.5,3,3.25,1,
TT_10_0.25_4, 10, 9, 0.044,0.432,0.231,21,4,0.5,0.5,0.5,1.49586,2.11111,0.5,
TT_10_0.25_5, 10, 4, 0.042,0.649,0.175,21,2,0.5,0.5,0.5,4.74342,4.75,1,
TT_10_0.25_6, 10, 0, 0.031,0.468,1.0762e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_7, 10, 5, 0.053,0.699,0.266,21,2,0.5,0.5,0.5,6.57094,7.4,1,
TT_10_0.25_8, 10, 4, 0.028,0.443,0.146,21,2,0.5,0.5,0.5,3.67423,3.75,1,
TT_10_0.25_9, 10, 4, 0.037,0.445,0.154,21,2,0.5,0.5,0.5,1.5,2.5,0.5,
TT_10_0.25_10, 10, 6, 0.04,0.454,0.152,21,2,0.5,0.5,0.5,2.15443,2.5,1,
TT_10_0.25_11, 10, 2, 0.023,0.406,0.086,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.25_12, 10, 7, 0.044,0.613,0.271,21,5,0.5,0.5,0.5,3.12586,5.14286,0.5,
TT_10_0.25_13, 10, 0, 0.027,0.298,1.07621e-311,21,1,0,0,1,0,0,1,
TT_10_0.25_14, 10, 4, 0.018,0.332,0.105,21,2,0.5,0.5,0.5,1.32288,2,0.5,
TT_10_0.25_15, 10, 5, 0.032,0.572,0.224,21,4,0.5,0.5,0.5,6.57094,7.4,1,
TT_10_0.25_16, 10, 3, 0.033,0.47,0.114,21,2,0.5,0.5,0.5,8,8,1,
TT_10_0.25_17, 10, 5, 0.049,0.62,0.211,21,4,0.5,0.5,0.5,7.11432,7.4,1,
TT_10_0.25_18, 10, 6, 0.033,0.607,0.422,21,5,0.5,0.5,0.5,10.0415,11.5,1,
TT_10_0.25_19, 10, 8, 0.029,0.587,0.299,21,2,0.5,0.5,0.5,2.79181,3,1,
TT_10_0.50_0, 10, 0, 0.023,0.354,1.0762e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_1, 10, 4, 0.027,0.412,0.14,21,2,0.5,0.5,0.5,2.23607,3,1,
TT_10_0.50_2, 10, 2, 0.034,0.54,0.127,21,2,0.5,0.5,0.5,1.5,1.5,1,
TT_10_0.50_3, 10, 2, 0.022,0.331,0.101,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_4, 10, 2, 0.099,0.704,0.132,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_5, 10, 2, 0.031,0.395,0.068,21,2,0.5,0.5,0.5,3.5,3.5,1,
TT_10_0.50_6, 10, 0, 0.082,0.522,1.07621e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_7, 10, 0, 0.044,0.532,1.07621e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_8, 10, 4, 0.105,0.603,0.205,21,2,0.5,0.5,0.5,2.44949,2.75,1,
TT_10_0.50_9, 10, 0, 0.031,0.54,1.07621e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_10, 10, 2, 0.039,0.473,0.087,21,2,0.5,0.5,0.5,3.5,3.5,1,
TT_10_0.50_11, 10, 4, 0.092,2.553,0.458,21,2,0.5,0.5,0.5,4.47214,4.5,1,
TT_10_0.50_12, 10, 0, 0.088,1.475,1.07621e-311,21,1,0,0,1,0,0,1,
TT_10_0.50_13, 10, 2, 0.023,0.292,0.109,21,2,0.5,0.5,0.5,7,7,1,
TT_10_0.50_14, 10, 4, 0.09,1.898,0.458,21,2,0.5,0.5,0.5,3.87298,4,1,
TT_10_0.50_15, 10, 2, 0.033,0.499,0.092,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.50_16, 10, 6, 0.113,0.859,0.43,21,2,0.5,0.5,0.5,1.88988,2.66667,0.5,
TT_10_0.50_17, 10, 2, 0.019,0.278,0.085,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.50_18, 10, 5, 0.032,0.528,0.179,21,4,0.5,0.5,0.5,5.74753,6.2,1,
TT_10_0.50_19, 10, 6, 0.087,0.808,0.446,21,2,0.5,0.5,0.5,1.77845,2.5,0.5,
TT_15_0.05_0, 15, 11, 0.043,1.528,0.703,31,8,0.5,0.5,0.5,4.7379,5.54545,1,
TT_15_0.05_1, 15, 12, 0.039,1.141,0.522,31,6,0.5,0.5,0.5,1.72394,2.25,0.5,
TT_15_0.05_2, 15, 13, 0.034,1.551,0.905,31,9,0.482526,0.483516,0.428571,2.48646,3.15385,0.5,
TT_15_0.05_3, 15, 11, 0.08,3.508,1.783,31,8,0.5,0.5,0.5,6.78642,7.90909,1,
TT_15_0.05_4, 15, 10, 0.188,2.623,1.136,31,6,0.467624,0.47,0.4,2.68674,4.4,0.4,
TT_15_0.05_5, 15, 9, 0.068,1.825,0.837,31,7,0.43679,0.444444,0.333333,2.89775,5.33333,0.666667,
TT_15_0.05_6, 15, 10, 0.106,4.444,1.115,31,9,0.5,0.5,0.5,19.3872,23.1,1,
TT_15_0.05_7, 15, 13, 0.067,2.753,1.171,31,6,0.5,0.5,0.5,3.17122,3.84615,0.5,
TT_15_0.05_8, 15, 10, 0.06,2.014,1.031,31,7,0.5,0.5,0.5,3.99743,4.7,1,
TT_15_0.05_9, 15, 11, 0.077,2.707,1.196,31,10,0.5,0.5,0.5,17.153,18,1,
TT_15_0.05_10, 15, 10, 0.08,3.249,0.908,31,8,0.5,0.5,0.5,6.63715,7.5,1,
