Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.048,0.85,0.179,21,4,0.499997,0.5,0.497333,3.48218,5.2,0.994667,
TT_10_0.05_1, 10, 5, 0.04,0.678,0.181,21,4,0.574347,0.599733,0.498889,2.35215,2.4,1,
TT_10_0.05_2, 10, 3, 0.074,0.666,0.12,21,3,0.499999,0.5,0.498462,9.99998,10,1,
TT_10_0.05_3, 10, 5, 0.026,0.543,0.126,21,4,0.499998,0.5,0.498,4.98776,5.4,1,
TT_10_0.05_4, 10, 6, 0.035,0.698,0.303,21,5,0.499966,0.5,0.49,5.66926,9.33333,0.98,
TT_10_0.05_5, 10, 4, 0.024,0.474,0.107,21,2,0.5,0.5,0.5,6,6,1,
TT_10_0.05_6, 10, 5, 0.048,0.802,0.168,21,4,0.499996,0.5,0.497333,7.26577,7.8,1,
TT_10_0.05_7, 10, 2, 0.04,0.587,0.128,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.05_8, 10, 5, 0.026,0.515,0.352,21,3,0.542235,0.616652,0.333926,2.22064,2.4,1,
TT_10_0.05_9, 10, 2, 0.028,0.488,0.16,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.05_10, 10, 6, 0.027,0.551,0.053,21,5,0.499998,0.5,0.498333,4.32673,4.33333,1,
TT_10_0.05_11, 10, 6, 0.036,0.683,0.691,21,5,0.499619,0.5,0.46625,4.82377,10.1667,0.46625,
TT_10_0.05_12, 10, 5, 0.034,0.58,0.31,21,4,0.499999,0.5,0.498667,3.78002,4.8,1,
TT_10_0.05_13, 10, 4, 0.037,0.649,0.119,21,4,0.5,0.5,0.5,15,15,1,
TT_10_0.05_14, 10, 6, 0.033,0.735,0.15,21,3,0.499999,0.5,0.499,3.83154,4,1,
TT_10_0.05_15, 10, 7, 0.029,0.619,0.064,21,4,0.5,0.5,0.5,3.47142,3.57143,1,
