Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.079,0.71,45.182,21,1000,0,0.5,0,0,5.2,0,
TT_10_0.05_1, 10, 5, 0.026,0.479,33.023,21,1000,0,0.5,0,0,2.4,0,
TT_10_0.05_2, 10, 3, 0.028,0.5,40.356,21,1000,2.15066e-05,0.5,1.98952e-14,0.000430133,10,3.97904e-13,
TT_10_0.05_3, 10, 5, 0.021,0.401,33.192,21,1000,3.46997e-06,0.5,2.74066e-14,3.46149e-05,5.4,2.20268e-13,
TT_10_0.05_4, 10, 6, 0.027,0.567,43.592,21,1000,0,0.5,0,0,9.33333,0,
TT_10_0.05_5, 10, 4, 0.025,0.398,32.523,21,1000,0.000258624,0.5,2.0132e-14,0.00310349,6,2.41585e-13,
TT_10_0.05_6, 10, 5, 0.039,0.771,53.591,21,1000,2.05997e-06,0.5,8.17124e-15,2.99348e-05,7.8,8.17124e-14,
TT_10_0.05_7, 10, 2, 0.028,0.483,41.814,21,1000,2.39348e-07,0.5,5.72875e-14,1.91478e-06,4,4.583e-13,
TT_10_0.05_8, 10, 5, 0.021,0.429,32.355,21,1000,0,0.452778,0,0,2.4,0,
TT_10_0.05_9, 10, 2, 0.026,0.426,36.09,21,1000,0,0.5,0,0,1,0,
TT_10_0.05_10, 10, 6, 0.021,0.462,32.38,21,1000,2.47133e-05,0.5,1.69741e-14,0.000213856,4.33333,1.52767e-13,
TT_10_0.05_11, 10, 6, 0.038,0.588,52.781,21,1000,0,0.5,0,0,10.1667,0,
TT_10_0.05_12, 10, 5, 0.024,0.495,38.647,21,1000,0,0.5,0,0,4.8,0,
TT_10_0.05_13, 10, 4, 0.028,0.551,46.73,21,1000,0.000270019,0.5,2.39216e-14,0.00810057,15,7.17648e-13,
TT_10_0.05_14, 10, 6, 0.029,0.604,46.345,21,1000,1.68573e-07,0.5,1.68754e-14,1.29179e-06,4,8.43769e-14,
TT_10_0.05_15, 10, 7, 0.031,0.699,39.827,21,1000,0,0.5,0,0,3.57143,0,
TT_10_0.05_16, 10, 7, 0.042,0.74,54.659,21,1000,0,0.5,0,0,5.85714,0,
TT_10_0.05_17, 10, 7, 0.034,0.576,34.879,21,1000,0,0.628571,0,0,3.28571,0,
TT_10_0.05_18, 10, 4, 0.024,0.476,34.669,21,1000,0,0.5,0,0,1.75,0,
TT_10_0.05_19, 10, 7, 0.028,0.337,32.723,21,1000,0,0.428571,0,0,2.71429,0,
