Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_20_0.05_18, 20, 18, 0.166,6.682,1815.73,41,1000,0.499796,0.5,0.472,5.62737,8.38889,0.487,
TT_20_0.05_19, 20, 12, 0.208,5.101,819.926,41,1000,0.516729,0.522972,0.434667,4.6363,6.5,0.622,
TT_20_0.05_20, 20, 9, 0.076,3.288,603.259,41,1000,0.499889,0.5,0.486667,6.92934,7.22222,1,
TT_20_0.05_21, 20, 16, 0.139,5.844,1371.83,41,1000,0.499413,0.5,0.439,6.54935,10.5,1,
TT_20_0.05_22, 20, 16, 0.081,3.35,1027.38,41,1000,0.499798,0.5,0.463,4.20999,6.3125,0.968,
TT_20_0.05_23, 20, 14, 0.11,4.843,1107.31,41,1000,0.499732,0.5,0.472,5.09653,5.92857,1,
TT_20_0.05_24, 20, 11, 0.075,3.251,752.596,41,1000,0.499718,0.5,0.471,5.39338,6.18182,1,
TT_20_0.05_25, 20, 19, 0.075,3.229,1071.31,41,1000,0.541394,0.546013,0.476,3.71796,4.94737,0.956,
TT_20_0.05_26, 20, 14, 0.052,2.474,701.952,41,1000,0.553829,0.561679,0.475,2.63362,3,0.727,
TT_20_0.05_27, 20, 17, 0.064,3.364,959.802,41,1000,0.506431,0.50705,0.476,3.92271,4.76471,0.489,
TT_20_0.05_28, 20, 15, 0.087,3.959,1076.77,41,1000,0.499873,0.5,0.478,4.44292,4.8,1,
TT_20_0.05_29, 20, 18, 0.058,2.902,1026.39,41,1000,0.499791,0.5,0.477,5.28234,6.55556,1,
TT_20_0.05_30, 20, 17, 0.081,3.913,1150.68,41,1000,0.525865,0.529412,0.4765,4.63948,6.64706,0.648,
TT_20_0.05_31, 20, 16, 0.305,5.257,1290.31,41,1000,0.518822,0.520719,0.482,3.57022,4.5,0.663,
TT_20_0.05_32, 20, 13, 0.06,2.6,722.902,41,1000,0.499738,0.5,0.4745,3.12328,3.23077,1,
TT_20_0.05_33, 20, 17, 0.068,3.435,1144.56,41,1000,0.499877,0.5,0.482333,5.98181,6.47059,1,
TT_20_0.05_34, 20, 14, 0.09,3.929,1036.99,41,1000,0.49992,0.5,0.488,7.1457,8.35714,1,
TT_20_0.05_35, 20, 14, 0.123,5.422,1073.55,41,1000,0.499816,0.5,0.472,7.62744,10.1429,1,
TT_20_0.05_36, 20, 14, 0.083,3.302,829.978,41,1000,0.499856,0.5,0.478,2.66182,3.28571,0.484,
TT_20_0.05_37, 20, 16, 0.087,4.137,1115.57,41,1000,0.508234,0.511398,0.442875,5.07542,5.875,1,
TT_20_0.05_38, 20, 14, 0.108,4.258,1027.87,41,1000,0.499695,0.5,0.4785,4.45795,5.28571,1,
TT_20_0.05_39, 20, 15, 0.071,2.895,908.017,41,1000,0.499922,0.5,0.482,4.87661,6.13333,0.988,
TT_20_0.05_40, 20, 12, 0.082,3.33,815.279,41,1000,0.499642,0.5,0.466,4.11271,6,0.988,
TT_20_0.05_41, 20, 13, 0.077,5.396,945.817,41,1000,0.51254,0.515423,0.407,4.17167,6,0.407,
TT_20_0.05_42, 20, 14, 0.096,3.66,1037.04,41,1000,0.499858,0.5,0.472,5.40618,6.28571,1,
TT_20_0.05_43, 20, 17, 0.18,3.633,1135.61,41,1000,0.520873,0.524151,0.474,3.52024,4.35294,0.734,
TT_20_0.05_44, 20, 17, 0.124,5.528,1563.14,41,1000,0.499618,0.5,0.466,4.94616,5.70588,1,
TT_20_0.05_45, 20, 13, 0.093,5.137,1138.86,41,1000,0.499841,0.5,0.479333,6.59926,8.23077,1,
TT_20_0.05_46, 20, 17, 0.163,5.428,1434.72,41,1000,0.480196,0.482482,0.337,6.15508,7.35294,0.674,
TT_20_0.05_47, 20, 15, 0.06,2.543,881.478,41,1000,0.499837,0.5,0.4788,4.64777,5.06667,1,
TT_20_0.05_48, 20, 14, 0.068,2.926,856.118,41,1000,0.499915,0.5,0.483,4.23098,5,0.992,
TT_20_0.05_49, 20, 13, 0.148,3.682,863.256,41,1000,0.499867,0.5,0.484,7.05429,8.23077,1,
TT_20_0.25_0, 20, 9, 0.459,7.941,884.512,41,1000,0.499928,0.5,0.4875,3.72182,4.55556,0.982,
TT_20_0.25_1, 20, 15, 0.434,7.085,1414.63,41,1000,0.499669,0.5,0.465,4.32957,5.93333,0.465,
TT_20_0.25_2, 20, 9, 1.059,45.093,1891.6,41,1000,0.484395,0.485763,0.45263,16.9898,20.3333,1,
TT_20_0.25_3, 20, 11, 0.145,4.61,870.413,41,1000,0.499562,0.5,0.466,3.69113,4.27273,0.974,
TT_20_0.25_4, 20, 10, 0.168,4.36,714.072,41,1000,0.49956,0.5,0.458,4.31956,6.2,0.49,
TT_20_0.25_5, 20, 17, 0.528,18.543,2065.46,41,1000,0.571871,0.600873,0.243591,6.39646,7.94118,0.871,
TT_20_0.25_6, 20, 16, 0.197,9.078,1184.93,41,1000,0.572399,0.592172,0.335417,3.02722,4.0625,0.73,
TT_20_0.25_7, 20, 13, 0.659,20.967,2327.44,41,1000,0.519268,0.521338,0.49,3.81088,5.38462,0.497,
TT_20_0.25_8, 20, 11, 0.2,6.54,982.687,41,1000,0.508028,0.509339,0.48,6.6936,7.27273,1,
TT_20_0.25_9, 20, 13, 0.103,4.289,1225.22,41,1000,0.460141,0.47093,0.226,6.36563,9.15385,0.982,
TT_20_0.25_10, 20, 10, 0.383,5.661,932.686,41,1000,0.515495,0.516295,0.479,10.4585,13.4,1,
TT_20_0.25_11, 20, 11, 0.311,21.469,1629.32,41,1000,0.499806,0.5,0.472,6.87952,8.09091,1,
TT_20_0.25_12, 20, 12, 0.091,4.475,1043.48,41,1000,0.499742,0.5,0.4705,7.37883,10.1667,0.986,
TT_20_0.25_13, 20, 10, 0.146,5.179,1161.53,41,1000,0.499822,0.5,0.4754,18.633,19.8,1,
TT_20_0.25_14, 20, 13, 0.222,5.94,1264.53,41,1000,0.522717,0.524009,0.480333,8.95976,9.69231,1,
TT_20_0.25_15, 20, 14, 1.582,29.069,2160.41,41,1000,0.477281,0.479831,0.342,7.84654,11.9286,0.992,
TT_20_0.25_16, 20, 12, 0.196,4.357,767.075,41,1000,0.499825,0.5,0.479,3.67404,4.16667,1,
TT_20_0.25_17, 20, 8, 0.061,2.559,417.475,41,1000,0.499808,0.5,0.48,3.05728,3.125,1,
TT_20_0.25_18, 20, 8, 0.128,2.681,499.983,41,1000,0.487513,0.491372,0.430304,5.393,6.125,1,
TT_20_0.25_19, 20, 13, 0.082,4.198,776.556,41,1000,0.503219,0.51453,0.275,1.56866,2.15385,0.275,
TT_20_0.25_20, 20, 17, 0.143,10.062,1629.87,41,1000,0.527769,0.534382,0.397,5.65582,8.29412,0.587,
TT_20_0.25_21, 20, 16, 0.075,3.362,1045.6,41,1000,0.518639,0.520563,0.477,4.54463,5.3125,1,
TT_20_0.25_22, 20, 11, 0.475,9.647,1175.29,41,1000,0.460471,0.470063,0.238,6.84958,8.54545,0.476,
TT_20_0.25_23, 20, 15, 0.297,6.954,1413.98,41,1000,0.4998,0.5,0.475,4.46519,5.46667,0.974,
TT_20_0.25_24, 20, 10, 0.059,2.164,481.283,41,1000,0.499753,0.5,0.478,1.43026,2,0.492,
TT_20_0.25_25, 20, 10, 0.402,6.26,874.909,41,1000,0.49991,0.5,0.481,4.15554,5.8,0.986,
TT_20_0.25_26, 20, 11, 0.252,4.815,890.483,41,1000,0.499852,0.5,0.484,5.20693,6.63636,0.968,
TT_20_0.25_27, 20, 13, 0.284,14.039,1492,41,1000,0.544286,0.552064,0.484,5.18414,6.69231,0.849,
