Name; Agents; t_Normal; t_RSD_no_partition; t_RSD; t_partition
10-instance-1; 10; 0.0044; 0.000917; 0.00283; 0.278
10-instance-2; 10; 0.003882; 0.000362; 0.00237; 0.003
10-instance-3; 10; 0.003314; 0.000356; 0.002162; 0.003
10-instance-4; 10; 0.003012; 0.000263; 0.001672; 0.002
10-instance-5; 10; 0.002737; 0.000267; 0.001513; 0.002
10-instance-6; 10; 0.00036; 0.000479; 0.000382; 0.006
10-instance-7; 10; 0.003285; 0.000274; 0.001719; 0.003
10-instance-8; 10; 0.003385; 0.000269; 0.001821; 0.004
10-instance-9; 10; 0.000725; 0.000757; 0.001028; 0.054
10-instance-10; 10; 0.003121; 0.000281; 0.001967; 0.002
10-instance-11; 10; 0.000262; 0.000601; 0.000328; 0.004
10-instance-12; 10; 0.003028; 0.000275; 0.001611; 0.002
10-instance-13; 10; 0.000254; 0.000406; 0.000334; 0.004
10-instance-14; 10; 0.003034; 0.000263; 0.001518; 0.003
10-instance-15; 10; 0.003158; 0.00036; 0.001756; 0.003
10-instance-16; 10; 0.001849; 0.00066; 0.002106; 0.005
10-instance-17; 10; 0.003045; 0.000299; 0.001825; 0.004
10-instance-18; 10; 0.000382; 0.000474; 0.000427; 0.007
10-instance-19; 10; 0.000564; 0.000542; 0.000628; 0.006
10-instance-20; 10; 0.000205; 0.000318; 0.000217; 0.004
10-instance-21; 10; 0.000209; 0.000279; 0.000282; 0.002
10-instance-22; 10; 0.000345; 0.000804; 0.000396; 0.004
10-instance-23; 10; 0.000319; 0.000379; 0.000319; 0.003
10-instance-24; 10; 0.000397; 0.000476; 0.000611; 0.003
10-instance-25; 10; 0.001322; 0.001319; 0.001334; 0.021
10-instance-26; 10; 0.003082; 0.00028; 0.001698; 0.002
10-instance-27; 10; 0.00028; 0.000474; 0.00042; 0.006
10-instance-28; 10; 0.000629; 0.000684; 0.000685; 0.005
10-instance-29; 10; 0.003322; 0.0003; 0.001805; 0.003
10-instance-30; 10; 0.00291; 0.000359; 0.001666; 0.002
10-instance-31; 10; 0.000255; 0.000357; 0.000313; 0.004
10-instance-32; 10; 0.002757; 0.00038; 0.00183; 0.003
10-instance-33; 10; 0.003143; 0.00028; 0.00159; 0.002
10-instance-34; 10; 0.000874; 0.000989; 0.000807; 0.009
10-instance-35; 10; 0.003166; 0.000297; 0.001745; 0.003
10-instance-36; 10; 0.007337; 0.007232; 0.007172; 0.015
10-instance-37; 10; 0.000302; 0.000392; 0.00033; 0.004
10-instance-38; 10; 0.000237; 0.000342; 0.00027; 0.003
10-instance-39; 10; 0.000225; 0.000468; 0.000356; 0.003
10-instance-40; 10; 0.000418; 0.000642; 0.000465; 0.003
10-instance-41; 10; 0.007353; 0.007666; 0.007677; 0.037
10-instance-42; 10; 0.003072; 0.000399; 0.001694; 0.002
10-instance-43; 10; 0.00036; 0.0005; 0.000392; 0.005
10-instance-44; 10; 0.000433; 0.000514; 0.000451; 0.015
10-instance-45; 10; 0.002904; 0.000331; 0.001738; 0.002
10-instance-46; 10; 0.007095; 0.007383; 0.007536; 0.024
10-instance-47; 10; 0.002944; 0.000395; 0.001728; 0.002
10-instance-48; 10; 0.000317; 0.000495; 0.000453; 0.004
10-instance-49; 10; 0.002938; 0.000308; 0.001928; 0.003
10-instance-50; 10; 0.000303; 0.000437; 0.000389; 0.004
20-instance-1; 20; 0.008188; 0.008757; 0.008408; 0.064
20-instance-2; 20; 0.006935; 0.001; 0.00407; 0.008
20-instance-3; 20; 0.009204; 0.010714; 0.005398; 0.157
20-instance-4; 20; 0.000987; 0.001515; 0.001029; 0.006
20-instance-5; 20; 0.007137; 0.000803; 0.003881; 0.007
20-instance-6; 20; 0.0085; 0.009035; 0.008406; 0.081
20-instance-7; 20; 0.001307; 0.009814; 0.001465; 0.015
20-instance-8; 20; 0.008685; 0.009763; 0.008732; 0.107
20-instance-9; 20; 0.008947; 0.009591; 0.008904; 0.051
20-instance-10; 20; 0.001659; 0.002112; 0.001606; 0.014
20-instance-11; 20; 0.000377; 0.000937; 0.000419; 0.009
20-instance-12; 20; 0.000555; 0.001323; 0.000834; 0.008
20-instance-13; 20; 0.000888; 0.00197; 0.001253; 0.01
20-instance-14; 20; 0.008852; 0.009964; 0.008638; 0.121
20-instance-15; 20; 0.01151; 0.014764; 0.01203; 0.152
20-instance-16; 20; 0.009315; 0.009372; 0.004568; 0.106
20-instance-17; 20; 0.000469; 0.000937; 0.000477; 0.01
20-instance-18; 20; 0.007122; 0.008108; 0.007639; 0.026
20-instance-19; 20; 0.007403; 0.000822; 0.003539; 0.006
20-instance-20; 20; 0.00991; 0.009558; 0.009888; 0.119
20-instance-21; 20; 0.009869; 0.010405; 0.009449; 0.124
20-instance-22; 20; 0.008571; 0.010869; 0.008787; 0.159
20-instance-23; 20; 0.000443; 0.00092; 0.000511; 0.008
20-instance-24; 20; 0.000486; 0.000935; 0.000608; 0.007
20-instance-25; 20; 0.000845; 0.001279; 0.000936; 0.019
20-instance-26; 20; 0.008669; 0.010854; 0.009; 0.079
20-instance-27; 20; 0.00814; 0.001425; 0.003858; 0.009
20-instance-28; 20; 0.007938; 0.00241; 0.008305; 0.032
20-instance-29; 20; 0.010218; 0.010943; 0.009211; 0.154
20-instance-30; 20; 0.009332; 0.009851; 0.009184; 0.179
20-instance-31; 20; 0.001504; 0.002186; 0.001524; 0.012
20-instance-32; 20; 0.009179; 0.009589; 0.009211; 0.119
20-instance-33; 20; 0.006289; 0.00069; 0.003892; 0.009
20-instance-34; 20; 0.006266; 0.000858; 0.003442; 0.009
20-instance-35; 20; 0.001567; 0.003448; 0.001706; 0.031
20-instance-36; 20; 0.001737; 0.002457; 0.001846; 0.034
20-instance-37; 20; 0.008887; 0.011774; 0.009069; 0.125
20-instance-38; 20; 0.000564; 0.001231; 0.000632; 0.008
20-instance-39; 20; 0.007391; 0.001266; 0.004069; 0.025
20-instance-40; 20; 0.008701; 0.009849; 0.009058; 0.046
20-instance-41; 20; 0.001372; 0.001971; 0.00133; 0.036
20-instance-42; 20; 0.001426; 0.008454; 0.001517; 0.056
20-instance-43; 20; 0.008674; 0.009537; 0.008983; 0.132
20-instance-44; 20; 0.007011; 0.007825; 0.007091; 0.054
20-instance-45; 20; 0.009736; 0.010199; 0.009672; 0.116
20-instance-46; 20; 0.000399; 0.000787; 0.000499; 0.007
20-instance-47; 20; 0.009205; 0.010633; 0.009472; 0.166
20-instance-48; 20; 0.000991; 0.001703; 0.001094; 0.074
20-instance-49; 20; 0.00031; 0.00067; 0.000332; 0.006
20-instance-50; 20; 0.008769; 0.01061; 0.008968; 0.17
30-instance-1; 30; 0.011469; 0.012432; 0.011794; 0.272
30-instance-2; 30; 0.001124; 0.001877; 0.001168; 0.041
30-instance-3; 30; 0.000833; 0.00121; 0.00084; 0.015
30-instance-4; 30; 0.011672; 0.010518; 0.0066; 0.169
30-instance-5; 30; 0.008555; 0.00928; 0.00883; 0.046
30-instance-6; 30; 0.003243; 0.010505; 0.003383; 0.103
30-instance-7; 30; 0.000302; 0.000824; 0.000384; 0.009
30-instance-8; 30; 0.009136; 0.011441; 0.009299; 0.194
30-instance-9; 30; 0.0105; 0.012929; 0.010768; 0.171
30-instance-10; 30; 0.008738; 0.009464; 0.008876; 0.068
30-instance-11; 30; 0.001247; 0.002167; 0.001256; 0.023
30-instance-12; 30; 0.008672; 0.009697; 0.00908; 0.055
30-instance-13; 30; 0.008731; 0.009844; 0.00853; 0.134
30-instance-14; 30; 0.00951; 0.010911; 0.009542; 0.211
30-instance-15; 30; 0.012423; 0.011799; 0.010696; 0.282
30-instance-16; 30; 0.020932; 0.019486; 0.011701; 0.321
30-instance-17; 30; 0.000763; 0.001596; 0.00088; 0.029
30-instance-18; 30; 0.010712; 0.015416; 0.009928; 0.234
30-instance-19; 30; 0.014687; 0.017938; 0.017786; 0.209
30-instance-20; 30; 0.008859; 0.009089; 0.008339; 0.103
30-instance-21; 30; 0.000708; 0.001341; 0.000714; 0.016
30-instance-22; 30; 0.010128; 0.011251; 0.010423; 0.223
30-instance-23; 30; 0.014501; 0.013984; 0.011695; 0.206
30-instance-24; 30; 0.015339; 0.020295; 0.020778; 0.301
30-instance-25; 30; 0.011939; 0.017546; 0.013441; 0.253
30-instance-26; 30; 0.007906; 0.009931; 0.008227; 0.085
30-instance-27; 30; 0.013957; 0.027188; 0.014411; 0.248
30-instance-28; 30; 0.002665; 0.010371; 0.00954; 0.076
30-instance-29; 30; 0.001432; 0.009183; 0.001485; 0.088
30-instance-30; 30; 0.008272; 0.003311; 0.008388; 0.047
30-instance-31; 30; 0.009583; 0.012444; 0.010765; 0.204
30-instance-32; 30; 0.008542; 0.003194; 0.008837; 0.1
30-instance-33; 30; 0.015815; 0.016044; 0.014352; 0.206
30-instance-34; 30; 0.011609; 0.012735; 0.011497; 0.176
30-instance-35; 30; 0.0134; 0.013312; 0.013671; 0.222
30-instance-36; 30; 0.01263; 0.014465; 0.012218; 0.204
30-instance-37; 30; 0.011143; 0.018825; 0.012773; 0.42
30-instance-38; 30; 0.010038; 0.012562; 0.010411; 0.206
30-instance-39; 30; 0.009307; 0.011554; 0.009563; 0.207
30-instance-40; 30; 0.008785; 0.009961; 0.010232; 0.132
30-instance-41; 30; 0.012424; 0.015127; 0.016543; 0.254
30-instance-42; 30; 0.013817; 0.018831; 0.013961; 0.295
30-instance-43; 30; 0.010584; 0.011253; 0.009884; 0.247
30-instance-44; 30; 0.010759; 0.014611; 0.013875; 0.261
30-instance-45; 30; 0.007546; 0.008774; 0.007844; 0.029
30-instance-46; 30; 0.01093; 0.014111; 0.013938; 0.187
30-instance-47; 30; 0.009473; 0.011402; 0.009817; 0.195
30-instance-48; 30; 0.010155; 0.012682; 0.010249; 0.174
30-instance-49; 30; 0.009365; 0.010539; 0.00945; 0.169
30-instance-50; 30; 0.001865; 0.003905; 0.002061; 0.051
40-instance-1; 40; 0.009409; 0.011275; 0.010382; 0.117
40-instance-2; 40; 0.00155; 0.003593; 0.001698; 0.074
40-instance-3; 40; 0.01405; 0.021332; 0.015952; 0.337
40-instance-4; 40; 0.017713; 0.029006; 0.02946; 0.453
40-instance-5; 40; 0.01781; 0.148826; 0.017346; 0.584
40-instance-6; 40; 0.009322; 0.015261; 0.010208; 0.251
40-instance-7; 40; 0.011271; 0.013589; 0.012838; 0.294
40-instance-8; 40; 0.013259; 0.016752; 0.01479; 0.329
40-instance-9; 40; 0.002276; 0.003892; 0.002485; 0.071
40-instance-10; 40; 0.009726; 0.011633; 0.009892; 0.164
40-instance-11; 40; 0.011817; 0.020918; 0.011933; 0.381
40-instance-12; 40; 0.012313; 0.021041; 0.0151; 0.363
