Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.004,0.086,10,2,1,0.5,0.485,
10-instance-3, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.003,0.062,10,4,1,0.25,0.225,
10-instance-7, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.014,0.012,0.621,8,4,1,0.5,0.48,
10-instance-10, 10, 0, 0,0.001,0,11,0,0,0,1,
10-instance-11, 10, 3, 0,0.004,0.055,10,3,1,0.333333,0.265,
10-instance-12, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.002,0.057,10,3,1,0.333333,0.32,
10-instance-14, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-15, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.002,0.005,0.08,10,5,1,0.2,0.18,
10-instance-19, 10, 2, 0,0.003,0.115,10,2,1,0.5,0.48,
10-instance-20, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-21, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-22, 10, 4, 0.002,0.003,0.394,8,3,1,0.5,0.315,
10-instance-23, 10, 2, 0.001,0.002,0.058,10,2,1,0.5,0.485,
10-instance-24, 10, 2, 0.001,0.004,0.094,10,2,1,0.5,0.48,
10-instance-25, 10, 4, 0.002,0.015,0.169,9,6,1,0.5,0.425,
10-instance-26, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-27, 10, 4, 0,0.003,0.08,9,4,1,0.5,0.46,
