Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.053,0.264,0.102,39,2,0.5,0.5,0.5,
wt40-1, 40, 10, 0.018,0.326,0.072,36,2,0.659754,0.7,0.5,
wt40-2, 40, 2, 0.012,0.213,0.008,40,2,0.5,0.5,0.5,
wt40-3, 40, 8, 0.026,0.747,0.058,36,2,0.594604,0.625,0.5,
wt40-4, 40, 4, 0.013,0.203,0.014,39,2,0.5,0.5,0.5,
wt40-5, 40, 0, 0.01,0.565,0,41,1,0,0,1,
wt40-6, 40, 0, 0.015,0.575,0,41,1,0,0,1,
wt40-7, 40, 9, 0.012,0.438,0.316,37,2,0.629961,0.666667,0.5,
wt40-8, 40, 5, 0.012,0.544,0.187,38,3,0.439836,0.466667,0.333333,
wt40-9, 40, 0, 0.015,0.638,0,41,1,0,0,1,
wt40-10, 40, 0, 0.011,0.597,0,41,1,0,0,1,
wt40-11, 40, 10, 0.03,0.537,0.275,37,2,0.707107,0.75,0.5,
wt40-12, 40, 3, 0.013,0.813,0.128,39,2,0.5,0.5,0.5,
wt40-13, 40, 5, 0.022,0.624,0.217,38,2,0.5,0.5,0.5,
wt40-14, 40, 0, 0.011,0.594,0,41,1,0,0,1,
wt40-15, 40, 7, 0.056,0.968,0.347,36,2,0.552045,0.571429,0.5,
wt40-16, 40, 7, 0.036,0.755,0.525,38,5,0.233986,0.257143,0.2,
wt40-17, 40, 0, 0.028,0.82,0,41,1,0,0,1,
wt40-18, 40, 0, 0.013,0.679,0,41,1,0,0,1,
wt40-19, 40, 3, 0.011,0.669,0.053,39,2,0.5,0.5,0.5,
wt40-20, 40, 8, 0.017,0.222,0.117,36,4,0.491928,0.520833,0.333333,
wt40-21, 40, 3, 0.009,0.113,0.061,39,2,0.5,0.5,0.5,
wt40-22, 40, 2, 0.011,0.163,0.067,40,2,0.5,0.5,0.5,
wt40-23, 40, 0, 0.003,0.179,0,41,1,0,0,1,
wt40-24, 40, 0, 0.006,0.146,0,41,1,0,0,1,
wt40-25, 40, 0, 0.001,0.038,0,41,1,0,0,1,
wt40-26, 40, 7, 0.001,0.02,0.015,40,7,0.857143,0.857143,0.857143,
wt40-27, 40, 2, 0.002,0.039,0.004,40,2,0.5,0.5,0.5,
wt40-28, 40, 2, 0.001,0.047,0.005,40,2,0.5,0.5,0.5,
wt40-29, 40, 0, 0.001,0.031,0,41,1,0,0,1,
wt40-30, 40, 0, 0.013,0.54,0,41,1,0,0,1,
wt40-31, 40, 4, 0.011,0.609,0.116,39,2,0.5,0.5,0.5,
wt40-32, 40, 0, 0.051,0.81,0,41,1,0,0,1,
wt40-33, 40, 5, 0.012,0.372,0.02,39,2,0.574349,0.6,0.5,
wt40-34, 40, 0, 0.012,0.451,0,41,1,0,0,1,
wt40-35, 40, 0, 0.013,0.646,0,41,1,0,0,1,
wt40-36, 40, 0, 0.009,0.589,0,41,1,0,0,1,
wt40-37, 40, 4, 0.009,0.6,0.122,39,3,0.396402,0.416667,0.333333,
wt40-38, 40, 4, 0.022,0.559,0.07,39,2,0.5,0.5,0.5,
wt40-39, 40, 0, 0.009,0.801,0,41,1,0,0,1,
wt40-40, 40, 4, 0.05,0.7,0.154,39,3,0.666667,0.666667,0.666667,
wt40-41, 40, 2, 0.013,0.545,0.097,40,2,0.5,0.5,0.5,
wt40-42, 40, 0, 0.035,0.88,0,41,1,0,0,1,
wt40-43, 40, 0, 0.015,0.763,0,41,1,0,0,1,
wt40-44, 40, 0, 0.015,0.844,0,41,1,0,0,1,
wt40-45, 40, 3, 0.009,0.2,0.012,39,2,0.5,0.5,0.5,
wt40-46, 40, 0, 0.021,0.213,0,41,1,0,0,1,
wt40-47, 40, 2, 0.015,0.284,0.006,40,2,0.5,0.5,0.5,
wt40-48, 40, 0, 0.009,0.221,0,41,1,0,0,1,
wt40-49, 40, 2, 0.012,0.16,0.006,40,2,0.5,0.5,0.5,
wt50-0, 50, 2, 0.008,0.423,0.008,50,2,0.5,0.5,0.5,
wt50-1, 50, 0, 0.002,0.294,0,51,1,0,0,1,
wt50-2, 50, 3, 0.011,0.395,0.099,50,3,0.333333,0.333333,0.333333,
wt50-3, 50, 0, 0.012,0.502,0,51,1,0,0,1,
wt50-4, 50, 0, 0.009,0.428,0,51,1,0,0,1,
wt50-5, 50, 0, 0.016,0.755,0,51,1,0,0,1,
wt50-6, 50, 2, 0.015,0.694,0.027,50,2,0.5,0.5,0.5,
wt50-7, 50, 6, 0.012,0.792,0.405,49,4,0.280616,0.291667,0.25,
wt50-8, 50, 2, 0.005,0.605,0.018,50,2,0.5,0.5,0.5,
wt50-9, 50, 15, 0.012,0.563,0.687,46,4,0.468352,0.566667,0.25,
wt50-10, 50, 0, 0.036,0.976,0,51,1,0,0,1,
wt50-11, 50, 6, 0.011,1.228,0.282,49,4,0.360562,0.416667,0.25,
wt50-12, 50, 0, 0.016,1.031,0,51,1,0,0,1,
wt50-13, 50, 7, 0.015,0.782,0.426,45,2,0.5,0.5,0.5,
wt50-14, 50, 2, 0.019,0.948,0.072,50,2,0.5,0.5,0.5,
wt50-15, 50, 9, 0.03,1.177,0.894,47,4,0.31498,0.361111,0.25,
wt50-16, 50, 0, 0.021,1.159,0,51,1,0,0,1,
wt50-17, 50, 13, 0.015,0.967,0.871,45,7,0.3385,0.429487,0.166667,
wt50-18, 50, 0, 0.02,0.954,0,51,1,0,0,1,
wt50-19, 50, 14, 0.016,0.907,0.998,45,5,0.435897,0.517857,0.25,
wt50-20, 50, 0, 0.012,0.174,0,51,1,0,0,1,
wt50-21, 50, 0, 0.008,0.217,0,51,1,0,0,1,
wt50-22, 50, 0, 0.01,0.335,0,51,1,0,0,1,
wt50-23, 50, 0, 0.011,0.174,0,51,1,0,0,1,
wt50-24, 50, 3, 0.01,0.169,0.082,49,2,0.5,0.5,0.5,
wt50-25, 50, 6, 0.002,0.067,0.009,50,6,0.833333,0.833333,0.833333,
wt50-26, 50, 4, 0.002,0.041,0.007,50,4,0.75,0.75,0.75,
wt50-27, 50, 3, 0.01,0.109,0.009,50,3,0.333333,0.333333,0.333333,
wt50-28, 50, 6, 0.001,0.056,0.011,50,6,0.833333,0.833333,0.833333,
wt50-29, 50, 5, 0.002,0.068,0.009,50,5,0.8,0.8,0.8,
wt50-30, 50, 0, 0.015,0.814,0,51,1,0,0,1,
wt50-31, 50, 0, 0.011,0.599,0,51,1,0,0,1,
wt50-32, 50, 10, 0.013,0.549,0.348,48,8,0.2735,0.309524,0.238095,
wt50-33, 50, 0, 0.012,0.513,0,51,1,0,0,1,
wt50-34, 50, 4, 0.014,0.623,0.157,49,3,0.612372,0.625,0.5,
wt50-35, 50, 6, 0.025,0.796,0.268,47,3,0.419974,0.444444,0.333333,
wt50-36, 50, 5, 0.01,0.723,0.154,49,4,0.287175,0.3,0.25,
wt50-37, 50, 3, 0.032,0.844,0.12,49,2,0.5,0.5,0.5,
wt50-38, 50, 6, 0.027,0.842,0.313,47,3,0.419974,0.444444,0.333333,
wt50-39, 50, 0, 0.018,0.794,0,51,1,0,0,1,
wt50-40, 50, 3, 0.026,1.165,0.275,49,2,0.5,0.5,0.5,
wt50-41, 50, 6, 0.036,0.827,0.449,48,4,0.337002,0.375,0.25,
wt50-42, 50, 4, 0.013,0.773,0.117,49,3,0.396402,0.416667,0.333333,
wt50-43, 50, 0, 0.018,0.944,0,51,1,0,0,1,
wt50-44, 50, 5, 0.015,0.964,0.32,48,2,0.5,0.5,0.5,
wt50-45, 50, 4, 0.011,0.249,0.142,49,3,0.666667,0.666667,0.666667,
wt50-46, 50, 2, 0.008,0.306,0.054,50,2,0.5,0.5,0.5,
wt50-47, 50, 0, 0.015,0.483,0,51,1,0,0,1,
wt50-48, 50, 0, 0.022,0.545,0,51,1,0,0,1,
wt50-49, 50, 0, 0.012,0.459,0,51,1,0,0,1,
wt100-0, 100, 2, 0.013,1.435,0.026,100,2,0.5,0.5,0.5,
wt100-1, 100, 0, 0.015,1.706,0,101,1,0,0,1,
wt100-2, 100, 10, 0.013,1.385,0.275,99,7,0.786128,0.793333,0.666667,
wt100-3, 100, 10, 0.016,1.551,0.329,98,3,0.532379,0.6,0.333333,
wt100-4, 100, 17, 0.014,1.657,0.561,97,3,0.621126,0.705882,0.333333,
wt100-5, 100, 21, 0.025,2.383,2.969,94,9,0.626655,0.70194,0.333333,
wt100-6, 100, 0, 0.017,2.393,0,101,1,0,0,1,
wt100-7, 100, 14, 0.021,2.584,0.693,97,5,0.419591,0.528571,0.2,
wt100-8, 100, 0, 0.021,2.342,0,101,1,0,0,1,
wt100-9, 100, 8, 0.016,2.4,0.442,97,3,0.495913,0.541667,0.333333,
wt100-10, 100, 0, 0.041,2.992,0,101,1,0,0,1,
wt100-11, 100, 17, 0.035,3.232,2.567,94,8,0.251505,0.360294,0.125,
wt100-12, 100, 0, 0.023,2.259,0,101,1,0,0,1,
wt100-13, 100, 5, 0.024,1.975,0.596,98,2,0.574349,0.6,0.5,
wt100-14, 100, 7, 0.049,2.9,0.789,96,2,0.552045,0.571429,0.5,
wt100-15, 100, 17, 0.059,3.221,1.275,95,5,0.511039,0.635294,0.2,
wt100-16, 100, 4, 0.054,3.441,0.51,98,2,0.5,0.5,0.5,
wt100-17, 100, 4, 0.056,3.404,0.338,99,3,0.666667,0.666667,0.666667,
wt100-18, 100, 0, 0.041,3.629,0,101,1,0,0,1,
wt100-19, 100, 11, 0.037,2.981,0.85,95,4,0.392785,0.454545,0.25,
wt100-20, 100, 6, 0.027,1.179,0.574,97,3,0.419974,0.444444,0.333333,
wt100-21, 100, 0, 0.023,0.903,0,101,1,0,0,1,
wt100-22, 100, 0, 0.018,1.071,0,101,1,0,0,1,
wt100-23, 100, 0, 0.019,0.707,0,101,1,0,0,1,
wt100-24, 100, 0, 0.029,1.194,0,101,1,0,0,1,
wt100-25, 100, 7, 0.001,0.17,0.023,100,7,0.857143,0.857143,0.857143,
wt100-26, 100, 3, 0.007,0.416,0.014,100,3,0.333333,0.333333,0.333333,
wt100-27, 100, 14, 0.003,0.217,0.045,100,14,0.928571,0.928571,0.928571,
wt100-28, 100, 14, 0.002,0.164,0.141,98,11,0.906978,0.907143,0.9,
wt100-29, 100, 6, 0.002,0.267,0.052,100,6,0.833333,0.833333,0.833333,
