Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.053,0.264,0.328,39,2,0.529134,0.555641,0.333077,
wt40-1, 40, 10, 0.018,0.326,0.211,36,2,0.659754,0.7,0.5,
wt40-2, 40, 2, 0.012,0.213,0.365,40,2,0.499997,0.5,0.498333,
wt40-3, 40, 8, 0.026,0.747,0.712,36,5,0.618051,0.625,0.453333,
wt40-4, 40, 4, 0.013,0.203,0.241,39,2,0.5,0.5,0.5,
wt40-5, 40, 0, 0.01,0.565,0,41,1,0,0,1,
wt40-6, 40, 0, 0.015,0.575,0,41,1,0,0,1,
wt40-7, 40, 9, 0.012,0.438,0.659,37,5,0.638198,0.666667,0.393158,
wt40-8, 40, 5, 0.012,0.544,0.258,38,3,0.447213,0.489333,0.276667,
wt40-9, 40, 0, 0.015,0.638,0,41,1,0,0,1,
wt40-10, 40, 0, 0.011,0.597,0,41,1,0,0,1,
wt40-11, 40, 10, 0.03,0.537,0.116,37,2,0.714262,0.76,0.4,
wt40-12, 40, 3, 0.013,0.813,0.257,39,2,0.529134,0.555641,0.333077,
wt40-13, 40, 5, 0.022,0.624,0.215,38,2,0.51017,0.52,0.4,
wt40-14, 40, 0, 0.011,0.594,0,41,1,0,0,1,
wt40-15, 40, 7, 0.056,0.968,0.312,36,3,0.557726,0.571429,0.428235,
wt40-16, 40, 7, 0.036,0.755,0.125,38,5,0.248961,0.29563,0.144118,
wt40-17, 40, 0, 0.028,0.82,0,41,1,0,0,1,
wt40-18, 40, 0, 0.013,0.679,0,41,1,0,0,1,
wt40-19, 40, 3, 0.011,0.669,0.19,39,2,0.529134,0.555641,0.333077,
wt40-20, 40, 8, 0.017,0.222,0.066,36,4,0.499998,0.545,0.262222,
wt40-21, 40, 3, 0.009,0.113,0.137,39,2,0.529134,0.555641,0.333077,
wt40-22, 40, 2, 0.011,0.163,0.308,40,2,0.499997,0.5,0.498333,
wt40-23, 40, 0, 0.003,0.179,0,41,1,0,0,1,
wt40-24, 40, 0, 0.006,0.146,0,41,1,0,0,1,
wt40-25, 40, 0, 0.001,0.038,0,41,1,0,0,1,
wt40-26, 40, 7, 0.001,0.02,1.225,40,7,0.857142,0.857143,0.856471,
wt40-27, 40, 2, 0.002,0.039,0.222,40,2,0.499997,0.5,0.498333,
wt40-28, 40, 2, 0.001,0.047,0.269,40,2,0.499997,0.5,0.498333,
wt40-29, 40, 0, 0.001,0.031,0,41,1,0,0,1,
wt40-30, 40, 0, 0.013,0.54,0,41,1,0,0,1,
wt40-31, 40, 4, 0.011,0.609,0.27,39,2,0.5,0.5,0.5,
wt40-32, 40, 0, 0.051,0.81,0,41,1,0,0,1,
wt40-33, 40, 5, 0.012,0.372,0.459,39,2,0.574349,0.6,0.5,
wt40-34, 40, 0, 0.012,0.451,0,41,1,0,0,1,
wt40-35, 40, 0, 0.013,0.646,0,41,1,0,0,1,
wt40-36, 40, 0, 0.009,0.589,0,41,1,0,0,1,
wt40-37, 40, 4, 0.009,0.6,0.256,39,3,0.40296,0.437857,0.248571,
wt40-38, 40, 4, 0.022,0.559,0.197,39,2,0.5,0.5,0.5,
wt40-39, 40, 0, 0.009,0.801,0,41,1,0,0,1,
wt40-40, 40, 4, 0.05,0.7,0.241,39,2,0.707107,0.75,0.5,
wt40-41, 40, 2, 0.013,0.545,0.255,40,2,0.499997,0.5,0.498333,
wt40-42, 40, 0, 0.035,0.88,0,41,1,0,0,1,
wt40-43, 40, 0, 0.015,0.763,0,41,1,0,0,1,
wt40-44, 40, 0, 0.015,0.844,0,41,1,0,0,1,
wt40-45, 40, 3, 0.009,0.2,0.189,39,2,0.529134,0.555641,0.333077,
wt40-46, 40, 0, 0.021,0.213,0,41,1,0,0,1,
wt40-47, 40, 2, 0.015,0.284,0.24,40,2,0.499997,0.5,0.498333,
wt40-48, 40, 0, 0.009,0.221,0,41,1,0,0,1,
wt40-49, 40, 2, 0.012,0.16,0.202,40,2,0.499997,0.5,0.498333,
wt50-0, 50, 2, 0.008,0.423,0.253,50,2,0.499997,0.5,0.498333,
wt50-1, 50, 0, 0.002,0.294,0,51,1,0,0,1,
wt50-2, 50, 3, 0.011,0.395,0.234,50,3,0.333332,0.333333,0.332308,
wt50-3, 50, 0, 0.012,0.502,0,51,1,0,0,1,
wt50-4, 50, 0, 0.009,0.428,0,51,1,0,0,1,
wt50-5, 50, 0, 0.016,0.755,0,51,1,0,0,1,
wt50-6, 50, 2, 0.015,0.694,0.311,50,2,0.499997,0.5,0.498333,
wt50-7, 50, 6, 0.012,0.792,0.296,49,4,0.288672,0.305833,0.165,
wt50-8, 50, 2, 0.005,0.605,0.266,50,2,0.499997,0.5,0.498333,
wt50-9, 50, 15, 0.012,0.563,1.874,46,9,0.484186,0.584933,0.149333,
wt50-10, 50, 0, 0.036,0.976,0,51,1,0,0,1,
wt50-11, 50, 6, 0.011,1.228,0.317,49,4,0.363706,0.429583,0.21,
wt50-12, 50, 0, 0.016,1.031,0,51,1,0,0,1,
wt50-13, 50, 7, 0.015,0.782,0.4,45,3,0.507242,0.51437,0.399412,
wt50-14, 50, 2, 0.019,0.948,0.316,50,2,0.499997,0.5,0.498333,
wt50-15, 50, 9, 0.03,1.177,0.615,47,5,0.324237,0.367076,0.174737,
wt50-16, 50, 0, 0.021,1.159,0,51,1,0,0,1,
wt50-17, 50, 13, 0.015,0.967,0.607,45,7,0.34604,0.458528,0.13,
wt50-18, 50, 0, 0.02,0.954,0,51,1,0,0,1,
wt50-19, 50, 14, 0.016,0.907,0.689,45,6,0.448281,0.536429,0.134167,
wt50-20, 50, 0, 0.012,0.174,0,51,1,0,0,1,
wt50-21, 50, 0, 0.008,0.217,0,51,1,0,0,1,
wt50-22, 50, 0, 0.01,0.335,0,51,1,0,0,1,
wt50-23, 50, 0, 0.011,0.174,0,51,1,0,0,1,
wt50-24, 50, 3, 0.01,0.169,0.207,49,2,0.529134,0.555641,0.333077,
wt50-25, 50, 6, 0.002,0.067,1.261,50,6,0.833332,0.833333,0.8325,
wt50-26, 50, 4, 0.002,0.041,1.016,50,4,0.749999,0.75,0.748571,
wt50-27, 50, 3, 0.01,0.109,0.245,50,3,0.333332,0.333333,0.332308,
wt50-28, 50, 6, 0.001,0.056,1.586,50,6,0.833332,0.833333,0.8325,
wt50-29, 50, 5, 0.002,0.068,1.299,50,5,0.8,0.8,0.8,
wt50-30, 50, 0, 0.015,0.814,0,51,1,0,0,1,
wt50-31, 50, 0, 0.011,0.599,0,51,1,0,0,1,
wt50-32, 50, 10, 0.013,0.549,1.07,48,9,0.300733,0.347,0.15,
wt50-33, 50, 0, 0.012,0.513,0,51,1,0,0,1,
wt50-34, 50, 4, 0.014,0.623,0.402,49,3,0.627375,0.66,0.36,
wt50-35, 50, 6, 0.025,0.796,0.089,47,3,0.419973,0.444375,0.3325,
wt50-36, 50, 5, 0.01,0.723,0.15,49,4,0.293016,0.32,0.2,
wt50-37, 50, 3, 0.032,0.844,0.168,49,2,0.529134,0.555641,0.333077,
wt50-38, 50, 6, 0.027,0.842,0.085,47,3,0.430303,0.460625,0.23625,
wt50-39, 50, 0, 0.018,0.794,0,51,1,0,0,1,
wt50-40, 50, 3, 0.026,1.165,0.182,49,2,0.529134,0.555641,0.333077,
wt50-41, 50, 6, 0.036,0.827,0.102,48,4,0.347665,0.41,0.165,
wt50-42, 50, 4, 0.013,0.773,0.233,49,3,0.40296,0.437857,0.248571,
wt50-43, 50, 0, 0.018,0.944,0,51,1,0,0,1,
wt50-44, 50, 5, 0.015,0.964,0.215,48,2,0.51017,0.52,0.4,
wt50-45, 50, 4, 0.011,0.249,0.283,49,2,0.707107,0.75,0.5,
wt50-46, 50, 2, 0.008,0.306,0.203,50,2,0.499997,0.5,0.498333,
wt50-47, 50, 0, 0.015,0.483,0,51,1,0,0,1,
wt50-48, 50, 0, 0.022,0.545,0,51,1,0,0,1,
wt50-49, 50, 0, 0.012,0.459,0,51,1,0,0,1,
wt100-0, 100, 2, 0.013,1.435,0.237,100,2,0.499997,0.5,0.498333,
wt100-1, 100, 0, 0.015,1.706,0,101,1,0,0,1,
wt100-2, 100, 10, 0.013,1.385,0.842,99,6,0.79371,0.8,0.665,
wt100-3, 100, 10, 0.016,1.551,0.53,98,4,0.543488,0.619,0.24,
wt100-4, 100, 17, 0.014,1.657,0.298,97,5,0.650278,0.71841,0.239259,
wt100-5, 100, 21, 0.025,2.383,1.685,94,8,0.636939,0.706395,0.272581,
wt100-6, 100, 0, 0.017,2.393,0,101,1,0,0,1,
wt100-7, 100, 14, 0.021,2.584,0.661,97,7,0.424641,0.537083,0.151667,
