Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.019,0.368,17.806,39,1,0,0.333333,0,
wt40-1, 40, 10, 0.013,0.351,21.692,36,1,0,0.7,0,
wt40-2, 40, 2, 0.012,0.267,14.446,40,1,0,0.5,0,
wt40-3, 40, 8, 0.019,0.318,27.177,36,1,0,0.625,0,
wt40-4, 40, 4, 0.008,0.166,2.384,39,1,0,0.5,0,
wt40-5, 40, 0, 0.018,0.641,0,41,1,0,0,1,
wt40-6, 40, 0, 0.011,0.535,0,41,1,0,0,1,
wt40-7, 40, 9, 0.021,0.501,24.112,37,1,0,0.666667,0,
wt40-8, 40, 5, 0.012,0.571,29.347,38,1,0,0.6,0,
wt40-9, 40, 0, 0.014,0.569,0,41,1,0,0,1,
wt40-10, 40, 0, 0.012,0.553,0,41,1,0,0,1,
wt40-11, 40, 10, 0.024,0.547,45.521,37,1,0,0.6,0,
wt40-12, 40, 3, 0.013,0.597,24.408,39,1,0,0.333333,0,
wt40-13, 40, 5, 0.017,0.487,26.638,38,1,0,0.4,0,
wt40-14, 40, 0, 0.012,0.598,0,41,1,0,0,1,
wt40-15, 40, 7, 0.055,0.934,72.725,36,1,0,0.571429,0,
wt40-16, 40, 7, 0.019,0.692,29.228,38,1,0,0.285714,0,
wt40-17, 40, 0, 0.026,0.695,0,41,1,0,0,1,
wt40-18, 40, 0, 0.02,0.65,0,41,1,0,0,1,
wt40-19, 40, 3, 0.01,0.574,21.569,39,1,0,0.333333,0,
wt40-20, 40, 8, 0.013,0.175,24.506,36,5,0.47383,0.50075,0.297,
wt40-21, 40, 3, 0.014,0.138,13.891,39,2,0.502928,0.503,0.491,
wt40-22, 40, 2, 0.014,0.17,15.082,40,2,0.4999,0.5,0.49,
wt40-23, 40, 0, 0.005,0.177,0,41,1,0,0,1,
wt40-24, 40, 0, 0.015,0.143,0,41,1,0,0,1,
wt40-25, 40, 0, 0.002,0.041,0,41,1,0,0,1,
wt40-26, 40, 7, 0.002,0.033,0.782,40,1,0,0.857143,0,
wt40-27, 40, 2, 0.002,0.05,0.54,40,1,0,0.5,0,
wt40-28, 40, 2, 0.001,0.045,0.679,40,1,0,0.5,0,
wt40-29, 40, 0, 0.002,0.065,0,41,1,0,0,1,
wt40-30, 40, 0, 0.011,0.57,0,41,1,0,0,1,
wt40-31, 40, 4, 0.017,0.413,18.872,39,1,0,0.5,0,
wt40-32, 40, 0, 0.013,0.641,0,41,1,0,0,1,
wt40-33, 40, 5, 0.009,0.44,10.178,39,1,0,0.6,0,
wt40-34, 40, 0, 0.011,0.465,0,41,1,0,0,1,
wt40-35, 40, 0, 0.012,0.547,0,41,1,0,0,1,
wt40-36, 40, 0, 0.015,0.672,0,41,1,0,0,1,
wt40-37, 40, 4, 0.015,0.493,19.682,39,1,0,0.5,0,
wt40-38, 40, 4, 0.016,0.729,34.561,39,1,0,0.5,0,
wt40-39, 40, 0, 0.008,0.658,0,41,1,0,0,1,
wt40-40, 40, 4, 0.015,0.477,28.91,39,1,0,0.75,0,
wt40-41, 40, 2, 0.02,0.731,28.551,40,1,0,0.5,0,
wt40-42, 40, 0, 0.022,0.848,0,41,1,0,0,1,
wt40-43, 40, 0, 0.016,0.765,0,41,1,0,0,1,
wt40-44, 40, 0, 0.01,0.628,0,41,1,0,0,1,
wt40-45, 40, 3, 0.01,0.208,14.631,39,2,0.505711,0.506,0.482,
wt40-46, 40, 0, 0.011,0.212,0,41,1,0,0,1,
wt40-47, 40, 2, 0.008,0.153,10.842,40,2,0.499676,0.5,0.482,
wt40-48, 40, 0, 0.014,0.22,0,41,1,0,0,1,
wt40-49, 40, 2, 0.011,0.169,15.013,40,2,0.499639,0.5,0.481,
wt50-0, 50, 2, 0.011,0.343,2.273,50,1,0,0.5,0,
wt50-1, 50, 0, 0.005,0.283,0,51,1,0,0,1,
wt50-2, 50, 3, 0.011,0.47,20.332,50,1,0,0.333333,0,
wt50-3, 50, 0, 0.011,0.555,0,51,1,0,0,1,
wt50-4, 50, 0, 0.011,0.393,0,51,1,0,0,1,
wt50-5, 50, 0, 0.015,0.837,0,51,1,0,0,1,
wt50-6, 50, 2, 0.015,0.734,15.686,50,1,0,0.5,0,
wt50-7, 50, 6, 0.02,0.765,21.161,49,1,0,0.333333,0,
wt50-8, 50, 2, 0.006,0.647,14.462,50,1,0,0.5,0,
wt50-9, 50, 15, 0.016,0.67,25.12,46,1,0,0.6,0,
wt50-10, 50, 0, 0.039,1.036,0,51,1,0,0,1,
wt50-11, 50, 6, 0.012,0.952,28.182,49,1,0,0.333333,0,
wt50-12, 50, 0, 0.021,1.035,0,51,1,0,0,1,
wt50-13, 50, 7, 0.016,0.698,45.806,45,1,0,0.571429,0,
wt50-14, 50, 2, 0.019,0.969,19.11,50,1,0,0.5,0,
wt50-15, 50, 9, 0.033,1.095,48.922,47,1,0,0.333333,0,
wt50-16, 50, 0, 0.015,0.981,0,51,1,0,0,1,
wt50-17, 50, 13, 0.015,0.795,53.357,45,1,0,0.384615,0,
wt50-18, 50, 0, 0.014,1.032,0,51,1,0,0,1,
wt50-19, 50, 14, 0.025,0.962,74.913,45,1,0,0.5,0,
wt50-20, 50, 0, 0.008,0.219,0,51,1,0,0,1,
wt50-21, 50, 0, 0.014,0.252,0,51,1,0,0,1,
wt50-22, 50, 0, 0.013,0.313,0,51,1,0,0,1,
wt50-23, 50, 0, 0.01,0.155,0,51,1,0,0,1,
wt50-24, 50, 3, 0.009,0.213,14.444,49,2,0.523853,0.532667,0.402,
wt50-25, 50, 6, 0.001,0.039,0.796,50,1,0,0.833333,0,
wt50-26, 50, 4, 0.002,0.055,0.772,50,1,0,0.75,0,
wt50-27, 50, 3, 0.01,0.171,8.965,50,1,0,0.333333,0,
wt50-28, 50, 6, 0.001,0.04,0.485,50,1,0,0.833333,0,
wt50-29, 50, 5, 0.003,0.05,0.652,50,1,0,0.8,0,
wt50-30, 50, 0, 0.015,0.723,0,51,1,0,0,1,
wt50-31, 50, 0, 0.013,0.646,0,51,1,0,0,1,
wt50-32, 50, 10, 0.008,0.489,20.541,48,1,0,0.3,0,
wt50-33, 50, 0, 0.013,0.56,0,51,1,0,0,1,
wt50-34, 50, 4, 0.013,0.747,27.892,49,1,0,0.5,0,
wt50-35, 50, 6, 0.023,0.839,32.783,47,1,0,0.333333,0,
wt50-36, 50, 5, 0.01,0.837,19.102,49,1,0,0.4,0,
wt50-37, 50, 3, 0.021,0.797,22.762,49,1,0,0.333333,0,
wt50-38, 50, 6, 0.022,0.816,36.994,47,1,0,0.333333,0,
wt50-39, 50, 0, 0.023,0.854,0,51,1,0,0,1,
wt50-40, 50, 3, 0.039,1.021,52.054,49,1,0,0.333333,0,
wt50-41, 50, 6, 0.029,0.877,45.226,48,1,0,0.5,0,
wt50-42, 50, 4, 0.017,0.872,18.29,49,1,0,0.25,0,
