Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.019,0.368,17.435,39,1000,0.319327,0.400667,0.202,
wt40-1, 40, 10, 0.013,0.351,16.841,36,1000,0.399633,0.6847,0.004,
wt40-2, 40, 2, 0.012,0.267,16.792,40,1000,0.496141,0.5,0.438,
wt40-3, 40, 8, 0.019,0.318,19.874,36,1000,0.329579,0.625,0.002,
wt40-4, 40, 4, 0.008,0.166,13.248,39,1000,0.190557,0.5,0.027,
wt40-5, 40, 0, 0.018,0.641,0,41,1,0,0,1,
wt40-6, 40, 0, 0.011,0.535,0,41,1,0,0,1,
wt40-7, 40, 9, 0.021,0.501,21.296,37,1000,0.32175,0.666667,0.001,
wt40-8, 40, 5, 0.012,0.571,17.026,38,1000,0.402343,0.4584,0.176,
wt40-9, 40, 0, 0.014,0.569,0,41,1,0,0,1,
wt40-10, 40, 0, 0.012,0.553,0,41,1,0,0,1,
wt40-11, 40, 10, 0.024,0.547,28.551,37,1000,0.588206,0.7431,0.043,
wt40-12, 40, 3, 0.013,0.597,20.03,39,1000,0.125824,0.666,0.002,
wt40-13, 40, 5, 0.017,0.487,17.952,38,1000,0,0.59,0,
wt40-14, 40, 0, 0.012,0.598,0,41,1,0,0,1,
wt40-15, 40, 7, 0.055,0.934,50.666,36,1000,0.161587,0.441857,0.02,
wt40-16, 40, 7, 0.019,0.692,28.639,38,1000,0.057953,0.182857,0.001,
wt40-17, 40, 0, 0.026,0.695,0,41,1,0,0,1,
wt40-18, 40, 0, 0.02,0.65,0,41,1,0,0,1,
wt40-19, 40, 3, 0.01,0.574,18.494,39,1000,0.170427,0.665,0.005,
wt40-20, 40, 8, 0.013,0.175,18.399,36,1000,0.41027,0.589,0.079,
wt40-21, 40, 3, 0.014,0.138,15.332,39,1000,0.319327,0.400667,0.202,
wt40-22, 40, 2, 0.014,0.17,16.212,40,1000,0.432434,0.5,0.249,
wt40-23, 40, 0, 0.005,0.177,0,41,1,0,0,1,
wt40-24, 40, 0, 0.015,0.143,0,41,1,0,0,1,
wt40-25, 40, 0, 0.002,0.041,0,41,1,0,0,1,
wt40-26, 40, 7, 0.002,0.033,2.545,40,1000,0.857046,0.857143,0.835,
wt40-27, 40, 2, 0.002,0.05,2.496,40,1000,0.499804,0.5,0.486,
wt40-28, 40, 2, 0.001,0.045,2.677,40,1000,0.499676,0.5,0.482,
wt40-29, 40, 0, 0.002,0.065,0,41,1,0,0,1,
wt40-30, 40, 0, 0.011,0.57,0,41,1,0,0,1,
wt40-31, 40, 4, 0.017,0.413,17.877,39,1000,0,0.5,0,
wt40-32, 40, 0, 0.013,0.641,0,41,1,0,0,1,
wt40-33, 40, 5, 0.009,0.44,16.03,39,1000,0.110793,0.6,0.001,
wt40-34, 40, 0, 0.011,0.465,0,41,1,0,0,1,
wt40-35, 40, 0, 0.012,0.547,0,41,1,0,0,1,
wt40-36, 40, 0, 0.015,0.672,0,41,1,0,0,1,
wt40-37, 40, 4, 0.015,0.493,17.782,39,1000,0.0724692,0.499,0.004,
wt40-38, 40, 4, 0.016,0.729,22.443,39,1000,0.233324,0.5,0.012,
wt40-39, 40, 0, 0.008,0.658,0,41,1,0,0,1,
wt40-40, 40, 4, 0.015,0.477,19.667,39,1000,0.336228,0.749,0.013,
wt40-41, 40, 2, 0.02,0.731,23.589,40,1000,0.202857,0.5,0.043,
wt40-42, 40, 0, 0.022,0.848,0,41,1,0,0,1,
wt40-43, 40, 0, 0.016,0.765,0,41,1,0,0,1,
wt40-44, 40, 0, 0.01,0.628,0,41,1,0,0,1,
wt40-45, 40, 3, 0.01,0.208,15.453,39,1000,0.493614,0.607333,0.178,
wt40-46, 40, 0, 0.011,0.212,0,41,1,0,0,1,
wt40-47, 40, 2, 0.008,0.153,12.964,40,1000,0.357071,0.5,0.15,
wt40-48, 40, 0, 0.014,0.22,0,41,1,0,0,1,
wt40-49, 40, 2, 0.011,0.169,15.248,40,1000,0.499996,0.5,0.498,
wt50-0, 50, 2, 0.011,0.343,14.482,50,1000,0.05469,0.5,0.003,
wt50-1, 50, 0, 0.005,0.283,0,51,1,0,0,1,
wt50-2, 50, 3, 0.011,0.47,18.138,50,1000,0.117893,0.333333,0.007,
wt50-3, 50, 0, 0.011,0.555,0,51,1,0,0,1,
wt50-4, 50, 0, 0.011,0.393,0,51,1,0,0,1,
wt50-5, 50, 0, 0.015,0.837,0,51,1,0,0,1,
