Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.202,0,1,0.202,1,1,1,1,1,1,1,1,1,0.798,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.004,1,1,1,1,1,1,1,0.998,0.831,1,1,1,1,1,0.977,1,0.174,1,1,1,1,0.383,1,1,0.999,1,1,1,1,1,1,0.999,1,1,1,0.482,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.562,1,1,1,1,1,1,1,1,0,1,1,1,0.438,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.002,1,1,1,0.541,1,1,1,1,1,0.541,1,1,1,1,1,1,1,1,0.463,0.605,1,1,0.996,1,1,1,1,1,0.997,1,1,1,1,1,1,1,0.855,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.053,1,1,1,1,1,1,1,0.027,1,1,1,1,0,1,1,1,0.947,0.973,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.32,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.999,1,1,0.001,1,0.339,1,1,1,1,1,1,0.341,1,1,1,1,1,1,1,0,
wt40-8, 40, 5, 0.292,0,1,1,1,1,1,1,0.176,1,1,0,1,1,1,0.468,1,1,0,0.824,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.532,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,0.997,1,0,1,1,1,0,0.346,0,1,1,1,0,1,1,0.043,0.92,0.851,1,1,0,0.735,1,1,0,0.929,0,0.956,0,1,1,0.654,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.998,0,0,1,1,0.002,1,1,1,1,0,1,1,1,0.998,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.95,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.05,0,1,0,0,1,1,1,0,1,0,0,0.95,1,0,0,1,0,1,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,0.085,0,0,0.98,1,0,0.932,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.02,1,0,0.975,0.076,0.025,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.102,0,0,1,1,0.102,1,0.001,1,0,1,1,0.178,0.038,0,0.038,1,1,0,1,1,0,0,0,0.821,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.995,0.995,1,0,1,0,0,1,0.005,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.929,0,0,0,0,0.921,0,0,0,0.15,0.85,0,0.079,0.783,0,0,0,1,0.862,1,0.138,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.798,0.202,0,1,0,0.202,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.751,0,0,0.249,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
wt40-25, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-26, 40, 7, 0.842,0.835,1,1,1,1,1,1,0.863,1,1,1,0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865,1,1,1,1,1,0.875,1,0.86,1,1,1,1,
wt40-27, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.514,1,1,1,
wt40-28, 40, 2, 1,1,0.518,1,1,1,1,0.482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
