Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.666667,0,1,0.666667,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.266,1,1,0.97,1,1,1,1,0.964,0.515,1,1,1,1,1,0.499,1,0.644,1,1,1,1,0.354,1,1,0.974,1,1,1,1,1,1,0.912,1,1,1,0.692,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.324,1,1,1,0.897,1,1,1,1,1,0.897,1,1,1,1,1,1,1,1,0.46,0.636,1,1,0.67,1,1,1,1,1,0.639,1,1,1,1,1,1,1,0.477,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.375,1,1,1,1,1,1,1,0.375,1,1,1,1,0,1,1,1,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.263,0.983,0,0,0,0,1,1,1,1,1,0,0.88,1,1,0.841,1,1,0.641,1,1,0.655,1,0.463,1,1,1,1,1,1,0.478,1,1,1,0.779,1,1,1,0,
wt40-8, 40, 5, 0.455,0,1,1,1,1,1,1,0.271,1,1,0,1,1,1,0.726,1,1,0,0.729,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.274,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,0.977,1,0,1,1,1,0,0.548,0,1,1,1,0,1,1,0.306,0.879,0.921,1,1,0,0.631,0.967,1,0,0.981,0,0.669,0,1,1,0.452,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.666667,0,0,1,1,0.333333,1,1,1,1,0,1,1,1,0.666667,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.556,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.444,0,1,0,0,1,1,1,0,1,0,0,0.556,1,0,0,1,0.275,0.725,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,0.557,0,0,0.619,1,0,0.706,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.381,1,0,0.478,0.553,0.522,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.378,0,0,1,1,0.378,1,0.146,1,0,1,1,0.716,0.186,0,0.152,1,1,0,1,1,0,0,0,0.138,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.666667,0.666667,1,0,1,0,0,1,0.333333,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.778,0,0,0,0,0.754,0,0,0,0.468,0.532,0,0.246,0.486,0,0,0,1,0.732,1,0.268,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.333333,0.666667,0,1,0,0.666667,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
wt40-25, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-26, 40, 7, 0.864,0.871,1,1,1,1,1,1,0.856,1,1,1,0.865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.856,1,1,1,1,1,0.844,1,0.844,1,1,1,1,
wt40-27, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,
wt40-28, 40, 2, 1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-29, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
wt40-30, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-31, 40, 4, 1,1,1,0,1,0,0.375,1,1,1,1,1,1,1,1,0.625,1,1,1,1,1,1,1,1,1,0.625,1,0.375,1,1,1,0,1,1,1,1,1,1,0,1,
wt40-32, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
wt40-33, 40, 5, 1,1,1,1,1,1,1,1,0.513,1,1,0,0,0,1,1,0.7,0.368,1,1,1,1,1,1,1,0.419,1,1,1,1,1,1,1,1,0.881,1,1,1,1,1,
wt40-34, 40, 0, 1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,
wt40-35, 40, 0, 1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,
wt40-36, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,
wt40-37, 40, 4, 0.375,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0.25,1,1,1,0.75,0.375,0,1,1,1,1,1,1,1,1,
wt40-38, 40, 4, 1,0,0.5,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.5,0.5,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0.5,
wt40-39, 40, 0, 1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,
wt40-40, 40, 4, 0,0,0,1,0.833333,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0.583333,0,1,0,0,1,1,1,0.583333,1,1,1,1,1,0.833333,1,
wt40-41, 40, 2, 1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.5,0.5,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,
wt40-42, 40, 0, 0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,
wt40-43, 40, 0, 0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,
wt40-44, 40, 0, 1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,
wt40-45, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666667,0,0.333333,1,1,0,0,0.666667,1,1,1,0,1,
wt40-46, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,
wt40-47, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0.5,1,0,0.5,1,0,1,1,1,1,1,
wt40-48, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,
wt40-49, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,1,1,0,1,0.5,1,
wt50-0, 50, 2, 0,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt50-1, 50, 0, 0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt50-2, 50, 3, 1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,1,1,0.333333,1,1,1,1,
wt50-3, 50, 0, 1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt50-4, 50, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,
wt50-5, 50, 0, 0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,
wt50-6, 50, 2, 1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,1,1,1,0,1,0,1,1,1,1,1,1,0,0.5,0,1,1,1,0,1,0,0,1,1,0,1,1,
wt50-7, 50, 6, 0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.216,0,1,1,1,0.65,1,0.213,1,1,1,0.284,1,0,1,1,1,1,1,0,0.176,1,0.285,1,1,1,1,0,1,1,1,1,1,0,
wt50-8, 50, 2, 1,1,1,1,0.5,1,1,1,1,1,0,1,0.5,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,
wt50-9, 50, 15, 0.991,0.241,0.75,1,1,0,1,0.318,1,0.875,1,1,0.997,1,0.971,1,1,1,1,1,1,0.119,1,1,0.234,0.192,1,0.65,1,1,0.772,1,0,1,1,0,1,0.419,0.81,1,1,0,1,0.275,1,0,1,1,1,1,
wt50-10, 50, 0, 1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,
wt50-11, 50, 6, 0,1,1,1,1,1,0,0,1,1,0,1,0,0.769,1,1,0,0,1,0.206,0,0.243,1,0,1,0.271,1,0,0,0,1,0,0.782,0.28,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,
wt50-12, 50, 0, 0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,
wt50-13, 50, 7, 0,1,0,0,0,1,1,1,1,1,1,1,1,0.322,1,1,0.637,0,1,1,0,0,1,1,1,1,0,0.678,0,1,1,0.322,0,0,0,0.678,1,0.678,1,1,1,0.363,0,1,1,0,1,1,1,0,
wt50-14, 50, 2, 0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0.5,1,0,1,0,1,1,1,0.5,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,
wt50-15, 50, 9, 0,0,0,1,0.366,0.419,1,0,0,1,0.248,0.761,1,1,0,0,1,1,1,1,1,1,0.287,0.141,0.233,0,1,1,0,0,0.18,0,1,1,0,0.572,0,0,1,1,1,0,0,1,1,0,0,1,0,1,
wt50-16, 50, 0, 1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,
wt50-17, 50, 13, 0.535,1,1,0,0,0,0,0.129,1,1,0.165,1,1,0.539,1,0,0,0.301,0,1,0,1,0,1,1,1,1,0,0,0,1,0.942,0,1,0,0,0.15,0,0.835,0.909,0.204,0.155,0,1,0.75,0,0.148,1,0,1,
wt50-18, 50, 0, 1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,
wt50-19, 50, 14, 0,0,0,1,0.971,0.664,1,1,0.251,1,0,0.787,0.344,0,1,0,1,0,1,0.191,1,1,0.263,0,0.376,1,0,0,0,0,0,0,0.219,1,0,0,0,0,0,0.95,0,0.653,1,1,0.503,1,0,1,0.98,0.126,
wt50-20, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,
wt50-21, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,
wt50-22, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,
wt50-23, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,
wt50-24, 50, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.333333,1,0,0,0,0,0,0,0,1,0,0.666667,0,1,0,1,1,
wt50-25, 50, 6, 1,0.852,1,1,0.815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1,1,1,0.837,0.82,1,1,1,1,1,1,1,1,1,1,0.836,1,1,1,1,1,1,
wt50-26, 50, 4, 0.75,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,
wt50-27, 50, 3, 0.333333,1,1,1,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,0.333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt50-28, 50, 6, 1,0.844,1,1,1,1,1,1,1,1,1,1,0.815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.854,1,1,1,1,1,1,1,1,0.82,0.826,1,1,1,1,1,1,0.841,1,1,1,
wt50-29, 50, 5, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.793,1,1,1,1,1,1,1,1,1,0.797,1,1,1,0.805,1,1,1,0.792,1,1,1,1,1,1,1,1,1,1,1,1,0.813,1,1,1,1,1,
wt50-30, 50, 0, 1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
wt50-31, 50, 0, 1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,
wt50-32, 50, 10, 1,0.232,1,1,1,1,1,1,1,1,1,1,1,0.472,0.219,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.437,1,1,1,1,0.426,0.157,1,1,1,1,1,1,1,1,0.157,0.246,1,0.196,0.833,1,
wt50-33, 50, 0, 1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,
wt50-34, 50, 4, 1,1,1,1,0.791667,0.791667,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.416667,1,1,1,0,1,1,1,1,1,1,0,1,0.583333,0,1,1,1,0,1,1,1,1,1,1,
wt50-35, 50, 6, 1,1,1,1,0,1,1,1,0.665,1,1,0.665,0,1,0,1,0,1,0.326,0.335,0,1,1,1,1,1,0,1,0,0,1,1,0.335,0,0,1,0,1,1,1,1,1,1,0.339,1,1,1,1,1,1,
wt50-36, 50, 5, 1,1,1,0.289,1,1,1,0.192,0.601,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0.312,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0.207,1,1,1,1,0,1,1,
wt50-37, 50, 3, 1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0.666667,1,1,0,1,1,0,1,0,1,1,1,1,0.666667,1,1,0.333333,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,
wt50-38, 50, 6, 0.774,0,1,1,0,1,0,1,1,1,1,0.226,1,0.58,0.42,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0.42,0,1,1,1,1,1,1,1,0.354,1,1,1,1,
wt50-39, 50, 0, 0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,
wt50-40, 50, 3, 0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0.666667,1,1,0,0.666667,1,0,1,0.333333,1,1,
wt50-41, 50, 6, 0,0,0,0,0,1,0,1,0,0,1,0,0,0.834,1,1,0,0,0,1,0,1,0,0.166,1,1,1,0.208,0,0,1,1,1,1,0.626,0,1,1,0.321,1,1,1,1,1,0.305,1,1,0,1,1,
wt50-42, 50, 4, 0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0.75,1,0,0.25,1,1,1,0,0,1,1,0,0.375,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0.375,1,0,1,
wt50-43, 50, 0, 0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,
wt50-44, 50, 5, 1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0.521,0,0,0,0.302,1,0.698,1,1,1,0,0.521,0.479,1,1,1,1,1,0,
wt50-45, 50, 4, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.583333,0.833333,1,0,1,1,0.583333,1,0,1,1,0,0.833333,1,
wt50-46, 50, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.5,1,0,0,1,1,0,0.5,1,1,
wt50-47, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,
wt50-48, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,
wt50-49, 50, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,
