Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.019,0.368,0.127,39,6,0.529134,0.555556,0.333333,
wt40-1, 40, 10, 0.013,0.351,24.087,36,1000,0.623672,0.678,0.262,
wt40-2, 40, 2, 0.012,0.267,0.055,40,2,0.5,0.5,0.5,
wt40-3, 40, 8, 0.019,0.318,25.726,36,1000,0.595639,0.625,0.326,
wt40-4, 40, 4, 0.008,0.166,0.092,39,24,0.484123,0.5,0.375,
wt40-5, 40, 0, 0.018,0.641,0,41,1,0,0,1,
wt40-6, 40, 0, 0.011,0.535,0,41,1,0,0,1,
wt40-7, 40, 9, 0.021,0.501,24.243,37,1000,0.621932,0.665,0.296,
wt40-8, 40, 5, 0.012,0.571,23.106,38,1000,0.446634,0.4954,0.254,
wt40-9, 40, 0, 0.014,0.569,0,41,1,0,0,1,
wt40-10, 40, 0, 0.012,0.553,0,41,1,0,0,1,
wt40-11, 40, 10, 0.024,0.547,38.489,37,1000,0.687167,0.7321,0.3,
wt40-12, 40, 3, 0.013,0.597,0.183,39,6,0.529134,0.555556,0.333333,
wt40-13, 40, 5, 0.017,0.487,20.017,38,1000,0.486638,0.5012,0.315,
wt40-14, 40, 0, 0.012,0.598,0,41,1,0,0,1,
wt40-15, 40, 7, 0.055,0.934,65.762,36,1000,0.538452,0.546714,0.416,
wt40-16, 40, 7, 0.019,0.692,28.348,38,1000,0.248482,0.299143,0.136,
wt40-17, 40, 0, 0.026,0.695,0,41,1,0,0,1,
wt40-18, 40, 0, 0.02,0.65,0,41,1,0,0,1,
wt40-19, 40, 3, 0.01,0.574,0.11,39,6,0.529134,0.555556,0.333333,
wt40-20, 40, 8, 0.013,0.175,21.387,36,5,0.493562,0.5305,0.264,
wt40-21, 40, 3, 0.014,0.138,0.088,39,2,0.529134,0.555556,0.333333,
wt40-22, 40, 2, 0.014,0.17,0.05,40,2,0.5,0.5,0.5,
wt40-23, 40, 0, 0.005,0.177,0,41,1,0,0,1,
wt40-24, 40, 0, 0.015,0.143,0,41,1,0,0,1,
wt40-25, 40, 0, 0.002,0.041,0,41,1,0,0,1,
wt40-26, 40, 7, 0.002,0.033,0.661,40,1000,0.857089,0.857143,0.841,
wt40-27, 40, 2, 0.002,0.05,0.019,40,2,0.5,0.5,0.5,
wt40-28, 40, 2, 0.001,0.045,0.02,40,2,0.5,0.5,0.5,
wt40-29, 40, 0, 0.002,0.065,0,41,1,0,0,1,
wt40-30, 40, 0, 0.011,0.57,0,41,1,0,0,1,
wt40-31, 40, 4, 0.017,0.413,0.445,39,24,0.484123,0.5,0.375,
wt40-32, 40, 0, 0.013,0.641,0,41,1,0,0,1,
wt40-33, 40, 5, 0.009,0.44,16.425,39,1000,0.546626,0.5772,0.331,
wt40-34, 40, 0, 0.011,0.465,0,41,1,0,0,1,
wt40-35, 40, 0, 0.012,0.547,0,41,1,0,0,1,
wt40-36, 40, 0, 0.015,0.672,0,41,1,0,0,1,
wt40-37, 40, 4, 0.015,0.493,0.425,39,24,0.402964,0.4375,0.25,
wt40-38, 40, 4, 0.016,0.729,0.811,39,24,0.5,0.5,0.5,
wt40-39, 40, 0, 0.008,0.658,0,41,1,0,0,1,
wt40-40, 40, 4, 0.015,0.477,0.534,39,24,0.697217,0.708333,0.583333,
wt40-41, 40, 2, 0.02,0.731,0.075,40,2,0.5,0.5,0.5,
wt40-42, 40, 0, 0.022,0.848,0,41,1,0,0,1,
wt40-43, 40, 0, 0.016,0.765,0,41,1,0,0,1,
wt40-44, 40, 0, 0.01,0.628,0,41,1,0,0,1,
wt40-45, 40, 3, 0.01,0.208,0.07,39,2,0.529134,0.555556,0.333333,
wt40-46, 40, 0, 0.011,0.212,0,41,1,0,0,1,
wt40-47, 40, 2, 0.008,0.153,0.04,40,2,0.5,0.5,0.5,
wt40-48, 40, 0, 0.014,0.22,0,41,1,0,0,1,
wt40-49, 40, 2, 0.011,0.169,0.048,40,2,0.5,0.5,0.5,
wt50-0, 50, 2, 0.011,0.343,0.041,50,2,0.5,0.5,0.5,
wt50-1, 50, 0, 0.005,0.283,0,51,1,0,0,1,
wt50-2, 50, 3, 0.011,0.47,0.129,50,6,0.333333,0.333333,0.333333,
wt50-3, 50, 0, 0.011,0.555,0,51,1,0,0,1,
