Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.666667,0,1,0.666667,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.262,1,1,0.963,1,1,1,1,0.957,0.495,1,1,1,1,1,0.501,1,0.666,1,1,1,1,0.373,1,1,0.972,1,1,1,1,1,1,0.926,1,1,1,0.665,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.326,1,1,1,0.878,1,1,1,1,1,0.878,1,1,1,1,1,1,1,1,0.466,0.644,1,1,0.667,1,1,1,1,1,0.673,1,1,1,1,1,1,1,0.468,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.375,1,1,1,1,1,1,1,0.375,1,1,1,1,0,1,1,1,0.625,0.625,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.296,0.985,0,0,0,0,1,1,1,1,1,0,0.835,1,1,0.854,1,1,0.652,1,1,0.674,1,0.435,1,1,1,1,1,1,0.42,1,1,1,0.834,1,1,1,0,
wt40-8, 40, 5, 0.477,0,1,1,1,1,1,1,0.269,1,1,0,1,1,1,0.746,1,1,0,0.731,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.254,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,0.975,1,0,1,1,1,0,0.554,0,1,1,1,0,1,1,0.3,0.871,0.922,1,1,0,0.634,0.965,1,0,0.978,0,0.676,0,1,1,0.446,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.666667,0,0,1,1,0.333333,1,1,1,1,0,1,1,1,0.666667,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.506,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.494,0,1,0,0,1,1,1,0,1,0,0,0.506,1,0,0,1,0.315,0.685,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,0.568,0,0,0.584,1,0,0.732,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.416,1,0,0.441,0.527,0.559,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.38,0,0,1,1,0.38,1,0.15,1,0,1,1,0.714,0.158,0,0.176,1,1,0,1,1,0,0,0,0.136,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.666667,0.666667,1,0,1,0,0,1,0.333333,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.791,0,0,0,0,0.736,0,0,0,0.473,0.527,0,0.264,0.453,0,0,0,1,0.717,1,0.283,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.333333,0.666667,0,1,0,0.666667,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
wt40-25, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-26, 40, 7, 0.861,0.864,1,1,1,1,1,1,0.841,1,1,1,0.848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.871,1,1,1,1,1,0.862,1,0.853,1,1,1,1,
wt40-27, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,
wt40-28, 40, 2, 1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-29, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
