Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt40-0, 40, 3, 0.019,0.368,0.052,39,2,0.5,0.5,0.5,
wt40-1, 40, 10, 0.013,0.351,0.044,36,11,0.522968,0.636364,0.0909091,
wt40-2, 40, 2, 0.012,0.267,0.003,40,2,0.5,0.5,0.5,
wt40-3, 40, 8, 0.019,0.318,0.14,36,14,0.576917,0.625,0.214286,
wt40-4, 40, 4, 0.008,0.166,0.002,39,3,0.471405,0.5,0.333333,
wt40-5, 40, 0, 0.018,0.641,0,41,1,0,0,1,
wt40-6, 40, 0, 0.011,0.535,0,41,1,0,0,1,
wt40-7, 40, 9, 0.021,0.501,0.207,37,13,0.590909,0.65812,0.153846,
wt40-8, 40, 5, 0.012,0.571,0.027,38,3,0.439836,0.466667,0.333333,
wt40-9, 40, 0, 0.014,0.569,0,41,1,0,0,1,
wt40-10, 40, 0, 0.012,0.553,0,41,1,0,0,1,
wt40-11, 40, 10, 0.024,0.547,0.083,37,8,0.533798,0.65,0.125,
wt40-12, 40, 3, 0.013,0.597,0.039,39,2,0.5,0.5,0.5,
wt40-13, 40, 5, 0.017,0.487,0.029,38,3,0.439836,0.466667,0.333333,
wt40-14, 40, 0, 0.012,0.598,0,41,1,0,0,1,
wt40-15, 40, 7, 0.055,0.934,0.218,36,5,0.495879,0.514286,0.4,
wt40-16, 40, 7, 0.019,0.692,0.056,38,5,0.233986,0.257143,0.2,
wt40-17, 40, 0, 0.026,0.695,0,41,1,0,0,1,
wt40-18, 40, 0, 0.02,0.65,0,41,1,0,0,1,
wt40-19, 40, 3, 0.01,0.574,0.013,39,2,0.5,0.5,0.5,
wt40-20, 40, 8, 0.013,0.175,0.037,36,5,0.465687,0.5,0.2,
wt40-21, 40, 3, 0.014,0.138,0.022,39,2,0.5,0.5,0.5,
wt40-22, 40, 2, 0.014,0.17,0.025,40,2,0.5,0.5,0.5,
wt40-23, 40, 0, 0.005,0.177,0,41,1,0,0,1,
wt40-24, 40, 0, 0.015,0.143,0,41,1,0,0,1,
wt40-25, 40, 0, 0.002,0.041,0,41,1,0,0,1,
wt40-26, 40, 7, 0.002,0.033,0.002,40,7,0.857143,0.857143,0.857143,
wt40-27, 40, 2, 0.002,0.05,0.001,40,2,0.5,0.5,0.5,
wt40-28, 40, 2, 0.001,0.045,0.001,40,2,0.5,0.5,0.5,
wt40-29, 40, 0, 0.002,0.065,0,41,1,0,0,1,
wt40-30, 40, 0, 0.011,0.57,0,41,1,0,0,1,
wt40-31, 40, 4, 0.017,0.413,0.023,39,3,0.471405,0.5,0.333333,
wt40-32, 40, 0, 0.013,0.641,0,41,1,0,0,1,
wt40-33, 40, 5, 0.009,0.44,0.005,39,4,0.511918,0.55,0.25,
wt40-34, 40, 0, 0.011,0.465,0,41,1,0,0,1,
wt40-35, 40, 0, 0.012,0.547,0,41,1,0,0,1,
wt40-36, 40, 0, 0.015,0.672,0,41,1,0,0,1,
wt40-37, 40, 4, 0.015,0.493,0.027,39,3,0.396402,0.416667,0.333333,
wt40-38, 40, 4, 0.016,0.729,0.125,39,4,0.5,0.5,0.5,
wt40-39, 40, 0, 0.008,0.658,0,41,1,0,0,1,
wt40-40, 40, 4, 0.015,0.477,0.029,39,3,0.666667,0.666667,0.666667,
wt40-41, 40, 2, 0.02,0.731,0.043,40,2,0.5,0.5,0.5,
wt40-42, 40, 0, 0.022,0.848,0,41,1,0,0,1,
wt40-43, 40, 0, 0.016,0.765,0,41,1,0,0,1,
wt40-44, 40, 0, 0.01,0.628,0,41,1,0,0,1,
wt40-45, 40, 3, 0.01,0.208,0.004,39,2,0.5,0.5,0.5,
wt40-46, 40, 0, 0.011,0.212,0,41,1,0,0,1,
wt40-47, 40, 2, 0.008,0.153,0.002,40,2,0.5,0.5,0.5,
wt40-48, 40, 0, 0.014,0.22,0,41,1,0,0,1,
wt40-49, 40, 2, 0.011,0.169,0.003,40,2,0.5,0.5,0.5,
wt50-0, 50, 2, 0.011,0.343,0.002,50,2,0.5,0.5,0.5,
wt50-1, 50, 0, 0.005,0.283,0,51,1,0,0,1,
wt50-2, 50, 3, 0.011,0.47,0.031,50,3,0.333333,0.333333,0.333333,
wt50-3, 50, 0, 0.011,0.555,0,51,1,0,0,1,
wt50-4, 50, 0, 0.011,0.393,0,51,1,0,0,1,
wt50-5, 50, 0, 0.015,0.837,0,51,1,0,0,1,
wt50-6, 50, 2, 0.015,0.734,0.008,50,2,0.5,0.5,0.5,
wt50-7, 50, 6, 0.02,0.765,0.045,49,6,0.264567,0.305556,0.166667,
wt50-8, 50, 2, 0.006,0.647,0.009,50,2,0.5,0.5,0.5,
wt50-9, 50, 15, 0.016,0.67,0.804,46,28,0.413958,0.559524,0.0357143,
wt50-10, 50, 0, 0.039,1.036,0,51,1,0,0,1,
wt50-11, 50, 6, 0.012,0.952,0.075,49,6,0.333333,0.388889,0.166667,
wt50-12, 50, 0, 0.021,1.035,0,51,1,0,0,1,
wt50-13, 50, 7, 0.016,0.698,0.142,45,3,0.495331,0.52381,0.333333,
wt50-14, 50, 2, 0.019,0.969,0.02,50,2,0.5,0.5,0.5,
wt50-15, 50, 9, 0.033,1.095,0.135,47,8,0.296817,0.347222,0.125,
wt50-16, 50, 0, 0.015,0.981,0,51,1,0,0,1,
wt50-17, 50, 13, 0.015,0.795,0.095,45,11,0.302472,0.412587,0.0909091,
wt50-18, 50, 0, 0.014,1.032,0,51,1,0,0,1,
wt50-19, 50, 14, 0.025,0.962,1.09,45,27,0.370251,0.497354,0.037037,
wt50-20, 50, 0, 0.008,0.219,0,51,1,0,0,1,
wt50-21, 50, 0, 0.014,0.252,0,51,1,0,0,1,
wt50-22, 50, 0, 0.013,0.313,0,51,1,0,0,1,
wt50-23, 50, 0, 0.01,0.155,0,51,1,0,0,1,
wt50-24, 50, 3, 0.009,0.213,0.026,49,2,0.5,0.5,0.5,
wt50-25, 50, 6, 0.001,0.039,0.002,50,6,0.833333,0.833333,0.833333,
wt50-26, 50, 4, 0.002,0.055,0.001,50,4,0.75,0.75,0.75,
wt50-27, 50, 3, 0.01,0.171,0.002,50,3,0.333333,0.333333,0.333333,
wt50-28, 50, 6, 0.001,0.04,0.002,50,6,0.833333,0.833333,0.833333,
wt50-29, 50, 5, 0.003,0.05,0.002,50,5,0.8,0.8,0.8,
wt50-30, 50, 0, 0.015,0.723,0,51,1,0,0,1,
wt50-31, 50, 0, 0.013,0.646,0,51,1,0,0,1,
wt50-32, 50, 10, 0.008,0.489,0.386,48,28,0.274686,0.332143,0.107143,
wt50-33, 50, 0, 0.013,0.56,0,51,1,0,0,1,
wt50-34, 50, 4, 0.013,0.747,0.028,49,3,0.560598,0.583333,0.333333,
wt50-35, 50, 6, 0.023,0.839,0.047,47,3,0.419974,0.444444,0.333333,
wt50-36, 50, 5, 0.01,0.837,0.02,49,4,0.287175,0.3,0.25,
wt50-37, 50, 3, 0.021,0.797,0.018,49,2,0.5,0.5,0.5,
wt50-38, 50, 6, 0.022,0.816,0.059,47,3,0.419974,0.444444,0.333333,
wt50-39, 50, 0, 0.023,0.854,0,51,1,0,0,1,
wt50-40, 50, 3, 0.039,1.021,0.069,49,2,0.5,0.5,0.5,
wt50-41, 50, 6, 0.029,0.877,0.117,48,4,0.337002,0.375,0.25,
wt50-42, 50, 4, 0.017,0.872,0.023,49,3,0.396402,0.416667,0.333333,
wt50-43, 50, 0, 0.018,1.1,0,51,1,0,0,1,
wt50-44, 50, 5, 0.024,1.019,0.047,48,3,0.439836,0.466667,0.333333,
wt50-45, 50, 4, 0.015,0.305,0.026,49,3,0.666667,0.666667,0.666667,
wt50-46, 50, 2, 0.016,0.325,0.026,50,2,0.5,0.5,0.5,
wt50-47, 50, 0, 0.012,0.364,0,51,1,0,0,1,
wt50-48, 50, 0, 0.018,0.616,0,51,1,0,0,1,
wt50-49, 50, 0, 0.014,0.381,0,51,1,0,0,1,
wt100-0, 100, 2, 0.017,1.566,0.007,100,2,0.5,0.5,0.5,
wt100-1, 100, 0, 0.016,1.529,0,101,1,0,0,1,
wt100-2, 100, 10, 0.021,1.308,0.35,99,20,0.721183,0.75,0.3,
wt100-3, 100, 10, 0.02,1.544,0.318,98,15,0.449406,0.56,0.0666667,
wt100-4, 100, 17, 0.021,1.726,2.953,97,71,0.50351,0.681856,0.028169,
wt100-5, 100, 21, 0.043,2.451,16.518,94,114,0.528504,0.659983,0.0438596,
wt100-6, 100, 0, 0.026,2.526,0,101,1,0,0,1,
wt100-7, 100, 14, 0.024,2.37,0.602,97,18,0.327676,0.492063,0.0555556,
wt100-8, 100, 0, 0.031,2.413,0,101,1,0,0,1,
wt100-9, 100, 8, 0.028,2.274,0.153,97,6,0.440936,0.520833,0.166667,
wt100-10, 100, 0, 0.041,3.189,0,101,1,0,0,1,
wt100-11, 100, 17, 0.039,3.002,2.613,94,30,0.213094,0.360784,0.0333333,
wt100-12, 100, 0, 0.029,3.379,0,101,1,0,0,1,
wt100-13, 100, 5, 0.039,2.991,0.094,98,3,0.505239,0.533333,0.333333,
wt100-14, 100, 7, 0.044,2.971,0.292,96,5,0.525451,0.542857,0.4,
wt100-15, 100, 17, 0.062,3.244,0.498,95,16,0.398242,0.606618,0.0625,
wt100-16, 100, 4, 0.049,3.645,0.141,98,2,0.5,0.5,0.5,
wt100-17, 100, 4, 0.068,3.441,0.092,99,3,0.666667,0.666667,0.666667,
wt100-18, 100, 0, 0.05,3.61,0,101,1,0,0,1,
wt100-19, 100, 11, 0.031,3.01,0.433,95,10,0.367653,0.472727,0.1,
wt100-20, 100, 6, 0.043,1.439,0.084,97,3,0.419974,0.444444,0.333333,
wt100-21, 100, 0, 0.023,0.822,0,101,1,0,0,1,
wt100-22, 100, 0, 0.017,0.916,0,101,1,0,0,1,
wt100-23, 100, 0, 0.016,0.716,0,101,1,0,0,1,
wt100-24, 100, 0, 0.018,1.182,0,101,1,0,0,1,
wt100-25, 100, 7, 0.002,0.183,0.002,100,7,0.857143,0.857143,0.857143,
wt100-26, 100, 3, 0.008,0.488,0.004,100,3,0.333333,0.333333,0.333333,
wt100-27, 100, 14, 0.002,0.153,0.002,100,14,0.928571,0.928571,0.928571,
wt100-28, 100, 14, 0.004,0.258,0.042,98,18,0.880157,0.884921,0.666667,
wt100-29, 100, 6, 0.003,0.191,0.002,100,6,0.833333,0.833333,0.833333,
wt100-30, 100, 15, 0.025,2.411,2.391,97,46,0.342983,0.549275,0.0217391,
wt100-31, 100, 0, 0.018,2.173,0,101,1,0,0,1,
wt100-32, 100, 13, 0.03,2.281,0.383,97,14,0.418431,0.593407,0.0714286,
wt100-33, 100, 4, 0.029,2.289,0.073,99,3,0.396402,0.416667,0.333333,
wt100-34, 100, 8, 0.016,2.387,0.057,98,6,0.466233,0.5625,0.166667,
wt100-35, 100, 31, 0.034,2.601,345.135,92,1001,0.235134,0.487803,0.000999001,
wt100-36, 100, 7, 0.02,2.779,0.158,98,6,0.262435,0.285714,0.166667,
