Name, n, |M|, distribution
wt40-0, 40, 3, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,
wt40-1, 40, 10, 1,1,1,0.0909091,1,1,0.909091,1,1,1,1,0.909091,0.636364,1,1,1,1,1,0.636364,1,0.818182,1,1,1,1,0.181818,1,1,0.909091,1,1,1,1,1,1,0.818182,1,1,1,0.454545,
wt40-2, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1,1,0,1,
wt40-3, 40, 8, 0.214286,1,1,1,0.928571,1,1,1,1,1,0.928571,1,1,1,1,1,1,1,1,0.5,0.642857,1,1,0.642857,1,1,1,1,1,0.642857,1,1,1,1,1,1,1,0.5,1,1,
wt40-4, 40, 4, 1,1,1,1,1,1,1,1,1,1,0.333333,1,1,1,1,1,1,1,0.333333,1,1,1,1,0,1,1,1,0.666667,0.666667,1,1,1,1,1,1,1,1,1,1,1,
wt40-5, 40, 0, 0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,
wt40-6, 40, 0, 1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
wt40-7, 40, 9, 1,0.153846,0.923077,0,0,0,0,1,1,1,1,1,0,0.846154,1,1,0.846154,1,1,0.692308,1,1,0.692308,1,0.461538,1,1,1,1,1,1,0.461538,1,1,1,0.846154,1,1,1,0,
wt40-8, 40, 5, 0.333333,0,1,1,1,1,1,1,0.333333,1,1,0,1,1,1,0.666667,1,1,0,0.666667,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.333333,1,1,1,
wt40-9, 40, 0, 1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
wt40-10, 40, 0, 0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-11, 40, 10, 0,1,0,1,1,1,1,0.875,1,0,1,1,1,0,0.875,0,1,1,1,0,1,1,0.125,0.875,0.625,1,1,0,0.5,0.875,1,0,0.875,0,0.75,0,1,1,0.125,0,
wt40-12, 40, 3, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0.5,0,0,1,1,0.5,1,1,1,1,0,1,1,1,0.5,1,0,1,0,1,1,1,1,1,0,0,
wt40-13, 40, 5, 1,1,0.333333,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.666667,0,1,0,0,1,1,1,0,1,0,0,0.333333,1,0,0,1,0.333333,0.666667,1,
wt40-14, 40, 0, 0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,
wt40-15, 40, 7, 0,0,0.4,0,0,0.6,1,0,0.8,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.4,1,0,0.6,0.4,0.4,1,0,1,
wt40-16, 40, 7, 0,0,1,0,0,0.2,0,0,1,1,0.2,1,0.2,1,0,1,1,0.6,0.2,0,0.2,1,1,0,1,1,0,0,0,0.2,0,1,0,1,0,1,0,0,0,1,
wt40-17, 40, 0, 0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,
wt40-18, 40, 0, 0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,
wt40-19, 40, 3, 0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0.5,0.5,1,0,1,0,0,1,0.5,1,1,1,0,1,0,0,1,1,1,
wt40-20, 40, 8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0.8,0,0,0,0.6,0.4,0,0.2,0.4,0,0,0,1,0.6,1,0.4,
wt40-21, 40, 3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.5,0.5,0,1,0,0.5,1,
wt40-22, 40, 2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,
wt40-23, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,
wt40-24, 40, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,
wt40-25, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-26, 40, 7, 0.857143,0.857143,1,1,1,1,1,1,0.857143,1,1,1,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.857143,1,1,1,1,1,0.857143,1,0.857143,1,1,1,1,
wt40-27, 40, 2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,
wt40-28, 40, 2, 1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
wt40-29, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
wt40-30, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
wt40-31, 40, 4, 1,1,1,0,1,0,0.333333,1,1,1,1,1,1,1,1,0.666667,1,1,1,1,1,1,1,1,1,0.666667,1,0.333333,1,1,1,0,1,1,1,1,1,1,0,1,
wt40-32, 40, 0, 1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
wt40-33, 40, 5, 1,1,1,1,1,1,1,1,0.5,1,1,0,0,0,1,1,0.75,0.25,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,
wt40-34, 40, 0, 1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,
wt40-35, 40, 0, 1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,
wt40-36, 40, 0, 1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,
wt40-37, 40, 4, 0.333333,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0.333333,1,1,1,0.666667,0.333333,0,1,1,1,1,1,1,1,1,
wt40-38, 40, 4, 1,0,0.5,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.5,0.5,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0.5,
wt40-39, 40, 0, 1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,
