Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.50_12, 25, 13, 3.087,127.359,8881.29,51,1000,0.511165,0.516558,0.402082,8.43988,12.4615,1,
TT_25_0.50_13, 25, 8, 0.258,14.548,1290.29,51,1000,0.49987,0.5,0.483,6.80497,7.5,1,
TT_25_0.50_14, 25, 16, 0.757,46.925,4172.19,51,1000,0.499725,0.5,0.473667,4.27373,6.1875,0.998,
TT_25_0.50_15, 25, 10, 0.149,6.734,1377.24,51,1000,0.519538,0.520783,0.486,10.3988,10.5,1,
TT_25_0.50_16, 25, 11, 1.961,101.995,3933.74,51,1000,0.499903,0.5,0.477667,7.40191,8.81818,1,
TT_25_0.50_17, 25, 4, 0.261,5.767,9.43,51,24,0.5,0.5,0.5,4.74342,4.75,1,
TT_25_0.50_18, 25, 12, 1.188,13.389,1486.02,51,1000,0.534623,0.574385,0.24164,5.32098,7.5,0.839,
TT_25_0.50_19, 25, 8, 1.431,40.956,3924.69,51,1000,0.499931,0.5,0.489667,6.06071,8.875,1,
TT_25_0.50_20, 25, 12, 0.511,16.115,1314.53,51,1000,0.523702,0.535833,0.35,2.61212,3.58333,0.495,
TT_25_0.50_21, 25, 7, 1.144,50.013,4074.28,51,1000,0.499941,0.5,0.491,4.47558,5.71429,1,
TT_25_0.50_22, 25, 11, 1.07,23.292,2021.25,51,1000,0.499595,0.5,0.463667,5.19305,8.27273,0.489,
TT_25_0.50_23, 25, 9, 0.433,11.431,1722.01,51,1000,0.499908,0.5,0.489,8.96116,9,1,
TT_25_0.50_24, 25, 8, 0.412,12.565,1690.75,51,1000,0.53826,0.541188,0.4855,6.42002,12.875,0.659,
TT_25_0.50_25, 25, 12, 0.677,9.346,1811.17,51,1000,0.499797,0.5,0.476,5.5238,12.3333,0.476,
TT_25_0.50_26, 25, 11, 1.401,28.374,2250.46,51,1000,0.543841,0.548248,0.496,8.34057,11.7273,1,
TT_25_0.50_27, 25, 6, 0.191,5.843,771.475,51,1000,0.548882,0.548959,0.53675,27.5903,31.3333,1,
TT_25_0.50_28, 25, 10, 0.315,5.874,1087.92,51,1000,0.480703,0.481818,0.435773,6.47382,7.3,1,
