Name, n, |M|, distribution
TT_20_0.50_35, 20, 11, -0.462,-3.852,0,-28.913,-2.148,-81,-30.117,-4,-41.018,-12.673,0,-45.865,-4,-1.538,-6,-28.255,-13.159,0,0,0,
TT_20_0.50_36, 20, 5, -60.73,-49.21,-4,-3,0,-1,0,0,0,0,-3,0,-13.473,-21.527,0,0,0,0,0,-52.06,
TT_20_0.50_37, 20, 5, 0,-42.595,0,0,-34.603,0,-3,-1,-39.973,0,-82.09,0,-75.739,0,0,0,0,-2,-9,-5,
TT_20_0.50_38, 20, 7, -11.591,-1.623,0,-14.675,-3,0,-61,0,0,0,-30.848,-2.817,0,0,0,0,0,-15.294,0,-58.152,
TT_20_0.50_39, 20, 9, -5.42,0,0,-40.03,-7.514,-38.976,0,-56,0,0,-54.024,0,0,0,-2.58,0,-48.73,-20.486,-84.24,0,
TT_20_0.50_40, 20, 11, -5.215,-1,-5.072,-56.436,-41.255,0,0,0,-59,0,0,-0.215,-2.668,-26.458,-2,-50.251,-0.215,-2.812,0,-0.403,
TT_20_0.50_41, 20, 13, -90.24,-0.93,0,-7.202,-0.676,0,0,0,0,0,-94.91,0,-34.323,-64.85,-0.877,-32.266,-27.734,-6.46,-8.139,-1.393,
TT_20_0.50_42, 20, 7, -35,-43.896,0,0,0,-1,-50.03,0,0,-43.984,-5,0,0,-11.102,-51.97,0,0,-18,-34.12,-2.898,
TT_20_0.50_43, 20, 7, 0,0,0,0,0,-17.599,-30.969,-19.472,0,0,-12,0,-48.92,0,-34,-46.75,-48.33,-50,0,-0.96,
TT_20_0.50_44, 20, 13, -98,-4.052,-1,0,-1.948,-9.228,-42.792,-15.503,0,-3.158,-66.072,-28.628,-1.028,-6.842,-15.116,0,-0.497,0,-50.136,0,
TT_20_0.50_45, 20, 7, -1.422,-3.465,-23.888,0,0,0,-2,-20.979,0,-3.535,-67,0,-1.578,-22.133,0,0,-58,0,-28,-1,
TT_20_0.50_46, 20, 5, 0,0,-3,0,-77.62,-65,-9.114,0,-75.24,0,-45.14,-4,-6,0,0,-5.886,-36,0,-3,-43,
TT_20_0.50_47, 20, 7, -1,-26.81,0,-1,0,-6,0,-92.478,0,0,-35.52,-38.198,-72.648,0,0,-23.472,-1,-81.874,0,0,
TT_20_0.50_48, 20, 7, -5.976,-25,0,0,-43.588,0,-3.024,-16,-79.789,-37.612,0,0,0,0,-71.091,0,-5,-68.92,0,-5,
TT_20_0.50_49, 20, 6, -93,-49.297,0,-25.77,-20.93,0,0,0,0,-3,0,-5,-45.3,0,-31.577,-1,0,0,0,-71.126,
TT_25_0.05_0, 25, 20, -2.452,-54.898,-76.912,-35.155,-12.072,-54.036,-98.788,0,-35.45,-73.088,-5.548,-31.74,-121,-97.338,-1,-34.4,-29.255,-56.174,-54.892,-16.992,-97.464,-98.41,-1,-14.936,0,
TT_25_0.05_1, 25, 20, -28.985,-72.021,-8.352,-92.904,-32.68,-113.671,-94.304,0,-32.465,0,-29.26,-1,-116.329,-73.063,-31.08,-57.012,-5.808,-132,-53.64,-92.792,-3,-30.53,-5.84,-74.916,-55.348,
TT_25_0.05_2, 25, 20, -37.234,-77.016,-75.568,-4.928,-2,0,0,-121,0,-35.964,-38.868,-37.192,-0.516,-104.59,-78.992,-38.904,-15.415,-6.069,-40.838,-76.688,-0.484,-10.003,-14.585,-76.736,-106.41,
TT_25_0.05_3, 25, 20, -116.81,-5.023,-25.305,-40.108,0,-119.45,0,0,-66.608,-65.744,-98.446,-4.02,-95.554,-65.784,0,-42,-12.004,-38.892,-66.84,-26.695,-3.957,-12.064,-69.024,-16.932,-122.74,
TT_25_0.05_4, 25, 21, -1.942,-84.088,-49.042,-107.446,0,-2.538,-45.258,-45.036,-8,-84.584,-109.554,-127,-22.215,-129.93,-24.645,-79.192,-2.52,-48.046,-20.8,-47.618,-132.07,0,-84.136,-17.34,-65,
TT_25_0.05_5, 25, 17, -109,-43,-7.557,-18.704,0,-1,0,-53.986,-36.635,0,-74.976,-18.772,-20.904,-55.14,-22.168,-21.452,0,-90.874,-95.531,0,-70.024,-3.443,-89.595,-53.874,-31.365,
TT_25_0.05_6, 25, 21, -86,-123.09,0,-71.395,-48.346,0,-50.408,-99.581,-121.51,-5.028,-17.06,-44.952,-1.002,-17.81,0,-45.46,-97.419,-72.605,-0.998,-124.4,-23.13,-44.384,-47.456,-7.972,-49.994,
TT_25_0.05_7, 25, 22, -23.11,-85.824,-1.56,-1.495,-131.35,-20.89,-56.675,0,-125.77,-50.766,-13.94,-86.84,-52.192,-30.91,-20,-128.94,-83.576,-34.09,-54.367,-0.945,-81.76,-107,-125.94,-14.06,0,
TT_25_0.05_8, 25, 19, -66.86,0,-19,0,-9.335,-37.012,-101,-86.264,-66,-15.832,-116.11,-67.105,0,-116.89,-61.455,-14.168,-38.06,-34.036,-1.006,-9.536,-89.736,-4.123,-34.892,-64.58,-1,
TT_25_0.05_9, 25, 18, 0,-28.54,-29.46,-14.812,-67,0,0,-69.064,-4.557,-120.44,-18.124,0,-12.86,-118.77,-65.744,-63.256,-38,-64.936,-20.204,-5.443,-92.581,-42,0,-90.419,-117.79,
