Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.25_18, 25, 12, 0.43,12.573,654.006,51,1000,0.499336,0.5,0.448,8.12641,10,1,
TT_25_0.25_19, 25, 17, 1.224,19.952,1518.48,51,1000,0.506154,0.515859,0.268,5.51649,7.944,0.268,
TT_25_0.25_20, 25, 14, 0.183,7.836,375.228,51,1000,0,0.485714,0,0,8.5,0,
TT_25_0.25_21, 25, 17, 0.156,9.806,442.352,51,1000,0,0.529412,0,0,7.23529,0,
TT_25_0.25_22, 25, 18, 1.779,39.729,1857.09,51,1000,0.513136,0.518306,0.378,9.9933,14.6152,0.756,
TT_25_0.25_23, 25, 13, 0.377,11.724,737.928,51,1000,0.497893,0.5,0.4295,9.45578,9.92308,1,
TT_25_0.25_24, 25, 13, 0.161,7.785,399.391,51,1000,0,0.5,0,0,10.8462,0,
TT_25_0.25_25, 25, 20, 0.917,32.521,819.307,51,1000,0.599476,0.638117,0.269875,5.17635,6.60035,0.851,
TT_25_0.25_26, 25, 15, 1.162,17.087,905.23,51,1000,0.493435,0.514656,0.2645,12.855,15.6004,1,
TT_25_0.25_27, 25, 13, 0.759,14.681,793.837,51,1000,0.506088,0.518678,0.3075,6.94453,10.622,1,
TT_25_0.25_28, 25, 20, 1.668,46.882,1526.83,51,1000,0.524099,0.532436,0.37025,8.68855,10.5037,1,
TT_25_0.25_29, 25, 17, 0.341,33.174,603.154,51,1000,0.522825,0.529942,0.375,2.74753,3.64788,0.375,
TT_25_0.25_30, 25, 20, 0.827,14.224,850.627,51,1000,0.545019,0.553637,0.433,7.03134,9.5502,0.61,
TT_25_0.25_31, 25, 17, 0.266,15.536,583.742,51,1000,0.520594,0.529599,0.39225,4.83235,7.11859,0.915,
TT_25_0.25_32, 25, 16, 0.151,9.629,595.781,51,1000,0.512545,0.518416,0.4,8.61377,9.8125,1,
TT_25_0.25_33, 25, 20, 0.593,30.266,869.35,51,1000,0.495238,0.501946,0.337556,3.79331,4.90165,0.366,
TT_25_0.25_34, 25, 14, 0.718,23.256,1336.81,51,1000,0.504079,0.51181,0.380667,8.12491,10.3046,1,
TT_25_0.25_35, 25, 13, 0.982,61.708,2282.26,51,1000,0.499559,0.501434,0.412,12.4863,22.2325,0.412,
TT_25_0.25_36, 25, 16, 0.403,10.407,558.157,51,1000,0.49341,0.5,0.337,6.8516,7.625,1,
TT_25_0.25_37, 25, 20, 0.632,15.394,941.435,51,1000,0.553974,0.563372,0.4455,5.00058,6.45145,1,
TT_25_0.25_38, 25, 16, 0.434,27.757,1236.71,51,1000,0.482083,0.486058,0.324417,7.71987,14.2539,0.445,
TT_25_0.25_39, 25, 13, 0.152,5.984,322.897,51,1000,0.428395,0.501456,0.086,3.02684,6.53846,0.086,
TT_25_0.25_40, 25, 17, 0.329,33.689,697.56,51,1000,0.521535,0.556569,0.220255,5.24688,7.76471,0.781,
TT_25_0.25_41, 25, 16, 0.193,9.549,425.981,51,1000,0,0.514423,0,0,9.75,0,
TT_25_0.25_42, 25, 14, 0.455,13.632,730.627,51,1000,0.499961,0.52064,0.211,9.7686,12.1435,1,
TT_25_0.25_43, 25, 11, 0.146,5.995,334.904,51,1000,0,0.5,0,0,12.2727,0,
TT_25_0.25_44, 25, 15, 0.276,19.442,595.728,51,1000,0.417064,0.5,0.0946,10.4531,16.8,1,
TT_25_0.25_45, 25, 16, 0.507,32.892,893.366,51,1000,0.504658,0.513192,0.3638,6.9636,9.38469,0.523,
TT_25_0.25_46, 25, 20, 0.997,16.926,763.725,51,1000,0.536641,0.559798,0.254,6.04698,7.30025,0.702,
TT_25_0.25_47, 25, 16, 0.643,18.37,592.712,51,1000,0.508425,0.529692,0.2674,6.22901,8.63,0.522,
TT_25_0.25_48, 25, 14, 1.021,14.774,1273.93,51,1000,0.508563,0.509327,0.475857,3.55556,5.87836,0.509,
TT_25_0.25_49, 25, 12, 0.653,9.072,681.984,51,1000,0.496368,0.500368,0.4125,7.60755,7.83875,1,
TT_25_0.50_0, 25, 14, 0.29,10.369,584.39,51,1000,0.4774,0.500191,0.242,5.69745,8.92964,0.652,
TT_25_0.50_1, 25, 11, 1.111,15.035,1055.01,51,1000,0.4758,0.500191,0.213125,7.49478,9.27455,1,
TT_25_0.50_2, 25, 12, 3.731,322.346,2610.82,51,1000,0.510082,0.524917,0.34625,3.27446,5.58633,0.419,
TT_25_0.50_3, 25, 18, 1.687,23.479,1451.98,51,1000,0.460565,0.485004,0.186,3.57634,5.17006,0.307,
TT_25_0.50_4, 25, 11, 1.034,87.994,1486.14,51,1000,0.471976,0.511747,0.190143,3.32678,3.73445,1,
TT_25_0.50_5, 25, 5, 0.976,41.63,1581.21,51,1000,0.468215,0.500547,0.230313,6.20751,6.8072,1,
TT_25_0.50_6, 25, 7, 0.455,10.861,697.664,51,1000,0.451656,0.5,0.2275,5.36061,6.14286,1,
TT_25_0.50_7, 25, 8, 1.395,39.683,2332.54,51,1000,0.490272,0.500103,0.35904,15.9671,19.8767,1,
TT_25_0.50_8, 25, 11, 0.225,8.904,399.173,51,1000,0.374647,0.573604,0.029,5.5823,11.6364,0.551,
TT_25_0.50_9, 25, 7, 0.567,42.126,1226.19,51,1000,0.495422,0.50157,0.3885,3.82604,5.14986,0.777,
TT_25_0.50_10, 25, 5, 1.65,278.592,3166.54,51,1000,0.472235,0.500336,0.342278,6.71927,7.4046,1,
TT_25_0.50_11, 25, 10, 1.108,103.755,840.754,51,1000,0.527628,0.54282,0.409,5.23989,6.7348,0.917,
