Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.25_22, 15, 13, 0.173,5.527,191.273,31,1000,0,0.586538,0,0,3.38462,0,
TT_15_0.25_23, 15, 5, 0.039,1.076,60.526,31,1000,3.11759e-06,0.5,1.06581e-14,3.96267e-05,6.6,1.7053e-13,
TT_15_0.25_24, 15, 8, 0.141,3.593,197.035,31,1000,0,0.5,0,0,12.75,0,
TT_15_0.25_25, 15, 8, 0.134,1.638,171.716,31,1000,0,0.614583,0,0,3.5,0,
TT_15_0.25_26, 15, 3, 0.075,1.596,112.703,31,1000,2.393e-05,0.5,2.74066e-14,0.000335019,7,3.83693e-13,
TT_15_0.25_27, 15, 6, 0.051,1.967,85.043,31,1000,2.28514e-05,0.583333,1.68754e-14,0.000138699,3.66667,8.43769e-14,
TT_15_0.25_28, 15, 7, 0.137,6.883,263.46,31,1000,0,0.5,0,0,4.28571,0,
TT_15_0.25_29, 15, 8, 0.243,2.606,203.711,31,1000,0.000252733,0.5375,8.23584e-15,0.00274286,6,9.05942e-14,
TT_15_0.25_30, 15, 6, 0.187,2.452,240.007,31,1000,0,0.583333,0,0,4.83333,0,
TT_15_0.25_31, 15, 9, 0.037,1.158,58.929,31,1000,0,0.5,0,0,3.44444,0,
TT_15_0.25_32, 15, 8, 0.188,2.907,224.614,31,1000,0,0.5,0,0,6.5,0,
TT_15_0.25_33, 15, 7, 0.062,1.96,105.675,31,1000,0,0.5,0,0,5.28571,0,
TT_15_0.25_34, 15, 4, 0.028,0.774,52.285,31,1000,2.20271e-07,0.5,4.83169e-14,1.30314e-06,3,2.41585e-13,
