Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.25_35, 15, 6, 0.087,2.357,336.182,31,1000,0.499752,0.5,0.474,4.11924,4.16667,1,
TT_15_0.25_36, 15, 3, 0.148,1.583,1.09,31,6,0.5,0.5,0.5,8,8,1,
TT_15_0.25_37, 15, 8, 0.351,6.366,696.169,31,1000,0.535225,0.53835,0.48,7.81856,8.375,1,
TT_15_0.25_38, 15, 10, 0.068,3.786,504.542,31,1000,0.533152,0.539005,0.446,3.18737,3.8,0.446,
TT_15_0.25_39, 15, 7, 0.035,1.108,246.076,31,1000,0.499568,0.5,0.464,2.12368,2.85714,0.464,
TT_15_0.25_40, 15, 13, 0.151,3.098,671.548,31,1000,0.583929,0.619418,0.25344,2.81303,3.92308,0.826,
TT_15_0.25_41, 15, 10, 0.202,2.837,511.071,31,1000,0.499808,0.5,0.4715,4.01527,5.8,0.49,
TT_15_0.25_42, 15, 5, 0.129,2.404,396.784,31,1000,0.499976,0.5,0.494,5.39138,6.4,1,
TT_15_0.25_43, 15, 12, 0.275,6.26,1031.05,31,1000,0.551275,0.557744,0.468,3.26,3.58333,1,
TT_15_0.25_44, 15, 9, 0.112,4.75,689.603,31,1000,0.417046,0.4218,0.335,6.11334,8.11111,0.67,
TT_15_0.25_45, 15, 9, 0.124,3.774,944.035,31,1000,0.522319,0.524889,0.494333,5.80924,8,0.678,
TT_15_0.25_46, 15, 9, 0.186,5.579,641.118,31,1000,0.47702,0.478261,0.411174,9.3174,10.2222,1,
TT_15_0.25_47, 15, 11, 0.051,2.078,621.49,31,1000,0.531071,0.534364,0.48,3.94592,4.18182,1,
TT_15_0.25_48, 15, 5, 0.162,2.128,270.591,31,1000,0.470505,0.471429,0.422429,4.69355,5,1,
TT_15_0.25_49, 15, 7, 0.038,1.266,324.556,31,1000,0.499694,0.5,0.474,5.77186,5.85714,1,
TT_15_0.50_0, 15, 4, 0.251,3.411,8.906,31,24,0.5,0.5,0.5,4.47214,4.5,1,
TT_15_0.50_1, 15, 5, 0.25,2.769,440.438,31,1000,0.499996,0.5,0.497,7.26578,7.8,1,
TT_15_0.50_2, 15, 2, 0.218,3.189,0.606,31,2,0.5,0.5,0.5,3.5,3.5,1,
TT_15_0.50_3, 15, 4, 0.138,3.298,8.201,31,24,0.5,0.5,0.5,4.74342,4.75,1,
TT_15_0.50_4, 15, 2, 0.061,1.368,0.347,31,2,0.5,0.5,0.5,4.5,4.5,1,
TT_15_0.50_5, 15, 2, 0.102,1.39,0.372,31,2,0.5,0.5,0.5,4.5,4.5,1,
TT_15_0.50_6, 15, 8, 0.234,2.643,416.074,31,1000,0.499709,0.5,0.477,1.91571,2.625,0.48,
TT_15_0.50_7, 15, 4, 0.049,1.409,3.734,31,24,0.5,0.5,0.5,2,4.25,0.5,
TT_15_0.50_8, 15, 6, 0.318,5.2,629.625,31,1000,0.499568,0.5,0.476,2.96939,3.33333,1,
TT_15_0.50_9, 15, 6, 0.371,7.917,656.377,31,1000,0.480795,0.488095,0.358,8.93013,11.3333,1,
TT_15_0.50_10, 15, 7, 0.177,4.762,474.968,31,1000,0.530287,0.533782,0.467,5.22274,7.57143,1,
TT_15_0.50_11, 15, 3, 0.059,1.631,0.902,31,6,0.5,0.5,0.5,7,7,1,
TT_15_0.50_12, 15, 4, 0.042,1.321,5.207,31,24,0.5,0.5,0.5,4.24264,4.25,1,
TT_15_0.50_13, 15, 6, 0.167,2.547,393.733,31,1000,0.499814,0.5,0.478,3.157,3.33333,1,
TT_15_0.50_14, 15, 7, 0.036,1.526,288.699,31,1000,0.538704,0.541786,0.477,2.96663,4.71429,0.493,
TT_15_0.50_15, 15, 7, 0.08,5.876,755.772,31,1000,0.597178,0.604976,0.4835,3.21721,4.14286,0.75,
TT_15_0.50_16, 15, 2, 0.042,1.178,0.268,31,2,0.5,0.5,0.5,3,3,1,
TT_15_0.50_17, 15, 12, 0.239,5.658,688.218,31,1000,0.554187,0.566176,0.396,6.26905,9.08333,0.711,
TT_15_0.50_18, 15, 8, 0.05,1.571,494.044,31,1000,0.510611,0.52225,0.322,3.79017,5.375,0.678,
TT_15_0.50_19, 15, 2, 0.092,1.603,0.338,31,2,0.5,0.5,0.5,4.5,4.5,1,
TT_15_0.50_20, 15, 9, 0.183,3.282,505.37,31,1000,0.523565,0.53317,0.381526,4.35718,5.44444,1,
TT_15_0.50_21, 15, 2, 0.153,2.88,0.432,31,2,0.5,0.5,0.5,3.5,3.5,1,
TT_15_0.50_22, 15, 4, 0.267,3.576,5.955,31,24,0.5,0.5,0.5,4.47214,4.5,1,
TT_15_0.50_23, 15, 8, 0.199,3.746,464.844,31,1000,0.434747,0.444171,0.251,2.85194,4.625,0.494,
TT_15_0.50_24, 15, 2, 0.359,9.606,0.985,31,2,0.5,0.5,0.5,4,4,1,
TT_15_0.50_25, 15, 2, 0.07,1.378,0.401,31,2,0.5,0.5,0.5,0.5,0.5,0.5,
TT_15_0.50_26, 15, 7, 0.187,3.053,409.892,31,1000,0.461621,0.465683,0.334,1.6649,2.42857,0.492,
TT_15_0.50_27, 15, 5, 0.067,1.988,375.879,31,1000,0.499316,0.5,0.46,6.49793,7,1,
TT_15_0.50_28, 15, 4, 0.208,4.313,7.065,31,24,0.5,0.5,0.5,15,15,1,
TT_15_0.50_29, 15, 7, 0.273,7.082,658.646,31,1000,0.50883,0.513879,0.415154,4.2488,4.28571,1,
TT_15_0.50_30, 15, 8, 0.166,2.779,502.504,31,1000,0.533582,0.535588,0.488,4.47335,7.875,0.491,
TT_15_0.50_31, 15, 2, 0.382,26.824,1.78,31,2,0.5,0.5,0.5,4.5,4.5,1,
TT_15_0.50_32, 15, 3, 0.317,5.349,2.954,31,6,0.5,0.5,0.5,8,8,1,
TT_15_0.50_33, 15, 6, 0.589,11.389,1409.91,31,1000,0.499314,0.5,0.458,3.61025,3.66667,1,
TT_15_0.50_34, 15, 3, 0.271,7.012,2.49,31,6,0.5,0.5,0.5,9,9,1,
TT_15_0.50_35, 15, 5, 0.086,1.413,243.956,31,1000,0.593992,0.6,0.491,2.63809,2.8,1,
TT_15_0.50_36, 15, 6, 0.051,1.815,391.227,31,1000,0.499923,0.5,0.489,2.99954,3.33333,1,
TT_15_0.50_37, 15, 5, 0.169,2,302.015,31,1000,0.49992,0.5,0.484,5.86509,6,1,
TT_15_0.50_38, 15, 0, 0.07,2.398,7.93317e-312,31,1,0,0,1,0,0,1,
TT_15_0.50_39, 15, 6, 0.249,2.495,357.622,31,1000,0.499858,0.5,0.481,1.37907,1.83333,0.481,
TT_15_0.50_40, 15, 6, 0.066,2.873,382.397,31,1000,0.545465,0.585333,0.244,3.65085,6.83333,0.756,
TT_15_0.50_41, 15, 4, 0.213,2.607,7.792,31,24,0.5,0.5,0.5,4.1833,4.25,1,
