Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_20_0.05_18, 20, 18, 0.166,6.682,87.194,41,1000,0.499806,0.5,0.476,5.62748,8.38889,0.476,
TT_20_0.05_19, 20, 12, 0.208,5.101,106.934,41,1000,0.509332,0.513017,0.4482,4.56993,6.5,0.538,
TT_20_0.05_20, 20, 9, 0.076,3.288,58.551,41,1000,0.499858,0.5,0.476,6.9289,7.22222,1,
TT_20_0.05_21, 20, 16, 0.139,5.844,89.624,41,1000,0.49982,0.5,0.4774,6.55469,10.5,1,
TT_20_0.05_22, 20, 16, 0.081,3.35,59.036,41,1000,0.499929,0.5,0.4885,4.21109,6.3125,0.988,
TT_20_0.05_23, 20, 14, 0.11,4.843,132.629,41,1000,0.499791,0.5,0.4805,5.09714,5.92857,1,
TT_20_0.05_24, 20, 11, 0.075,3.251,57.621,41,1000,0.499904,0.5,0.484,5.39539,6.18182,1,
TT_20_0.05_25, 20, 19, 0.075,3.229,53.536,41,1000,0.541309,0.545618,0.4855,3.71737,4.94737,0.99,
TT_20_0.05_26, 20, 14, 0.052,2.474,44.986,41,1000,0.554325,0.562214,0.491,2.63598,3,0.742,
TT_20_0.05_27, 20, 17, 0.064,3.364,55.893,41,1000,0.506235,0.506765,0.477,3.9212,4.76471,0.478,
TT_20_0.05_28, 20, 15, 0.087,3.959,70.774,41,1000,0.49992,0.500089,0.477,4.44334,4.8008,1,
TT_20_0.05_29, 20, 18, 0.058,2.902,47.734,41,1000,0.499913,0.5,0.48425,5.28363,6.55556,1,
TT_20_0.05_30, 20, 17, 0.081,3.913,72.309,41,1000,0.525995,0.529412,0.487333,4.64063,6.64706,0.658,
TT_20_0.05_31, 20, 16, 0.305,5.257,105.34,41,1000,0.518471,0.520312,0.4685,3.56781,4.5,0.65,
TT_20_0.05_32, 20, 13, 0.06,2.6,46.751,41,1000,0.499882,0.5,0.481,3.12417,3.23077,1,
TT_20_0.05_33, 20, 17, 0.068,3.435,56.539,41,1000,0.501524,0.501676,0.478,6.00152,6.49071,1,
TT_20_0.05_34, 20, 14, 0.09,3.929,72.087,41,1000,0.499873,0.5,0.475333,7.14503,8.35714,1,
TT_20_0.05_35, 20, 14, 0.123,5.422,176.621,41,1000,0.500237,0.500291,0.48675,7.63387,10.1448,1,
TT_20_0.05_36, 20, 14, 0.083,3.302,54.885,41,1000,0.49978,0.5,0.4755,2.66141,3.28571,0.48,
TT_20_0.05_37, 20, 16, 0.087,4.137,71.762,41,1000,0.505164,0.506664,0.4655,5.04477,5.875,1,
TT_20_0.05_38, 20, 14, 0.108,4.258,75.98,41,1000,0.4999,0.5,0.483,4.45977,5.28571,1,
TT_20_0.05_39, 20, 15, 0.071,2.895,51.345,41,1000,0.49986,0.5,0.4815,4.87601,6.13333,0.996,
TT_20_0.05_40, 20, 12, 0.082,3.33,67.641,41,1000,0.499804,0.5,0.475,4.11404,6,0.996,
TT_20_0.05_41, 20, 13, 0.077,5.396,107.197,41,1000,0.512883,0.515731,0.407,4.17446,6.00031,0.407,
TT_20_0.05_42, 20, 14, 0.096,3.66,71.714,41,1000,0.499911,0.5,0.4835,5.40675,6.28571,1,
TT_20_0.05_43, 20, 17, 0.18,3.633,67.004,41,1000,0.517084,0.519039,0.465,3.49464,4.35294,0.653,
TT_20_0.05_44, 20, 17, 0.124,5.528,95.191,41,1000,0.499705,0.5,0.461,4.94702,5.70588,1,
TT_20_0.05_45, 20, 13, 0.093,5.137,94.984,41,1000,0.499863,0.5,0.478333,6.59955,8.23077,1,
TT_20_0.05_46, 20, 17, 0.163,5.428,79.076,41,1000,0.479767,0.482271,0.331,6.14957,7.35294,0.662,
TT_20_0.05_47, 20, 15, 0.06,2.543,49.122,41,1000,0.499882,0.5,0.4835,4.64818,5.06667,1,
TT_20_0.05_48, 20, 14, 0.068,2.926,51.446,41,1000,0.499875,0.5,0.479,4.23064,5,1,
