Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.057,0.826,0.193,21,2,0.5,0.5,0.5,3.4822,5.2,1,
TT_10_0.05_1, 10, 5, 0.031,0.645,0.186,21,4,0.5578,0.56,0.5,2.28438,2.4,1,
TT_10_0.05_2, 10, 3, 0.032,0.541,0.146,21,2,0.5,0.5,0.5,10,10,1,
TT_10_0.05_3, 10, 5, 0.024,0.436,0.16,21,2,0.5,0.5,0.5,4.98778,5.4,1,
TT_10_0.05_4, 10, 6, 0.03,0.686,0.231,21,5,0.5,0.5,0.5,5.66964,9.33333,1,
TT_10_0.05_5, 10, 4, 0.026,0.435,0.126,21,4,0.5,0.5,0.5,6,6,1,
TT_10_0.05_6, 10, 5, 0.041,0.733,0.303,21,4,0.5,0.5,0.5,7.26583,7.8,1,
TT_10_0.05_7, 10, 2, 0.025,0.594,0.107,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.05_8, 10, 5, 0.027,0.565,0.229,21,4,0.450152,0.453846,0.423077,1.84353,2.4,0.576923,
TT_10_0.05_9, 10, 2, 0.029,0.456,0.069,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.05_10, 10, 6, 0.027,0.566,0.173,21,4,0.5,0.5,0.5,4.32675,4.33333,1,
TT_10_0.05_11, 10, 6, 0.037,0.637,0.246,21,5,0.5,0.5,0.5,4.82745,10.1667,0.5,
TT_10_0.05_12, 10, 5, 0.039,0.57,0.154,21,2,0.5,0.5,0.5,3.78003,4.8,1,
TT_10_0.05_13, 10, 4, 0.034,0.619,0.183,21,4,0.5,0.5,0.5,15,15,1,
TT_10_0.05_14, 10, 6, 0.034,0.624,0.223,21,2,0.5,0.5,0.5,3.83155,4,1,
TT_10_0.05_15, 10, 7, 0.027,0.535,0.202,21,5,0.5,0.5,0.5,3.47142,3.57143,1,
TT_10_0.05_16, 10, 7, 0.048,0.854,0.335,21,2,0.5,0.5,0.5,5.52322,5.85714,1,
TT_10_0.05_17, 10, 7, 0.039,0.511,0.162,21,6,0.553011,0.554113,0.5,2.64725,3.28571,0.575758,
TT_10_0.05_18, 10, 4, 0.037,0.734,0.167,21,2,0.5,0.5,0.5,1.58114,1.75,1,
TT_10_0.05_19, 10, 7, 0.027,0.34,0.142,21,5,0.5,0.5,0.5,2.2797,2.71429,0.5,
TT_10_0.05_20, 10, 5, 0.039,0.702,0.25,21,4,0.5,0.5,0.5,7.11432,7.4,1,
