Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.079,0.71,45.182,21,1000,0,0.5,0,0,5.2,0,
TT_10_0.05_1, 10, 5, 0.026,0.479,33.023,21,1000,0,0.5,0,0,2.4,0,
TT_10_0.05_2, 10, 3, 0.028,0.5,40.356,21,1000,2.15066e-05,0.5,1.98952e-14,0.000430133,10,3.97904e-13,
TT_10_0.05_3, 10, 5, 0.021,0.401,33.192,21,1000,3.46997e-06,0.5,2.74066e-14,3.46149e-05,5.4,2.20268e-13,
TT_10_0.05_4, 10, 6, 0.027,0.567,43.592,21,1000,0,0.5,0,0,9.33333,0,
TT_10_0.05_5, 10, 4, 0.025,0.398,32.523,21,1000,0.000258624,0.5,2.0132e-14,0.00310349,6,2.41585e-13,
TT_10_0.05_6, 10, 5, 0.039,0.771,53.591,21,1000,2.05997e-06,0.5,8.17124e-15,2.99348e-05,7.8,8.17124e-14,
TT_10_0.05_7, 10, 2, 0.028,0.483,41.814,21,1000,2.39348e-07,0.5,5.72875e-14,1.91478e-06,4,4.583e-13,
TT_10_0.05_8, 10, 5, 0.021,0.429,32.355,21,1000,0,0.452778,0,0,2.4,0,
TT_10_0.05_9, 10, 2, 0.026,0.426,36.09,21,1000,0,0.5,0,0,1,0,
TT_10_0.05_10, 10, 6, 0.021,0.462,32.38,21,1000,2.47133e-05,0.5,1.69741e-14,0.000213856,4.33333,1.52767e-13,
TT_10_0.05_11, 10, 6, 0.038,0.588,52.781,21,1000,0,0.5,0,0,10.1667,0,
TT_10_0.05_12, 10, 5, 0.024,0.495,38.647,21,1000,0,0.5,0,0,4.8,0,
TT_10_0.05_13, 10, 4, 0.028,0.551,46.73,21,1000,0.000270019,0.5,2.39216e-14,0.00810057,15,7.17648e-13,
TT_10_0.05_14, 10, 6, 0.029,0.604,46.345,21,1000,1.68573e-07,0.5,1.68754e-14,1.29179e-06,4,8.43769e-14,
TT_10_0.05_15, 10, 7, 0.031,0.699,39.827,21,1000,0,0.5,0,0,3.57143,0,
TT_10_0.05_16, 10, 7, 0.042,0.74,54.659,21,1000,0,0.5,0,0,5.85714,0,
TT_10_0.05_17, 10, 7, 0.034,0.576,34.879,21,1000,0,0.628571,0,0,3.28571,0,
TT_10_0.05_18, 10, 4, 0.024,0.476,34.669,21,1000,0,0.5,0,0,1.75,0,
TT_10_0.05_19, 10, 7, 0.028,0.337,32.723,21,1000,0,0.428571,0,0,2.71429,0,
TT_10_0.05_20, 10, 5, 0.039,0.632,51.262,21,1000,0,0.5,0,0,7.4,0,
TT_10_0.05_21, 10, 8, 0.029,0.614,38.196,21,1000,0,0.5625,0,0,3.5,0,
TT_10_0.05_22, 10, 5, 0.026,0.409,31.54,21,1000,0,0.5,0,0,3.8,0,
TT_10_0.05_23, 10, 4, 0.029,0.479,36.388,21,1000,0,0.5,0,0,3.25,0,
TT_10_0.05_24, 10, 9, 0.024,0.47,31.182,21,1000,0,0.5,0,0,2.55556,0,
TT_10_0.05_25, 10, 10, 0.037,0.669,48.318,21,1000,0,0.5,0,0,3.4,0,
TT_10_0.05_26, 10, 4, 0.029,0.503,38.66,21,1000,0,0.5,0,0,2.25,0,
TT_10_0.05_27, 10, 8, 0.06,0.697,71.826,21,1000,0,0.5,0,0,7.375,0,
TT_10_0.05_28, 10, 9, 0.026,0.548,37.317,21,1000,0,0.5,0,0,3.22222,0,
TT_10_0.05_29, 10, 7, 0.03,0.456,34.051,21,1000,0,0.5,0,0,2.42857,0,
TT_10_0.05_30, 10, 6, 0.023,0.439,33.026,21,1000,0,0.5,0,0,2.66667,0,
TT_10_0.05_31, 10, 4, 0.04,0.454,43.208,21,1000,0,0.375,0,0,3.75,0,
TT_10_0.05_32, 10, 7, 0.031,0.627,47.865,21,1000,0,0.5,0,0,5.71429,0,
TT_10_0.05_33, 10, 5, 0.023,0.439,30.322,21,1000,0,0.5,0,0,1.4,0,
TT_10_0.05_34, 10, 6, 0.018,0.325,31.369,21,1000,1.93335e-05,0.5,1.16732e-14,0.000122117,3.16667,8.17124e-14,
TT_10_0.05_35, 10, 6, 0.029,0.593,46.624,21,1000,0,0.5,0,0,8.5,0,
TT_10_0.05_36, 10, 5, 0.035,0.585,39.564,21,1000,0,0.5,0,0,5.6,0,
TT_10_0.05_37, 10, 9, 0.042,0.751,49.391,21,1000,0,0.555556,0,0,8.77778,0,
TT_10_0.05_38, 10, 6, 0.032,0.632,53.63,21,1000,0,0.5,0,0,11.5,0,
TT_10_0.05_39, 10, 8, 0.027,0.489,34.315,21,1000,0,0.5,0,0,2.75,0,
TT_10_0.05_40, 10, 4, 0.028,0.433,32.07,21,1000,0,0.5,0,0,2.25,0,
TT_10_0.05_41, 10, 6, 0.027,0.459,33.412,21,1000,0,0.5,0,0,4.66667,0,
TT_10_0.05_42, 10, 6, 0.028,0.512,36.308,21,1000,0,0.5,0,0,3,0,
TT_10_0.05_43, 10, 5, 0.021,0.438,31.294,21,1000,0,0.5,0,0,5.4,0,
TT_10_0.05_44, 10, 6, 0.038,0.676,51.448,21,1000,2.60377e-07,0.5,4.39648e-14,2.33371e-06,4.5,3.51719e-13,
TT_10_0.05_45, 10, 5, 0.025,0.432,31.23,21,1000,0,0.5,0,0,2.6,0,
TT_10_0.05_46, 10, 6, 0.023,0.458,32.575,21,1000,0,0.5,0,0,2.16667,0,
TT_10_0.05_47, 10, 2, 0.028,0.432,36.623,21,1000,2.1958e-07,0.5,4.82154e-14,1.53706e-06,3.5,3.37508e-13,
TT_10_0.05_48, 10, 5, 0.021,0.408,30.415,21,1000,0,0.5,0,0,3.4,0,
TT_10_0.05_49, 10, 5, 0.028,0.531,38.37,21,1000,0,0.5,0,0,5,0,
TT_10_0.25_0, 10, 3, 0.029,0.528,42.435,21,1000,2.32459e-05,0.5,2.51228e-14,0.000325442,7,3.51719e-13,
TT_10_0.25_1, 10, 6, 0.13,0.818,144.645,21,1000,0,0.5,0,0,3.33333,0,
TT_10_0.25_2, 10, 2, 0.043,0.608,50.782,21,1000,0,0.5,0,0,4.5,0,
TT_10_0.25_3, 10, 4, 0.053,0.697,60.77,21,1000,0,0.5,0,0,2.5,0,
TT_10_0.25_4, 10, 4, 0.034,0.592,45.529,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_5, 10, 4, 0.045,0.586,48.881,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_6, 10, 4, 0.042,0.735,55.659,21,1000,0,0.5,0,0,4,0,
TT_10_0.25_7, 10, 5, 0.011,0.379,14.098,21,1000,0,0.6,0,0,1,0,
TT_10_0.25_8, 10, 3, 0.057,1.154,63.598,21,1000,0,0.5,0,0,8,0,
TT_10_0.25_9, 10, 2, 0.029,0.561,44.5,21,1000,2.54437e-07,0.5,6.47383e-14,2.28994e-06,4.5,5.82645e-13,
TT_10_0.25_10, 10, 7, 0.041,0.606,52.781,21,1000,0,0.5,0,0,4.42857,0,
TT_10_0.25_11, 10, 3, 0.022,0.429,35.409,21,1000,0,0.666667,0,0,0.666667,0,
TT_10_0.25_12, 10, 4, 0.086,0.963,95.217,21,1000,0,0.5,0,0,1.25,0,
TT_10_0.25_13, 10, 7, 0.044,0.845,45.871,21,1000,0,0.5,0,0,6.28571,0,
TT_10_0.25_14, 10, 7, 0.05,0.744,57.82,21,1000,0,0.428571,0,0,3.28571,0,
TT_10_0.25_15, 10, 4, 0.024,0.47,36.49,21,1000,0.00017148,0.5,3.89107e-15,0.00360108,10.5,8.17124e-14,
TT_10_0.25_16, 10, 9, 0.093,1.947,117.537,21,1000,0.0179021,0.605617,2.2915e-14,0.334449,14.7778,9.166e-13,
TT_10_0.25_17, 10, 2, 0.025,0.488,37.666,21,1000,0,0.5,0,0,3,0,
TT_10_0.25_18, 10, 2, 0.065,0.992,71.062,21,1000,0,0.5,0,0,1.5,0,
