Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.077,1.671,0.65,21,4,0.5,0.5,0.5,3.4822,5.2,1,
TT_10_0.05_1, 10, 5, 0.065,1.309,0.377,21,4,0.437345,0.44,0.4,1.79108,2,0.8,
TT_10_0.05_2, 10, 3, 0.075,1.204,0.206,21,2,0.5,0.5,0.5,10,10,1,
TT_10_0.05_3, 10, 5, 0.069,0.787,0.279,21,2,0.5,0.5,0.5,4.98778,5.4,1,
TT_10_0.05_4, 10, 6, 0.06,1.053,0.422,21,5,0.5,0.5,0.5,5.66964,9.33333,1,
TT_10_0.05_5, 10, 4, 0.055,0.859,0.255,21,4,0.5,0.5,0.5,6,6,1,
TT_10_0.05_6, 10, 5, 0.066,1.335,0.349,21,4,0.5,0.5,0.5,7.26583,7.8,1,
TT_10_0.05_7, 10, 2, 0.058,1.155,0.149,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.05_8, 10, 5, 0.053,1.034,0.304,21,4,0.563975,0.566667,0.5,2.30967,3.2,0.5,
TT_10_0.05_9, 10, 2, 0.052,0.753,0.127,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.05_10, 10, 6, 0.031,0.826,0.26,21,5,0.5,0.5,0.5,4.32675,4.33333,1,
TT_10_0.05_11, 10, 6, 0.069,1.196,0.424,21,5,0.5,0.5,0.5,4.82745,10.1667,0.5,
TT_10_0.05_12, 10, 5, 0.04,1.062,0.345,21,2,0.5,0.5,0.5,3.78003,4.8,1,
TT_10_0.05_13, 10, 4, 0.066,1.027,0.209,21,4,0.5,0.5,0.5,15,15,1,
TT_10_0.05_14, 10, 6, 0.044,1.114,0.415,21,2,0.5,0.5,0.5,3.83155,4,1,
TT_10_0.05_15, 10, 7, 0.051,0.889,0.361,21,2,0.5,0.5,0.5,3.47142,3.57143,1,
TT_10_0.05_16, 10, 7, 0.07,1.431,0.604,21,5,0.5,0.5,0.5,5.52322,5.85714,1,
TT_10_0.05_17, 10, 7, 0.065,0.809,0.378,21,6,0.444633,0.445887,0.424242,2.12844,2.57143,0.424242,
TT_10_0.05_18, 10, 4, 0.045,0.898,0.205,21,2,0.5,0.5,0.5,1.58114,1.75,1,
TT_10_0.05_19, 10, 7, 0.037,0.599,0.222,21,4,0.5,0.5,0.5,2.2797,2.71429,0.5,
TT_10_0.25_0, 10, 5, 0.074,1.334,0.7,21,4,0.5,0.5,0.5,7.11432,7.4,1,
TT_10_0.25_1, 10, 6, 0.08,1.776,0.944,21,4,0.5,0.5,0.5,2.50665,3,1,
TT_10_0.25_2, 10, 2, 0.122,1.137,0.224,21,2,0.5,0.5,0.5,5,5,1,
TT_10_0.25_3, 10, 4, 0.053,0.854,0.27,21,2,0.5,0.5,0.5,3,3.25,1,
TT_10_0.25_4, 10, 9, 0.07,0.756,0.376,21,4,0.5,0.5,0.5,1.49586,2.11111,0.5,
TT_10_0.25_5, 10, 4, 0.081,1.512,0.465,21,2,0.5,0.5,0.5,4.74342,4.75,1,
TT_10_0.25_6, 10, 0, 0.065,0.982,8.85739e-312,21,1,0,0,1,0,0,1,
TT_10_0.25_7, 10, 5, 0.169,1.568,0.543,21,2,0.5,0.5,0.5,6.57094,7.4,1,
TT_10_0.25_8, 10, 4, 0.061,0.838,0.246,21,2,0.5,0.5,0.5,3.67423,3.75,1,
TT_10_0.25_9, 10, 4, 0.066,0.817,0.292,21,2,0.5,0.5,0.5,1.5,2.5,0.5,
TT_10_0.25_10, 10, 6, 0.088,0.898,0.408,21,2,0.5,0.5,0.5,2.15443,2.5,1,
