Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.05_0, 10, 5, 0.077,1.671,0.573,21,4,0.499997,0.5,0.497333,3.48218,5.2,0.994667,
TT_10_0.05_1, 10, 5, 0.065,1.309,0.375,21,4,0.450319,0.466533,0.333667,1.84421,2,1,
TT_10_0.05_2, 10, 3, 0.075,1.204,0.312,21,2,0.5,0.5,0.499231,9.99999,10,1,
TT_10_0.05_3, 10, 5, 0.069,0.787,0.228,21,4,0.499998,0.5,0.498,4.98776,5.4,1,
TT_10_0.05_4, 10, 6, 0.06,1.053,0.231,21,5,0.499966,0.5,0.49,5.66926,9.33333,0.98,
TT_10_0.05_5, 10, 4, 0.055,0.859,0.197,21,2,0.5,0.5,0.5,6,6,1,
TT_10_0.05_6, 10, 5, 0.066,1.335,0.381,21,4,0.499996,0.5,0.497333,7.26577,7.8,1,
TT_10_0.05_7, 10, 2, 0.058,1.155,0.231,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.05_8, 10, 5, 0.053,1.034,0.29,21,4,0.621411,0.659407,0.327704,2.54489,3.2,0.672,
TT_10_0.05_9, 10, 2, 0.052,0.753,0.243,21,2,0.5,0.5,0.5,1,1,1,
TT_10_0.05_10, 10, 6, 0.031,0.826,0.098,21,5,0.499998,0.5,0.498333,4.32673,4.33333,1,
TT_10_0.05_11, 10, 6, 0.069,1.196,0.223,21,5,0.499619,0.5,0.46625,4.82377,10.1667,0.46625,
TT_10_0.05_12, 10, 5, 0.04,1.062,0.182,21,4,0.499999,0.5,0.498667,3.78002,4.8,1,
TT_10_0.05_13, 10, 4, 0.066,1.027,0.182,21,4,0.5,0.5,0.5,15,15,1,
TT_10_0.05_14, 10, 6, 0.044,1.114,0.101,21,3,0.499999,0.5,0.498,3.83154,4,1,
TT_10_0.05_15, 10, 7, 0.051,0.889,0.087,21,5,0.5,0.5,0.5,3.47142,3.57143,1,
TT_10_0.05_16, 10, 7, 0.07,1.431,0.12,21,5,0.499996,0.5,0.496975,5.52318,5.85714,1,
TT_10_0.05_17, 10, 7, 0.065,0.809,0.078,21,5,0.499404,0.533445,0.323235,2.39063,2.57143,1,
TT_10_0.05_18, 10, 4, 0.045,0.898,0.206,21,2,0.5,0.5,0.5,1.58114,1.75,1,
TT_10_0.05_19, 10, 7, 0.037,0.599,0.068,21,5,0.513925,0.526084,0.317412,2.34319,2.71429,0.682588,
TT_10_0.25_0, 10, 5, 0.074,1.334,0.377,21,3,0.499999,0.5,0.498815,7.1143,7.4,1,
TT_10_0.25_1, 10, 6, 0.08,1.776,0.338,21,3,0.499999,0.5,0.498571,2.50664,3,0.997143,
TT_10_0.25_2, 10, 2, 0.122,1.137,0.279,21,2,0.499997,0.5,0.498333,4.99997,5,1,
